times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0
30.0,32.6,4.4,0.0,0.0
60.0,29.4,7.7,0.0,0.0
90.0,26.9,10.6,0.0,0.0
120.0,24.8,13.1,0.0,0.0
150.0,23.2,15.2,0.0,0.0
180.0,21.5,17.4,0.0,0.0
210.0,19.7,19.7,0.0,0.0
240.0,19.0,21.1,0.0,0.0
270.0,19.2,21.6,0.0,0.0
300.0,18.6,23.0,0.0,0.0
330.0,17.6,25.0,0.0,0.0
360.0,16.2,27.0,0.0,0.0
390.0,15.3,28.5,0.0,0.0
420.0,16.4,28.5,0.0,0.0
450.0,17.0,29.3,0.0,0.0
480.0,18.9,28.9,0.0,0.0
510.0,19.9,29.3,0.0,0.0
540.0,18.2,31.4,0.0,0.0
570.0,18.3,31.9,0.0,0.0
600.0,17.8,33.2,0.0,0.0
630.0,19.6,32.8,0.0,0.0
660.0,19.0,34.3,0.0,0.0
690.0,20.5,34.3,0.0,0.0
720.0,20.8,35.0,0.0,0.0
750.0,21.4,35.2,0.0,0.0
780.0,20.6,36.9,0.0,0.0
810.0,20.6,37.9,0.0,0.0
840.0,21.4,38.5,0.0,0.0
870.0,20.1,40.5,0.0,0.0
900.0,21.7,40.5,0.0,0.0
930.0,22.7,41.5,0.0,0.0
960.0,22.8,42.9,0.0,0.0
990.0,23.5,43.6,0.0,0.0
1020.0,24.0,44.7,0.0,0.0
1050.0,23.9,46.3,0.0,0.0
1080.0,24.4,47.8,0.0,0.0
1110.0,25.1,48.6,0.0,0.0
1140.0,26.4,49.3,0.0,0.0
1170.0,26.5,50.9,0.0,0.0
1200.0,26.3,52.5,0.0,0.0
1230.0,26.1,53.6,0.0,0.0
1260.0,25.2,55.5,0.0,0.0
1290.0,26.0,56.9,0.0,0.0
1320.0,27.0,57.8,0.0,0.0
1350.0,29.0,58.1,0.0,0.0
1380.0,30.6,58.4,0.0,0.0
1410.0,30.6,60.0,0.0,0.0
1440.0,30.9,61.6,0.0,0.0
1470.0,29.9,64.4,0.0,0.0
1500.0,32.0,65.0,0.0,0.0
1530.0,34.6,65.5,0.0,0.0
1560.0,34.1,67.9,0.0,0.0
1590.0,34.2,69.7,0.0,0.0
1620.0,34.8,71.7,0.0,0.0
1650.0,37.3,72.2,0.0,0.0
1680.0,37.4,74.0,0.0,0.0
1710.0,38.3,75.6,0.0,0.0
1740.0,40.2,76.5,0.0,0.0
1770.0,40.9,78.7,0.0,0.0
1800.0,43.9,79.5,0.0,0.0
1830.0,44.7,81.7,0.0,0.0
1860.0,43.7,85.3,0.0,0.0
1890.0,44.4,87.5,0.0,0.0
1920.0,44.7,89.8,0.0,0.0
1950.0,47.6,90.5,0.0,0.0
1980.0,49.4,92.2,0.0,0.0
2010.0,50.5,94.5,0.0,0.0
2040.0,51.1,96.8,0.0,0.0
2070.0,53.2,98.7,0.0,0.0
2100.0,53.1,101.4,0.0,0.0
2130.0,53.4,103.7,0.0,0.0
2160.0,53.1,106.5,0.0,0.0
2190.0,54.2,108.9,0.0,0.0
2220.0,53.6,111.8,0.0,0.0
2250.0,55.5,114.5,0.0,0.0
2280.0,58.0,116.5,0.0,0.0
2310.0,60.0,119.0,0.0,0.0
2340.0,63.0,120.5,0.0,0.0
2370.0,66.4,122.2,0.0,0.0
2400.0,66.2,125.9,0.0,0.0
2430.0,67.4,129.2,0.0,0.0
2460.0,67.5,133.1,0.0,0.0
2490.0,67.3,136.4,0.0,0.0
2520.0,69.0,139.1,0.0,0.0
2550.0,70.9,141.5,0.0,0.0
2580.0,71.4,145.1,0.0,0.0
2610.0,73.8,147.7,0.0,0.0
2640.0,74.1,152.2,0.0,0.0
2670.0,77.1,154.9,0.0,0.0
2700.0,79.3,158.0,0.0,0.0
2730.0,80.5,162.7,0.0,0.0
2760.0,82.2,166.2,0.0,0.0
2790.0,82.6,170.7,0.0,0.0
2820.0,83.3,174.6,0.0,0.0
2850.0,85.8,177.9,0.0,0.0
2880.0,85.0,182.7,0.0,0.0
2910.0,88.3,186.5,0.0,0.0
2940.0,89.7,189.6,0.0,0.0
2970.0,91.7,193.0,0.0,0.0
3000.0,96.3,195.4,0.0,0.0
3030.0,97.3,200.4,0.0,0.0
3060.0,100.1,203.9,0.0,0.0
3090.0,100.3,209.5,0.0,0.0
3120.0,102.3,215.1,0.0,0.0
3150.0,105.3,218.3,0.0,0.0
3180.0,107.3,223.0,0.0,0.0
3210.0,111.4,226.5,0.0,0.0
3240.0,114.6,230.8,0.0,0.0
3270.0,117.4,236.1,0.0,0.0
3300.0,122.4,239.3,0.0,0.0
3330.0,121.8,246.9,0.0,0.0
3360.0,124.1,252.4,0.0,0.0
3390.0,125.4,259.0,0.0,0.0
3420.0,130.4,263.3,0.0,0.0
3450.0,134.5,268.3,0.0,0.0
3480.0,135.2,275.0,0.0,0.0
3510.0,142.9,277.6,0.0,0.0
3540.0,148.7,282.3,0.0,0.0
3570.0,148.7,290.5,0.0,0.0
3600.0,150.4,298.5,0.0,0.0
