times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0,0.0
30.0,88.7,11.1,0.3,0.0
60.0,79.4,20.7,0.6,0.0
90.0,74.7,25.7,0.9,0.0
120.0,68.8,32.2,1.0,0.0
150.0,63.7,38.6,1.0,0.0
180.0,57.4,45.7,1.2,0.0
210.0,54.9,49.6,1.4,0.0
240.0,51.5,54.1,1.8,0.0
270.0,48.7,57.8,1.9,0.0
300.0,46.8,61.0,2.3,0.0
330.0,45.7,64.1,2.5,0.0
360.0,44.5,67.0,2.7,0.0
390.0,43.1,70.0,3.1,0.0
420.0,43.0,72.3,3.2,0.0
450.0,41.5,75.6,3.5,0.0
480.0,42.5,77.6,3.6,0.0
510.0,43.0,79.5,3.6,0.0
540.0,42.6,82.2,3.5,0.0
570.0,44.3,82.9,3.6,0.0
600.0,45.4,84.2,3.8,0.0
630.0,45.2,86.8,3.8,0.0
660.0,46.6,88.2,4.0,0.0
690.0,47.8,89.7,4.0,0.0
720.0,48.4,91.7,4.2,0.0
750.0,47.4,95.0,4.0,0.0
780.0,48.5,96.8,3.8,0.0
810.0,49.8,98.5,3.7,0.0
840.0,51.5,99.7,3.6,0.0
870.0,51.5,103.0,3.5,0.0
900.0,52.2,105.1,3.6,0.0
930.0,55.0,107.0,3.8,0.0
960.0,55.0,109.8,3.6,0.0
990.0,56.8,111.7,3.9,0.0
1020.0,60.3,112.7,4.2,0.0
1050.0,60.5,115.4,4.3,0.0
1080.0,59.6,119.2,4.2,0.0
1110.0,59.1,122.8,3.9,0.0
1140.0,61.1,124.8,3.9,0.0
1170.0,61.0,127.4,4.4,0.0
1200.0,62.8,129.6,4.6,0.0
1230.0,63.8,132.9,4.4,0.0
1260.0,63.8,136.5,4.5,0.0
1290.0,64.1,139.7,4.7,0.0
1320.0,65.8,141.8,4.8,0.0
1350.0,67.6,143.9,4.6,0.0
1380.0,67.3,147.4,5.0,0.0
1410.0,66.7,152.0,4.5,0.0
1440.0,71.8,152.4,4.3,0.0
1470.0,74.0,154.9,4.7,0.0
1500.0,73.4,159.3,4.7,0.0
1530.0,77.1,160.9,5.2,0.0
1560.0,77.1,164.7,5.4,0.0
1590.0,82.2,165.7,5.2,0.0
1620.0,84.5,169.4,5.3,0.0
1650.0,87.3,172.4,5.6,0.0
1680.0,88.3,176.8,5.2,0.0
1710.0,89.0,181.5,5.5,0.0
1740.0,87.0,187.2,6.1,0.0
1770.0,88.6,191.2,6.4,0.0
1800.0,92.3,193.0,6.8,0.0
1830.0,94.2,197.0,6.9,0.0
1860.0,96.7,200.9,6.8,0.0
1890.0,98.9,204.9,7.0,0.0
1920.0,100.5,208.8,7.5,0.0
1950.0,103.9,212.3,8.0,0.0
1980.0,104.4,218.4,7.8,0.0
2010.0,106.1,223.4,7.7,0.0
2040.0,108.3,228.0,7.5,0.0
2070.0,111.7,232.0,7.7,0.0
2100.0,116.3,234.9,8.6,0.0
2130.0,118.6,239.3,9.1,0.0
2160.0,120.1,245.6,8.9,0.0
2190.0,122.9,249.6,9.3,0.0
2220.0,125.2,254.7,9.4,0.0
2250.0,125.0,261.5,9.2,0.0
2280.0,124.8,269.1,9.4,0.0
2310.0,127.5,274.7,9.1,0.0
2340.0,128.6,280.9,9.6,0.0
2370.0,132.6,285.6,10.1,0.0
2400.0,134.9,291.6,10.1,0.0
2430.0,138.3,296.1,10.0,0.0
2460.0,141.9,301.2,10.4,0.0
2490.0,145.0,306.9,10.6,0.0
2520.0,152.3,309.8,11.6,0.0
2550.0,158.4,314.5,11.7,0.0
2580.0,162.3,321.4,11.6,0.0
2610.0,165.3,327.7,11.6,0.0
2640.0,169.9,333.5,11.9,0.0
2670.0,173.5,340.0,12.0,0.0
2700.0,178.7,344.6,12.5,0.0
2730.0,181.2,352.3,12.3,0.0
2760.0,178.7,364.2,12.3,0.0
2790.0,182.0,371.5,12.3,0.0
2820.0,184.2,379.5,12.7,0.0
2850.0,187.0,388.6,12.6,0.0
2880.0,191.3,396.2,12.9,0.0
2910.0,197.1,402.7,13.5,0.0
2940.0,203.9,409.5,13.5,0.0
2970.0,209.1,416.5,13.4,0.0
3000.0,208.7,426.8,13.9,0.0
3030.0,209.0,438.6,13.3,0.0
3060.0,211.6,448.7,13.7,0.0
3090.0,214.7,459.0,14.3,0.0
3120.0,220.9,467.2,14.6,0.0
3150.0,225.0,476.2,14.7,0.0
3180.0,231.8,483.7,15.0,0.0
3210.0,239.8,491.2,15.2,0.0
3240.0,241.5,502.6,15.8,0.0
3270.0,250.9,508.6,17.3,0.0
3300.0,258.7,517.2,17.9,0.0
3330.0,265.6,526.6,18.8,0.0
3360.0,268.8,539.2,19.0,0.0
3390.0,269.1,553.2,19.4,0.0
3420.0,274.9,563.2,20.5,0.0
3450.0,287.6,570.5,20.7,0.0
3480.0,294.7,582.1,21.4,0.0
3510.0,302.8,592.5,21.6,0.0
3540.0,312.1,602.5,22.8,0.0
3570.0,313.1,618.5,23.8,0.0
3600.0,315.4,633.9,24.2,0.0
