times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.75862284,2.77308492,0.45825757,0.00000000
60.00000000,3.38230691,3.74299345,0.66332496,0.00000000
90.00000000,4.19642705,4.36004587,0.83066239,0.00000000
120.00000000,4.74973683,4.93558507,0.89442719,0.00000000
150.00000000,4.96084670,4.75815090,0.89442719,0.00000000
180.00000000,5.27636238,5.02095608,1.16619038,0.00000000
210.00000000,5.43046959,4.77912126,1.20000000,0.00000000
240.00000000,5.16236380,3.83275358,1.24899960,0.00000000
270.00000000,5.88302643,4.68614981,1.37477271,0.00000000
300.00000000,4.87442304,4.49444101,1.34536240,0.00000000
330.00000000,6.32534584,5.46717477,1.20415946,0.00000000
360.00000000,5.40832691,4.75394573,1.26885775,0.00000000
390.00000000,5.33760246,4.00000000,1.13578167,0.00000000
420.00000000,4.81663783,4.10000000,1.16619038,0.00000000
450.00000000,3.50000000,3.85227206,1.36014705,0.00000000
480.00000000,5.85234996,2.69072481,1.35646600,0.00000000
510.00000000,7.74596669,3.58468967,1.35646600,0.00000000
540.00000000,7.57891813,3.65513338,1.28452326,0.00000000
570.00000000,8.95600357,4.86723741,1.11355287,0.00000000
600.00000000,6.90217357,4.40000000,1.24899960,0.00000000
630.00000000,7.11055553,5.41848687,1.07703296,0.00000000
660.00000000,7.45922248,5.70613705,1.26491106,0.00000000
690.00000000,7.37292344,5.79741322,1.26491106,0.00000000
720.00000000,6.20000000,6.52763357,1.32664992,0.00000000
750.00000000,5.33291665,8.39047079,1.48323970,0.00000000
780.00000000,5.78359750,8.31624915,1.32664992,0.00000000
810.00000000,6.20966988,6.90289794,1.79164729,0.00000000
840.00000000,7.68439978,7.61642961,1.95959179,0.00000000
870.00000000,8.04052237,7.18331400,1.68819430,0.00000000
900.00000000,8.49470423,8.20304821,1.35646600,0.00000000
930.00000000,9.94987437,6.66333250,1.53622915,0.00000000
960.00000000,8.40238062,6.50845604,1.80000000,0.00000000
990.00000000,8.86340792,8.23468275,1.97230829,0.00000000
1020.00000000,10.73359213,8.87749965,1.98997487,0.00000000
1050.00000000,8.84590301,8.38093074,2.36854386,0.00000000
1080.00000000,9.10164820,9.48472456,2.03960781,0.00000000
