times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,1000.0,0.0,0.0,0.0
30.0,901.8,98.4,1.5,0.0
60.0,818.3,185.4,3.6,0.0
90.0,742.7,265.5,5.9,0.0
120.0,686.3,330.4,6.2,0.0
150.0,634.7,390.8,7.6,0.0
180.0,593.8,443.1,9.2,0.0
210.0,561.1,488.3,12.0,0.0
240.0,537.7,527.5,13.7,0.0
270.0,512.0,568.2,15.5,0.0
300.0,495.0,602.7,16.8,0.0
330.0,481.2,635.6,18.3,0.0
360.0,468.8,666.0,19.5,0.0
390.0,457.7,697.6,20.8,0.0
420.0,454.0,722.4,22.2,0.0
450.0,446.5,750.2,23.9,0.0
480.0,449.5,769.5,26.4,0.0
510.0,448.4,792.3,28.1,0.0
540.0,445.4,816.7,29.6,0.0
570.0,447.1,838.6,29.6,0.0
600.0,451.1,860.9,29.3,0.0
630.0,455.8,882.8,31.8,0.0
660.0,468.1,900.3,32.4,0.0
690.0,471.1,921.8,33.5,0.0
720.0,478.9,943.0,32.5,0.0
750.0,486.1,963.8,32.9,0.0
780.0,492.5,982.8,34.4,0.0
810.0,501.5,1002.8,36.0,0.0
840.0,510.2,1025.4,36.4,0.0
870.0,522.1,1044.6,38.3,0.0
900.0,528.8,1067.4,39.7,0.0
930.0,538.0,1090.8,40.0,0.0
960.0,547.9,1113.5,40.4,0.0
990.0,558.4,1135.2,41.6,0.0
1020.0,568.5,1158.5,41.0,0.0
1050.0,575.4,1186.4,41.0,0.0
1080.0,591.0,1208.1,41.6,0.0
1110.0,605.7,1229.9,42.2,0.0
1140.0,617.3,1255.3,42.8,0.0
1170.0,638.6,1273.6,44.7,0.0
1200.0,647.8,1301.3,45.3,0.0
1230.0,661.7,1327.9,47.3,0.0
1260.0,671.6,1357.1,47.7,0.0
1290.0,681.8,1388.5,48.7,0.0
1320.0,693.9,1419.0,48.5,0.0
1350.0,699.2,1451.0,49.8,0.0
1380.0,722.7,1474.1,49.4,0.0
1410.0,736.7,1504.7,49.6,0.0
1440.0,754.3,1531.0,50.6,0.0
1470.0,772.9,1559.3,52.5,0.0
1500.0,785.9,1589.8,52.8,0.0
1530.0,804.8,1620.2,55.1,0.0
1560.0,819.3,1656.3,58.2,0.0
1590.0,846.3,1683.7,59.9,0.0
1620.0,853.8,1722.6,60.9,0.0
1650.0,875.2,1754.7,61.3,0.0
1680.0,901.0,1785.8,61.9,0.0
1710.0,924.3,1818.5,64.2,0.0
1740.0,933.3,1860.9,65.7,0.0
1770.0,954.5,1894.3,68.9,0.0
1800.0,973.3,1932.3,70.9,0.0
1830.0,994.1,1970.0,73.1,0.0
1860.0,1021.9,2006.6,75.4,0.0
1890.0,1032.1,2052.8,77.7,0.0
1920.0,1057.0,2088.6,81.2,0.0
1950.0,1073.5,2137.0,82.4,0.0
1980.0,1102.1,2175.2,84.6,0.0
2010.0,1126.7,2216.8,86.3,0.0
2040.0,1149.7,2262.8,88.6,0.0
2070.0,1166.7,2312.5,88.6,0.0
2100.0,1188.5,2358.9,90.4,0.0
2130.0,1208.4,2410.3,90.8,0.0
2160.0,1236.8,2457.2,92.1,0.0
2190.0,1266.2,2502.2,92.9,0.0
2220.0,1297.7,2547.7,92.7,0.0
2250.0,1315.9,2604.5,92.7,0.0
2280.0,1336.0,2664.9,92.1,0.0
2310.0,1356.4,2722.2,93.3,0.0
2340.0,1389.4,2772.6,93.8,0.0
2370.0,1415.2,2831.1,94.7,0.0
2400.0,1444.8,2885.4,97.9,0.0
2430.0,1472.4,2944.3,99.6,0.0
2460.0,1509.9,2999.6,102.9,0.0
2490.0,1539.1,3060.0,103.1,0.0
2520.0,1570.8,3123.4,105.0,0.0
2550.0,1604.7,3193.1,105.3,0.0
2580.0,1637.7,3257.2,107.5,0.0
2610.0,1674.8,3322.5,109.0,0.0
2640.0,1696.6,3394.4,114.6,0.0
2670.0,1743.5,3459.4,117.1,0.0
2700.0,1767.2,3539.3,119.3,0.0
2730.0,1804.0,3612.8,123.0,0.0
2760.0,1842.6,3684.8,125.5,0.0
2790.0,1879.3,3758.3,128.0,0.0
2820.0,1918.9,3835.0,129.9,0.0
2850.0,1947.7,3917.4,134.3,0.0
2880.0,1992.4,3992.1,136.6,0.0
2910.0,2041.5,4068.1,140.2,0.0
2940.0,2101.7,4138.5,141.9,0.0
2970.0,2138.7,4226.4,144.6,0.0
3000.0,2171.5,4315.1,148.8,0.0
3030.0,2213.6,4399.7,152.8,0.0
3060.0,2253.0,4491.4,157.3,0.0
3090.0,2290.2,4589.1,160.4,0.0
3120.0,2311.8,4696.5,165.1,0.0
3150.0,2368.2,4784.2,167.3,0.0
3180.0,2384.8,4907.2,169.3,0.0
3210.0,2444.2,5000.1,172.3,0.0
3240.0,2491.7,5105.4,173.2,0.0
3270.0,2554.3,5199.5,178.7,0.0
3300.0,2597.9,5312.5,182.7,0.0
3330.0,2656.8,5416.0,187.6,0.0
3360.0,2722.9,5517.6,188.5,0.0
3390.0,2775.6,5631.5,193.3,0.0
3420.0,2829.0,5746.0,194.9,0.0
3450.0,2905.0,5853.4,198.5,0.0
3480.0,2982.6,5958.7,202.4,0.0
3510.0,3009.3,6102.3,205.4,0.0
3540.0,3053.4,6234.5,209.9,0.0
3570.0,3126.7,6356.3,212.3,0.0
3600.0,3200.1,6476.2,216.4,0.0
