times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,9.99799980,9.28654941,1.02469508,0.00000000
60.00000000,14.35304846,14.54097658,1.49666295,0.00000000
90.00000000,12.41813190,13.89424341,3.20780299,0.00000000
120.00000000,15.50516043,16.20000000,3.18747549,0.00000000
150.00000000,11.98373898,14.27445270,3.72021505,0.00000000
180.00000000,8.29216498,12.80976190,3.89358447,0.00000000
210.00000000,14.88925787,13.14572174,3.40587727,0.00000000
240.00000000,17.41866815,15.73689931,3.71618084,0.00000000
270.00000000,16.85823241,15.07846146,3.61247837,0.00000000
300.00000000,12.07476708,12.27232659,3.86781592,0.00000000
330.00000000,17.46882938,13.44023809,4.42831797,0.00000000
360.00000000,17.56587601,10.36339713,4.63141447,0.00000000
390.00000000,17.83283488,10.57544325,4.74973683,0.00000000
420.00000000,24.64142853,12.80000000,4.68614981,0.00000000
450.00000000,28.21790212,14.66151425,4.86723741,0.00000000
480.00000000,26.28402557,13.07860849,5.27636238,0.00000000
510.00000000,27.59057810,15.53093687,5.73498038,0.00000000
540.00000000,24.22890835,9.07799537,6.03655531,0.00000000
570.00000000,29.51084546,7.85111457,5.37028863,0.00000000
600.00000000,25.00179994,8.60755482,5.40462765,0.00000000
630.00000000,26.56237941,10.37111373,6.58483105,0.00000000
660.00000000,24.87749987,10.25719260,6.68131724,0.00000000
690.00000000,26.69250831,9.34665716,5.83523778,0.00000000
720.00000000,29.82431894,13.23631369,4.31856458,0.00000000
750.00000000,26.58364159,15.42595216,4.32319326,0.00000000
780.00000000,28.83140649,21.88515479,3.74699880,0.00000000
810.00000000,25.00099998,17.75837830,3.92428337,0.00000000
840.00000000,30.14232904,20.34797287,3.92937654,0.00000000
870.00000000,28.64070530,25.43304936,3.92555729,0.00000000
900.00000000,26.01076700,28.70958028,5.04083326,0.00000000
930.00000000,21.48022346,29.43059632,4.31277173,0.00000000
960.00000000,24.17209135,28.79322837,3.80000000,0.00000000
990.00000000,26.91913817,24.56338739,4.31740663,0.00000000
1020.00000000,23.46593275,24.65461417,5.01996016,0.00000000
1050.00000000,23.80000000,29.06269086,5.27257053,0.00000000
1080.00000000,22.61857644,30.22730554,4.80000000,0.00000000
1110.00000000,19.43733521,30.70651397,4.79165942,0.00000000
1140.00000000,21.23228674,33.60372003,4.26145515,0.00000000
1170.00000000,28.42252628,35.81954774,5.27351875,0.00000000
1200.00000000,35.07078556,38.32766625,5.84893153,0.00000000
1230.00000000,29.30204771,34.01014555,6.35688603,0.00000000
1260.00000000,29.72271858,37.15225431,6.78306715,0.00000000
1290.00000000,21.41401410,29.41513216,6.51229606,0.00000000
1320.00000000,23.71265485,28.55520968,6.43816744,0.00000000
1350.00000000,24.99919999,25.85343304,6.12862138,0.00000000
1380.00000000,32.05947598,26.21240165,6.48382603,0.00000000
1410.00000000,33.21761581,27.97159273,7.87654747,0.00000000
1440.00000000,38.77898916,23.02172887,8.49941174,0.00000000
1470.00000000,45.57949100,22.96540877,8.66314031,0.00000000
1500.00000000,37.05792763,23.54485082,8.88594396,0.00000000
1530.00000000,40.42227109,24.43276489,9.99449849,0.00000000
1560.00000000,38.34331754,26.01941583,8.70402206,0.00000000
1590.00000000,38.13148306,28.95876379,10.00449899,0.00000000
1620.00000000,35.06508235,33.12763197,9.96443676,0.00000000
1650.00000000,34.22805867,38.14197163,10.09009415,0.00000000
1680.00000000,48.25556963,40.75733063,10.06429332,0.00000000
1710.00000000,48.32194119,41.98392550,9.73447482,0.00000000
1740.00000000,46.06962123,40.23046110,9.97045636,0.00000000
1770.00000000,40.91515612,45.45338271,9.13728625,0.00000000
1800.00000000,39.19706622,48.60462941,7.95550124,0.00000000
1830.00000000,37.89050013,54.26785420,7.89240141,0.00000000
1860.00000000,33.88347680,56.44147411,7.48598691,0.00000000
1890.00000000,36.22830385,51.79922779,7.84920378,0.00000000
1920.00000000,39.96998874,50.61462239,8.61162006,0.00000000
1950.00000000,41.98154356,53.79962825,9.30806102,0.00000000
1980.00000000,38.62499191,50.01759690,7.82559902,0.00000000
2010.00000000,38.63431118,62.52487505,6.06712452,0.00000000
2040.00000000,35.38940519,57.49921739,7.95235814,0.00000000
2070.00000000,33.24469883,59.36370945,8.86791971,0.00000000
2100.00000000,40.14037867,60.99581953,7.70973411,0.00000000
2130.00000000,38.40624949,54.72851176,8.13387976,0.00000000
2160.00000000,48.42478704,57.14332857,8.11726555,0.00000000
2190.00000000,43.98135969,45.60877109,7.43572458,0.00000000
2220.00000000,46.59839053,40.74076582,6.90000000,0.00000000
2250.00000000,40.13091078,44.09818590,8.42674314,0.00000000
2280.00000000,47.90615827,41.87230588,9.64831592,0.00000000
2310.00000000,46.14152143,40.47913043,11.31415043,0.00000000
2340.00000000,43.50678108,42.28758683,11.53949739,0.00000000
2370.00000000,37.50146664,46.38631264,11.60215497,0.00000000
2400.00000000,49.51121085,44.98044019,10.68129206,0.00000000
2430.00000000,48.12733111,57.08598777,9.06862724,0.00000000
2460.00000000,48.49628852,62.40544848,9.34291175,0.00000000
2490.00000000,51.30584762,55.28833512,9.31074648,0.00000000
2520.00000000,53.38876286,58.04515484,9.27361850,0.00000000
2550.00000000,53.08681569,60.08735308,8.72983390,0.00000000
2580.00000000,60.54262961,52.94487699,10.44270080,0.00000000
2610.00000000,58.83502358,55.43148925,9.84885780,0.00000000
2640.00000000,62.64375468,57.44249298,12.17538500,0.00000000
2670.00000000,49.94046456,67.37388218,12.24295716,0.00000000
2700.00000000,63.13445969,58.02421908,14.08580846,0.00000000
2730.00000000,68.93475176,60.98491617,13.99285532,0.00000000
2760.00000000,72.58677566,54.99963636,12.49199744,0.00000000
2790.00000000,68.27744869,56.37916282,11.84905059,0.00000000
2820.00000000,80.16788634,56.20142347,10.94029250,0.00000000
2850.00000000,79.22127240,59.07994584,9.14385039,0.00000000
2880.00000000,73.32830286,58.46443363,9.04654630,0.00000000
2910.00000000,70.16872523,72.82918371,10.51475154,0.00000000
2940.00000000,72.50662039,70.49716306,13.55322840,0.00000000
2970.00000000,68.23642722,73.90832159,11.29778739,0.00000000
3000.00000000,63.32021794,83.71314114,9.56869897,0.00000000
3030.00000000,77.81670772,76.41734096,11.88107739,0.00000000
3060.00000000,88.45903006,74.14742072,10.78934660,0.00000000
3090.00000000,78.62671302,84.90753795,12.73734666,0.00000000
3120.00000000,77.92278229,78.91799541,11.04943437,0.00000000
3150.00000000,73.04628670,86.75229104,10.96403211,0.00000000
3180.00000000,68.68012813,88.66656642,9.85951317,0.00000000
3210.00000000,80.99357999,83.51101724,12.03370267,0.00000000
3240.00000000,82.45853503,89.26275819,11.56546584,0.00000000
3270.00000000,80.34805536,92.70409915,12.18236430,0.00000000
3300.00000000,78.38552162,93.89808305,13.28946952,0.00000000
3330.00000000,93.29072837,91.90103373,9.07964757,0.00000000
3360.00000000,95.62055218,98.95170539,8.77781294,0.00000000
3390.00000000,114.74946623,100.77028332,7.19791637,0.00000000
3420.00000000,106.61613386,99.05150176,5.16623654,0.00000000
3450.00000000,99.24112051,106.20659113,4.56618002,0.00000000
3480.00000000,98.15110799,115.47384985,6.28012739,0.00000000
3510.00000000,80.30946395,130.16070836,10.04191217,0.00000000
3540.00000000,83.07972075,133.49176005,10.78378412,0.00000000
3570.00000000,103.48048125,134.44258998,13.00807442,0.00000000
3600.00000000,81.38728402,155.48041677,14.93452376,0.00000000
