times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
30.00000000,0.00000001,0.00000519
60.00000000,0.00836842,0.00317096
90.00000000,0.01680965,0.00654025
120.00000000,0.01965124,0.00728795
150.00000000,0.02171326,0.00767125
180.00000000,0.02392183,0.00774598
210.00000000,0.02407978,0.00812423
240.00000000,0.02420434,0.00911645
270.00000000,0.02953272,0.00915223
300.00000000,0.03723290,0.00916624
330.00000000,0.04252600,0.00922159
360.00000000,0.04714420,0.00932555
390.00000000,0.06634339,0.01015006
420.00000000,0.07198215,0.01034279
450.00000000,0.07207805,0.01264194
480.00000000,0.07269776,0.01652479
510.00000000,0.07667104,0.02215045
540.00000000,0.08452055,0.03296453
570.00000000,0.08487466,0.03925820
600.00000000,0.09112475,0.05193621
630.00000000,0.09160234,0.05596549
660.00000000,0.09406318,0.06412261
690.00000000,0.09503419,0.06632136
720.00000000,0.11210337,0.06633461
750.00000000,0.12740903,0.06633752
780.00000000,0.13210300,0.06758718
810.00000000,0.13442680,0.06971447
840.00000000,0.13835628,0.07087847
870.00000000,0.14907490,0.07170241
900.00000000,0.15407431,0.07343915
930.00000000,0.16709151,0.07412788
960.00000000,0.20395224,0.07416273
990.00000000,0.24573308,0.07426261
1020.00000000,0.26386097,0.07533270
1050.00000000,0.30356531,0.07534738
1080.00000000,0.31324113,0.07943746
1110.00000000,0.33288608,0.08246234
1140.00000000,0.33349900,0.09132478
1170.00000000,0.33384931,0.10121070
1200.00000000,0.33423226,0.11010837
1230.00000000,0.38412861,0.13598761
1260.00000000,0.47990044,0.17580107
1290.00000000,0.51774769,0.19884078
1320.00000000,0.58197636,0.23184028
1350.00000000,0.64592671,0.26779484
1380.00000000,0.67697935,0.28923391
1410.00000000,0.68365853,0.30022041
1440.00000000,0.68562638,0.31403861
1470.00000000,0.70987810,0.34395001
1500.00000000,0.73740432,0.36947817
1530.00000000,0.73913145,0.38229426
1560.00000000,0.74244255,0.39558358
1590.00000000,0.75540996,0.41271573
1620.00000000,0.76273372,0.42689693
1650.00000000,0.79853392,0.44945242
1680.00000000,0.81024034,0.46221188
1710.00000000,0.81731007,0.47244360
1740.00000000,0.82734530,0.48079487
1770.00000000,0.82768689,0.48315329
1800.00000000,0.86647765,0.48389680
1830.00000000,0.88480795,0.48394888
1860.00000000,0.89662658,0.48396008
1890.00000000,0.89775954,0.48659406
1920.00000000,0.90366736,0.48844790
1950.00000000,0.90380061,0.49652518
1980.00000000,0.90568152,0.50210458
2010.00000000,0.90595685,0.51526202
2040.00000000,0.91772653,0.51737576
2070.00000000,1.01405074,0.51982093
2100.00000000,1.04985663,0.51982372
2130.00000000,1.05025699,0.53135402
2160.00000000,1.06079152,0.53508274
2190.00000000,1.07339873,0.53923305
2220.00000000,1.09142897,0.56436027
2250.00000000,1.09647845,0.56754495
2280.00000000,1.10031418,0.57225599
2310.00000000,1.10032533,0.59092318
2340.00000000,1.10208012,0.60674177
2370.00000000,1.16760592,0.60903148
2400.00000000,1.16986663,0.63120582
2430.00000000,1.17233910,0.65668456
2460.00000000,1.17319886,0.68487591
2490.00000000,1.17724224,0.73102695
2520.00000000,1.17767070,0.77377971
2550.00000000,1.18602495,0.80373717
2580.00000000,1.19729703,0.83764137
2610.00000000,1.20545179,0.87724205
2640.00000000,1.24630917,0.90075770
2670.00000000,1.30477350,0.92231514
2700.00000000,1.34190316,0.96350047
2730.00000000,1.35289974,1.01552255
2760.00000000,1.40574045,1.15150276
2790.00000000,1.40614435,1.24327407
2820.00000000,1.42358730,1.37193589
2850.00000000,1.42358781,1.47026380
2880.00000000,1.42574955,1.60480216
2910.00000000,1.45308803,1.80045460
2940.00000000,1.47150647,1.88706409
2970.00000000,1.51098061,1.95292346
3000.00000000,1.55040768,2.01708767
3030.00000000,1.57888657,2.10135539
3060.00000000,1.58346894,2.22394032
3090.00000000,1.61248592,2.32366197
3120.00000000,1.62655177,2.45128613
3150.00000000,1.64780544,2.54777804
3180.00000000,1.64971860,2.68854724
3210.00000000,1.73229434,2.75828620
3240.00000000,1.88072358,2.80561266
3270.00000000,2.05783652,2.84352959
3300.00000000,2.27795957,2.88417241
3330.00000000,2.29723170,3.05076510
3360.00000000,2.30010865,3.29324513
3390.00000000,2.30038024,3.51063566
3420.00000000,2.30102983,3.71564407
3450.00000000,2.41590349,3.84836171
3480.00000000,2.41598462,4.11589478
3510.00000000,2.42068950,4.39791175
3540.00000000,2.52492412,4.79287774
3570.00000000,2.65706105,5.28879239
3600.00000000,2.84368850,5.84643172
