times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
90.00000000,0.00844122,0.00336929
180.00000000,0.01064980,0.00344401
270.00000000,0.01597818,0.00347980
360.00000000,0.02059639,0.00358376
450.00000000,0.02069229,0.00588291
540.00000000,0.02854179,0.01669699
630.00000000,0.02901938,0.02072627
720.00000000,0.04608857,0.02073953
810.00000000,0.04841237,0.02286681
900.00000000,0.05341177,0.02460355
990.00000000,0.09519261,0.02470342
1080.00000000,0.10486843,0.02879350
1170.00000000,0.10521874,0.03867941
1260.00000000,0.20099057,0.07849287
1350.00000000,0.26494092,0.11444743
1440.00000000,0.26690877,0.12826563
1530.00000000,0.26863590,0.14108172
1620.00000000,0.27595967,0.15526292
1710.00000000,0.28302940,0.16549464
1800.00000000,0.32182015,0.16623815
1890.00000000,0.32295311,0.16887213
1980.00000000,0.32483402,0.17445154
2070.00000000,0.42115823,0.17689671
2160.00000000,0.43169276,0.18062544
2250.00000000,0.43674224,0.18381012
2340.00000000,0.43849703,0.19962871
2430.00000000,0.44096951,0.22510744
2520.00000000,0.44139796,0.26786021
2610.00000000,0.44955272,0.30746088
2700.00000000,0.48668238,0.34864622
2790.00000000,0.48708629,0.44041753
2880.00000000,0.48924802,0.57495589
2970.00000000,0.52872216,0.64081526
3060.00000000,0.53330453,0.76340019
3150.00000000,0.55455820,0.85989211
3240.00000000,0.70298744,0.90721857
3330.00000000,0.72225957,1.07381126
3420.00000000,0.72290915,1.27881967
3510.00000000,0.72761403,1.56083663
3600.00000000,0.91424149,2.11847596
