times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0,0.0
30.0,88.7,11.5,0.0,0.0
60.0,79.3,21.6,0.0,0.0
90.0,73.5,27.9,0.0,0.0
120.0,67.6,34.9,0.0,0.0
150.0,62.8,41.2,0.0,0.0
180.0,59.0,47.0,0.0,0.0
210.0,56.0,51.6,0.0,0.0
240.0,54.1,55.5,0.0,0.0
270.0,51.4,59.6,0.0,0.0
300.0,48.6,64.0,0.0,0.0
330.0,46.2,68.1,0.0,0.0
360.0,47.2,69.6,0.0,0.0
390.0,47.3,71.4,0.0,0.0
420.0,46.7,74.7,0.0,0.0
450.0,45.8,78.5,0.0,0.0
480.0,45.4,80.9,0.0,0.0
510.0,47.0,82.5,0.0,0.0
540.0,49.0,83.7,0.0,0.0
570.0,46.9,87.3,0.0,0.0
600.0,51.1,87.6,0.0,0.0
630.0,52.5,90.0,0.0,0.0
660.0,52.4,93.4,0.0,0.0
690.0,51.5,97.0,0.0,0.0
720.0,52.5,98.9,0.0,0.0
750.0,53.7,101.1,0.0,0.0
780.0,53.0,104.6,0.0,0.0
810.0,51.8,108.4,0.0,0.0
840.0,51.7,111.6,0.0,0.0
870.0,54.3,112.8,0.0,0.0
900.0,54.3,116.3,0.0,0.0
930.0,55.2,118.8,0.0,0.0
960.0,57.1,121.3,0.0,0.0
990.0,59.6,123.3,0.0,0.0
1020.0,62.1,125.3,0.0,0.0
1050.0,63.6,128.0,0.0,0.0
1080.0,65.7,131.5,0.0,0.0
1110.0,63.8,137.1,0.0,0.0
1140.0,66.6,139.4,0.0,0.0
1170.0,69.1,141.9,0.0,0.0
1200.0,71.3,144.0,0.0,0.0
1230.0,72.3,146.9,0.0,0.0
1260.0,73.5,149.9,0.0,0.0
1290.0,75.7,153.0,0.0,0.0
1320.0,76.6,156.9,0.0,0.0
1350.0,79.1,160.0,0.0,0.0
1380.0,83.2,162.4,0.0,0.0
1410.0,83.1,167.0,0.0,0.0
1440.0,83.0,171.4,0.0,0.0
1470.0,82.9,176.4,0.0,0.0
1500.0,87.7,179.2,0.0,0.0
1530.0,92.0,181.5,0.0,0.0
1560.0,93.1,186.7,0.0,0.0
1590.0,94.3,191.2,0.0,0.0
1620.0,95.4,196.6,0.0,0.0
1650.0,98.6,199.7,0.0,0.0
1680.0,98.7,204.7,0.0,0.0
1710.0,104.5,207.5,0.0,0.0
1740.0,109.5,210.8,0.0,0.0
1770.0,110.8,216.1,0.0,0.0
1800.0,111.0,222.2,0.0,0.0
1830.0,112.8,227.6,0.0,0.0
1860.0,116.0,232.8,0.0,0.0
1890.0,116.8,238.0,0.0,0.0
1920.0,116.2,245.2,0.0,0.0
1950.0,115.6,252.4,0.0,0.0
1980.0,119.3,257.9,0.0,0.0
2010.0,124.2,261.4,0.0,0.0
2040.0,128.8,265.4,0.0,0.0
2070.0,134.0,269.2,0.0,0.0
2100.0,135.7,276.0,0.0,0.0
2130.0,137.5,282.5,0.0,0.0
2160.0,138.1,290.1,0.0,0.0
2190.0,140.4,296.7,0.0,0.0
2220.0,142.2,303.2,0.0,0.0
2250.0,146.5,308.5,0.0,0.0
2280.0,148.0,316.3,0.0,0.0
2310.0,154.6,320.6,0.0,0.0
2340.0,159.6,326.6,0.0,0.0
2370.0,166.2,331.2,0.0,0.0
2400.0,169.4,339.0,0.0,0.0
2430.0,175.3,345.0,0.0,0.0
2460.0,175.2,355.8,0.0,0.0
2490.0,177.5,364.4,0.0,0.0
2520.0,176.4,375.4,0.0,0.0
2550.0,180.4,382.1,0.0,0.0
2580.0,188.6,388.8,0.0,0.0
2610.0,192.3,397.3,0.0,0.0
2640.0,197.9,404.7,0.0,0.0
2670.0,202.5,413.7,0.0,0.0
2700.0,207.4,422.1,0.0,0.0
2730.0,212.1,431.1,0.0,0.0
2760.0,221.9,437.4,0.0,0.0
2790.0,227.6,445.1,0.0,0.0
2820.0,234.7,453.5,0.0,0.0
2850.0,241.0,462.0,0.0,0.0
2880.0,246.8,472.5,0.0,0.0
2910.0,252.7,482.3,0.0,0.0
2940.0,253.6,496.2,0.0,0.0
2970.0,260.9,506.1,0.0,0.0
3000.0,267.8,517.5,0.0,0.0
3030.0,272.2,530.2,0.0,0.0
3060.0,278.3,540.3,0.0,0.0
3090.0,277.5,557.9,0.0,0.0
3120.0,278.6,572.1,0.0,0.0
3150.0,284.3,585.5,0.0,0.0
3180.0,294.5,595.5,0.0,0.0
3210.0,299.2,609.8,0.0,0.0
3240.0,305.9,622.4,0.0,0.0
3270.0,310.8,637.4,0.0,0.0
3300.0,320.1,649.6,0.0,0.0
3330.0,332.9,660.8,0.0,0.0
3360.0,336.6,677.2,0.0,0.0
3390.0,344.3,691.9,0.0,0.0
3420.0,352.2,708.7,0.0,0.0
3450.0,361.5,723.8,0.0,0.0
3480.0,364.1,743.1,0.0,0.0
3510.0,372.0,759.3,0.0,0.0
3540.0,374.1,780.1,0.0,0.0
3570.0,378.7,798.1,0.0,0.0
3600.0,387.8,813.4,0.0,0.0
