times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0
30.0,33.3,3.8,0.0,0.0
60.0,30.1,7.2,0.0,0.0
90.0,27.5,10.0,0.0,0.0
120.0,25.2,12.5,0.0,0.0
150.0,23.8,14.4,0.0,0.0
180.0,22.5,16.2,0.0,0.0
210.0,20.7,18.4,0.0,0.0
240.0,19.8,20.0,0.0,0.0
270.0,18.7,21.7,0.0,0.0
300.0,18.0,23.2,0.0,0.0
330.0,17.5,24.5,0.0,0.0
360.0,17.0,25.7,0.0,0.0
390.0,16.4,26.9,0.0,0.0
420.0,16.1,28.0,0.0,0.0
450.0,16.3,28.7,0.0,0.0
480.0,16.5,29.4,0.0,0.0
510.0,17.3,29.9,0.0,0.0
540.0,17.7,30.6,0.0,0.0
570.0,17.6,31.5,0.0,0.0
600.0,17.5,32.5,0.0,0.0
630.0,17.1,33.7,0.0,0.0
660.0,17.5,34.5,0.0,0.0
690.0,17.4,35.5,0.0,0.0
720.0,17.4,36.5,0.0,0.0
750.0,17.4,37.4,0.0,0.0
780.0,17.7,38.1,0.0,0.0
810.0,18.8,38.4,0.0,0.0
840.0,19.2,39.3,0.0,0.0
870.0,19.1,40.5,0.0,0.0
900.0,19.3,41.4,0.0,0.0
930.0,20.2,42.0,0.0,0.0
960.0,20.3,43.1,0.0,0.0
990.0,21.2,43.6,0.0,0.0
1020.0,21.2,44.9,0.0,0.0
1050.0,21.1,46.2,0.0,0.0
1080.0,22.3,46.7,0.0,0.0
1110.0,22.2,48.1,0.0,0.0
1140.0,22.4,49.3,0.0,0.0
1170.0,23.1,50.2,0.0,0.0
1200.0,23.9,51.2,0.0,0.0
1230.0,25.6,51.7,0.0,0.0
1260.0,26.2,52.9,0.0,0.0
1290.0,26.5,54.2,0.0,0.0
1320.0,27.6,54.9,0.0,0.0
1350.0,27.6,56.4,0.0,0.0
1380.0,28.3,57.6,0.0,0.0
1410.0,29.5,58.6,0.0,0.0
1440.0,30.1,59.8,0.0,0.0
1470.0,30.3,61.6,0.0,0.0
1500.0,31.4,62.8,0.0,0.0
1530.0,31.8,64.3,0.0,0.0
1560.0,32.9,65.6,0.0,0.0
1590.0,34.0,66.8,0.0,0.0
1620.0,34.5,68.2,0.0,0.0
1650.0,34.6,70.0,0.0,0.0
1680.0,35.8,71.1,0.0,0.0
1710.0,36.5,72.9,0.0,0.0
1740.0,36.7,75.0,0.0,0.0
1770.0,37.3,76.6,0.0,0.0
1800.0,37.4,78.6,0.0,0.0
1830.0,38.6,80.1,0.0,0.0
1860.0,40.4,81.2,0.0,0.0
1890.0,40.6,83.3,0.0,0.0
1920.0,41.2,85.3,0.0,0.0
1950.0,43.3,86.4,0.0,0.0
1980.0,44.2,88.1,0.0,0.0
2010.0,45.7,89.7,0.0,0.0
2040.0,45.8,92.4,0.0,0.0
2070.0,47.5,93.9,0.0,0.0
2100.0,49.1,95.9,0.0,0.0
2130.0,49.7,98.2,0.0,0.0
2160.0,50.8,100.3,0.0,0.0
2190.0,52.4,102.2,0.0,0.0
2220.0,53.6,104.7,0.0,0.0
2250.0,53.9,107.5,0.0,0.0
2280.0,55.6,109.9,0.0,0.0
2310.0,56.4,112.3,0.0,0.0
2340.0,57.2,115.1,0.0,0.0
2370.0,57.9,118.0,0.0,0.0
2400.0,59.7,120.0,0.0,0.0
2430.0,61.4,122.4,0.0,0.0
2460.0,61.7,125.6,0.0,0.0
2490.0,63.1,128.2,0.0,0.0
2520.0,65.1,130.5,0.0,0.0
2550.0,66.4,133.3,0.0,0.0
2580.0,68.3,135.9,0.0,0.0
2610.0,70.2,138.7,0.0,0.0
2640.0,70.8,142.3,0.0,0.0
2670.0,71.8,145.9,0.0,0.0
2700.0,74.0,148.2,0.0,0.0
2730.0,76.0,151.3,0.0,0.0
2760.0,77.3,154.8,0.0,0.0
2790.0,79.4,157.8,0.0,0.0
2820.0,81.6,161.1,0.0,0.0
2850.0,82.7,164.7,0.0,0.0
2880.0,83.9,168.7,0.0,0.0
2910.0,85.8,172.3,0.0,0.0
2940.0,87.7,175.9,0.0,0.0
2970.0,89.3,180.1,0.0,0.0
3000.0,91.8,183.6,0.0,0.0
3030.0,94.2,187.4,0.0,0.0
3060.0,97.2,191.2,0.0,0.0
3090.0,99.7,195.2,0.0,0.0
3120.0,100.5,200.5,0.0,0.0
3150.0,101.6,206.0,0.0,0.0
3180.0,103.4,210.6,0.0,0.0
3210.0,104.1,216.1,0.0,0.0
3240.0,105.8,221.0,0.0,0.0
3270.0,107.9,225.9,0.0,0.0
3300.0,110.7,230.3,0.0,0.0
3330.0,113.9,235.0,0.0,0.0
3360.0,116.9,239.5,0.0,0.0
3390.0,119.9,244.0,0.0,0.0
3420.0,123.5,248.8,0.0,0.0
3450.0,125.7,254.7,0.0,0.0
3480.0,129.2,260.0,0.0,0.0
3510.0,131.9,265.5,0.0,0.0
3540.0,135.4,270.8,0.0,0.0
3570.0,139.1,275.9,0.0,0.0
3600.0,144.1,280.8,0.0,0.0
