times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,1.66865215,1.58189759,0.00000000,0.00000000
60.00000000,2.31006493,2.20327030,0.00000000,0.00000000
90.00000000,2.75129061,2.54558441,0.00000000,0.00000000
120.00000000,3.01701840,2.86523996,0.00000000,0.00000000
150.00000000,3.36784798,3.07954542,0.00000000,0.00000000
180.00000000,3.33010510,3.11570217,0.00000000,0.00000000
210.00000000,3.20505850,3.06000000,0.00000000,0.00000000
240.00000000,3.14509141,2.83188983,0.00000000,0.00000000
270.00000000,2.96000000,2.63674041,0.00000000,0.00000000
300.00000000,3.46692948,2.68596351,0.00000000,0.00000000
330.00000000,3.55645891,2.53148178,0.00000000,0.00000000
360.00000000,3.45253530,2.62328039,0.00000000,0.00000000
390.00000000,3.26900597,2.46097542,0.00000000,0.00000000
420.00000000,3.57009804,2.89799931,0.00000000,0.00000000
450.00000000,3.80131556,3.04919662,0.00000000,0.00000000
480.00000000,3.56207805,3.24400986,0.00000000,0.00000000
510.00000000,3.48734856,3.31209903,0.00000000,0.00000000
540.00000000,3.57457690,3.41853770,0.00000000,0.00000000
570.00000000,3.77444036,3.36576886,0.00000000,0.00000000
600.00000000,3.34789486,3.45392530,0.00000000,0.00000000
630.00000000,3.69329122,3.59894429,0.00000000,0.00000000
660.00000000,3.86890165,3.59583092,0.00000000,0.00000000
690.00000000,3.97939694,3.39558537,0.00000000,0.00000000
720.00000000,3.76828874,3.15093637,0.00000000,0.00000000
750.00000000,3.51089732,3.19305496,0.00000000,0.00000000
780.00000000,3.92958013,3.24351661,0.00000000,0.00000000
810.00000000,4.52676485,3.81659534,0.00000000,0.00000000
840.00000000,4.90044896,3.98622629,0.00000000,0.00000000
870.00000000,4.32393339,3.78021163,0.00000000,0.00000000
900.00000000,4.61059649,4.00998753,0.00000000,0.00000000
930.00000000,5.44312410,4.27532455,0.00000000,0.00000000
960.00000000,5.45688556,4.44000000,0.00000000,0.00000000
990.00000000,6.03443452,4.79954164,0.00000000,0.00000000
1020.00000000,5.95838904,5.00899191,0.00000000,0.00000000
1050.00000000,6.03128510,5.32165388,0.00000000,0.00000000
1080.00000000,5.73693298,5.07322383,0.00000000,0.00000000
1110.00000000,6.29081871,5.44661363,0.00000000,0.00000000
1140.00000000,6.23589609,5.40965803,0.00000000,0.00000000
1170.00000000,6.78530766,5.74303056,0.00000000,0.00000000
1200.00000000,6.37382146,5.36283507,0.00000000,0.00000000
1230.00000000,6.67760436,5.66194313,0.00000000,0.00000000
1260.00000000,6.87688883,5.99803301,0.00000000,0.00000000
1290.00000000,7.27252363,6.35924524,0.00000000,0.00000000
1320.00000000,7.31816917,6.59951513,0.00000000,0.00000000
1350.00000000,6.85008029,6.78574977,0.00000000,0.00000000
1380.00000000,6.33911666,6.03576010,0.00000000,0.00000000
1410.00000000,6.22000000,6.06023102,0.00000000,0.00000000
1440.00000000,6.66636333,5.83904102,0.00000000,0.00000000
1470.00000000,6.95137396,5.95704625,0.00000000,0.00000000
1500.00000000,7.88946133,5.72363521,0.00000000,0.00000000
1530.00000000,7.45922248,6.04463398,0.00000000,0.00000000
1560.00000000,7.81188838,6.61782442,0.00000000,0.00000000
1590.00000000,7.59473502,6.81260596,0.00000000,0.00000000
1620.00000000,7.16446788,7.17216843,0.00000000,0.00000000
