times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
30.00000000,0.00000001,0.00000519
60.00000000,0.00006690,0.00009379
90.00000000,0.00014044,0.00012227
120.00000000,0.00053990,0.00013762
150.00000000,0.00070633,0.00037976
180.00000000,0.00148893,0.00108176
210.00000000,0.00192564,0.00108529
240.00000000,0.00211689,0.00109020
270.00000000,0.00369105,0.00123035
300.00000000,0.00581630,0.00168457
330.00000000,0.00809766,0.00231002
360.00000000,0.01165308,0.00308096
390.00000000,0.01949965,0.00427611
420.00000000,0.02951602,0.00578357
450.00000000,0.03535805,0.00628217
480.00000000,0.03876934,0.00634563
510.00000000,0.03879166,0.00661587
540.00000000,0.03970897,0.00739179
570.00000000,0.03981896,0.00810061
600.00000000,0.03997704,0.00845750
630.00000000,0.04400981,0.00845839
660.00000000,0.04654529,0.00846449
690.00000000,0.05312918,0.00849834
720.00000000,0.06429300,0.00869236
750.00000000,0.08172917,0.00894406
780.00000000,0.09999546,0.00897593
810.00000000,0.10535310,0.00979119
840.00000000,0.11039632,0.01058987
870.00000000,0.12290916,0.01071385
900.00000000,0.13955449,0.01086739
930.00000000,0.14749380,0.01189783
960.00000000,0.16118775,0.01244881
990.00000000,0.16750053,0.01504875
1020.00000000,0.18141976,0.01611885
1050.00000000,0.20895561,0.01636046
1080.00000000,0.22033960,0.01851194
1110.00000000,0.24493228,0.01917326
1140.00000000,0.27843151,0.01949744
1170.00000000,0.30687679,0.02034712
1200.00000000,0.32849506,0.02162603
1230.00000000,0.33114901,0.02695821
1260.00000000,0.33352279,0.03195510
1290.00000000,0.33870931,0.03604341
1320.00000000,0.33959661,0.04484357
1350.00000000,0.34604752,0.05098106
1380.00000000,0.35147679,0.05770484
1410.00000000,0.35218245,0.06749791
1440.00000000,0.35311941,0.07869953
1470.00000000,0.35790548,0.08497915
1500.00000000,0.35906221,0.09298879
1530.00000000,0.36247297,0.10003225
1560.00000000,0.36313645,0.10846924
1590.00000000,0.36316763,0.12001766
1620.00000000,0.36337446,0.13283829
1650.00000000,0.36813847,0.14233982
1680.00000000,0.36925500,0.15788266
1710.00000000,0.37092527,0.17062118
1740.00000000,0.37928195,0.17793635
1770.00000000,0.39140672,0.18595725
1800.00000000,0.42097819,0.19118368
1830.00000000,0.44163348,0.19866396
1860.00000000,0.44613097,0.21462430
1890.00000000,0.46182852,0.22669966
1920.00000000,0.48488169,0.23702667
1950.00000000,0.48791735,0.25906090
1980.00000000,0.49152090,0.28548143
2010.00000000,0.49180069,0.31970075
2040.00000000,0.50023308,0.34088176
2070.00000000,0.50149121,0.37290750
2100.00000000,0.50160563,0.40740711
2130.00000000,0.50240873,0.43896948
2160.00000000,0.50317422,0.47284431
2190.00000000,0.50333471,0.51486129
2220.00000000,0.50364646,0.55236358
2250.00000000,0.50660578,0.58048945
2280.00000000,0.50674865,0.60878022
2310.00000000,0.50892403,0.63828424
2340.00000000,0.51590303,0.66232623
2370.00000000,0.53307176,0.68074055
2400.00000000,0.54102788,0.71044051
2430.00000000,0.54439814,0.74612501
2460.00000000,0.56569729,0.77238399
2490.00000000,0.58662479,0.80260155
2520.00000000,0.59582571,0.84535432
2550.00000000,0.60750304,0.89118378
2580.00000000,0.61281015,0.94727697
2610.00000000,0.61443613,1.01063403
2640.00000000,0.62855710,1.06064303
2670.00000000,0.65638722,1.10045669
2700.00000000,0.67024527,1.16581401
2730.00000000,0.67802531,1.23821776
2760.00000000,0.69242305,1.30756402
2790.00000000,0.70020108,1.39237583
2820.00000000,0.70282140,1.48600297
2850.00000000,0.71470398,1.58069226
2880.00000000,0.74086915,1.66517513
2910.00000000,0.76631833,1.75623942
2940.00000000,0.79214433,1.85718616
2970.00000000,0.82837782,1.94928829
3000.00000000,0.85045451,2.06171334
3030.00000000,0.86456241,2.18753340
3060.00000000,0.86638596,2.33148090
3090.00000000,0.86653171,2.48970924
3120.00000000,0.88264283,2.60910168
3150.00000000,0.93137637,2.69158851
3180.00000000,0.99914323,2.77415493
3210.00000000,1.15568252,2.83206981
3240.00000000,1.35990108,2.88734942
3270.00000000,1.58949363,2.94291270
3300.00000000,1.79426132,3.01683112
3330.00000000,1.95191425,3.10497061
3360.00000000,2.08358512,3.22067394
3390.00000000,2.19472837,3.37286461
3420.00000000,2.26166857,3.55720799
3450.00000000,2.35506605,3.72625794
3480.00000000,2.41717849,3.91569535
3510.00000000,2.48719665,4.12264515
3540.00000000,2.53498205,4.36644627
3570.00000000,2.56099524,4.67108557
3600.00000000,2.56099658,5.06750845
