times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
30.00000000,0.00174149,0.00066072
60.00000000,0.01010991,0.00528177
90.00000000,0.01186517,0.00692006
120.00000000,0.01266700,0.00802235
150.00000000,0.01349352,0.00900150
180.00000000,0.01397776,0.00921177
210.00000000,0.01538835,0.00945797
240.00000000,0.02595438,0.01247481
270.00000000,0.11211186,0.03219602
300.00000000,0.19939145,0.05603062
330.00000000,0.22514766,0.06249625
360.00000000,0.25528940,0.06946998
390.00000000,0.34705656,0.09107389
420.00000000,0.42255511,0.10530665
450.00000000,0.44219654,0.10565510
480.00000000,0.45390258,0.10566913
510.00000000,0.45407298,0.10797155
540.00000000,0.45455510,0.11030250
570.00000000,0.45455975,0.11562245
600.00000000,0.45499669,0.12415709
630.00000000,0.45590776,0.13425879
660.00000000,0.45619789,0.14258293
690.00000000,0.46035570,0.15629371
720.00000000,0.46312370,0.15998810
750.00000000,0.46344392,0.16469051
780.00000000,0.46397836,0.16809576
810.00000000,0.46431819,0.17234057
840.00000000,0.46722717,0.17589125
870.00000000,0.46739851,0.18270910
900.00000000,0.46824278,0.19766876
930.00000000,0.47476702,0.21506200
960.00000000,0.47590411,0.22743367
990.00000000,0.48668018,0.22979291
1020.00000000,0.49640239,0.23222139
1050.00000000,0.51434288,0.23407226
1080.00000000,0.52155006,0.23994041
1110.00000000,0.53021407,0.24726069
1140.00000000,0.55533748,0.25299115
1170.00000000,0.56662314,0.26179685
1200.00000000,0.57146028,0.27677015
1230.00000000,0.59108114,0.28504424
1260.00000000,0.59227684,0.30810594
1290.00000000,0.60286799,0.32968450
1320.00000000,0.60490947,0.36260838
1350.00000000,0.60866632,0.39690864
1380.00000000,0.61582131,0.42379712
1410.00000000,0.67748763,0.43631344
1440.00000000,0.68121113,0.48058867
1470.00000000,0.68132932,0.54539971
1500.00000000,0.68481041,0.61709186
1530.00000000,0.69651746,0.65370025
1560.00000000,0.70000771,0.72727896
1590.00000000,0.70741170,0.80846195
1620.00000000,0.70968715,0.89307005
1650.00000000,0.71381634,0.94893063
1680.00000000,0.71443614,1.03032024
1710.00000000,0.72124555,1.16101454
1740.00000000,0.73479567,1.28612787
1770.00000000,0.76042537,1.42100234
1800.00000000,0.77530531,1.55565338
1830.00000000,0.80966722,1.68008861
1860.00000000,0.83485094,1.80122569
1890.00000000,0.87836083,1.92567988
1920.00000000,0.92980046,2.02811241
1950.00000000,1.01781236,2.13820297
1980.00000000,1.05518117,2.21476501
2010.00000000,1.06692251,2.26277785
2040.00000000,1.09474422,2.32371418
2070.00000000,1.11308567,2.37440474
2100.00000000,1.12261026,2.42208682
2130.00000000,1.12341336,2.45647815
2160.00000000,1.13572723,2.50490096
2190.00000000,1.16482889,2.57130416
2220.00000000,1.23535374,2.65011163
2250.00000000,1.30878427,2.72384271
2280.00000000,1.45202741,2.82865862
2310.00000000,1.70684355,2.96770796
2340.00000000,1.80719406,3.03268438
2370.00000000,1.82224921,3.05216115
2400.00000000,1.82537144,3.06963921
2430.00000000,1.82564053,3.07925659
2460.00000000,1.82606731,3.09078185
2490.00000000,1.82983273,3.10943211
2520.00000000,1.83486398,3.13387419
2550.00000000,1.83927446,3.15786368
2580.00000000,1.84884713,3.18783405
2610.00000000,1.89883709,3.24006003
2640.00000000,1.97107569,3.29443535
2670.00000000,2.05141630,3.34912219
2700.00000000,2.06001517,3.37116024
2730.00000000,2.21716079,3.45369821
2760.00000000,2.33044124,3.50331939
2790.00000000,2.44474901,3.55622381
2820.00000000,2.55657938,3.59530082
2850.00000000,2.62363340,3.62506469
2880.00000000,2.80002311,3.67556302
2910.00000000,2.87174987,3.69960150
2940.00000000,2.93542289,3.72414404
2970.00000000,2.93705587,3.72843170
3000.00000000,2.94849035,3.73169113
3030.00000000,2.96068880,3.73474351
3060.00000000,2.97089250,3.73705953
3090.00000000,2.97584629,3.74054440
3120.00000000,3.01660988,3.75045796
3150.00000000,3.01954275,3.75321164
3180.00000000,3.06378585,3.76424633
3210.00000000,3.06519297,3.76846589
3240.00000000,3.06616871,3.76976138
3270.00000000,3.06912004,3.76978075
3300.00000000,3.13720020,3.77437777
3330.00000000,3.16683384,3.77438101
3360.00000000,3.16971079,3.78218137
3390.00000000,3.17143057,3.79164632
3420.00000000,3.20519745,3.79202240
3450.00000000,3.22690631,3.79433119
3480.00000000,3.29324023,3.79570001
3510.00000000,3.31767584,3.80211557
3540.00000000,3.32495501,3.82585666
3570.00000000,3.38892177,3.83991209
3600.00000000,3.38948973,3.89900384
