times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
30.00000000,0.00031422,0.00025206
60.00000000,0.00038416,0.00032987
90.00000000,0.00288181,0.00252869
120.00000000,0.01939734,0.01322633
150.00000000,0.02799858,0.02133194
180.00000000,0.03598126,0.03104759
210.00000000,0.03768500,0.03809614
240.00000000,0.03782011,0.03918957
270.00000000,0.04980611,0.03969825
300.00000000,0.05391362,0.03982017
330.00000000,0.07337874,0.04020209
360.00000000,0.09153828,0.04046508
390.00000000,0.11985567,0.04226745
420.00000000,0.15094709,0.04439748
450.00000000,0.15542598,0.04444519
480.00000000,0.16269256,0.04450869
510.00000000,0.17012985,0.04470849
540.00000000,0.17226498,0.04531339
570.00000000,0.17663676,0.04626953
600.00000000,0.17724712,0.04630005
630.00000000,0.17841359,0.04633221
660.00000000,0.20173236,0.05125630
690.00000000,0.22247082,0.05365706
720.00000000,0.22277863,0.05458870
750.00000000,0.22387130,0.05489773
780.00000000,0.22619636,0.05507256
810.00000000,0.23830575,0.05583631
840.00000000,0.23911102,0.05618455
870.00000000,0.24282945,0.05618593
900.00000000,0.24959836,0.05652172
930.00000000,0.26418695,0.05654458
960.00000000,0.27302098,0.05710460
990.00000000,0.29305348,0.05716883
1020.00000000,0.29421291,0.05883809
1050.00000000,0.29423200,0.06001929
1080.00000000,0.29628325,0.06018662
1110.00000000,0.33338641,0.06207804
1140.00000000,0.36753752,0.06380912
1170.00000000,0.41702853,0.06764373
1200.00000000,0.50398070,0.07473319
1230.00000000,0.63548466,0.08390019
1260.00000000,0.69455001,0.08444869
1290.00000000,0.76515961,0.08499231
1320.00000000,0.83779470,0.08538332
1350.00000000,0.89893031,0.08590236
1380.00000000,0.98015236,0.08729311
1410.00000000,1.03578680,0.08761261
1440.00000000,1.07035144,0.08839682
1470.00000000,1.12413845,0.08856386
1500.00000000,1.14019538,0.09022848
1530.00000000,1.15085484,0.09306312
1560.00000000,1.16757777,0.09528752
1590.00000000,1.18008538,0.10219594
1620.00000000,1.18585328,0.11087912
1650.00000000,1.22619504,0.11108895
1680.00000000,1.25934630,0.11152715
1710.00000000,1.26422411,0.11873828
1740.00000000,1.27509718,0.12302581
1770.00000000,1.27523963,0.13328061
1800.00000000,1.27673427,0.15135694
1830.00000000,1.28309126,0.17698799
1860.00000000,1.29156900,0.21343788
1890.00000000,1.30320274,0.25316530
1920.00000000,1.31680535,0.26414860
1950.00000000,1.32568001,0.27603154
1980.00000000,1.32675304,0.29825819
2010.00000000,1.33234724,0.34028490
2040.00000000,1.34085018,0.38391418
2070.00000000,1.34620068,0.42852432
2100.00000000,1.36094182,0.47679127
2130.00000000,1.36341345,0.49534945
2160.00000000,1.37413475,0.50848275
2190.00000000,1.37480237,0.52532153
2220.00000000,1.38950277,0.53886322
2250.00000000,1.38956413,0.56534282
2280.00000000,1.39364891,0.61423828
2310.00000000,1.39429344,0.67127113
2340.00000000,1.40835928,0.69952796
2370.00000000,1.46218854,0.71777442
2400.00000000,1.49545671,0.74339874
2430.00000000,1.57474438,0.75962433
2460.00000000,1.65656886,0.77068591
2490.00000000,1.66787984,0.81457912
2520.00000000,1.66920569,0.85713439
2550.00000000,1.67581410,0.92575564
2580.00000000,1.68505860,0.99118023
2610.00000000,1.70584437,1.07453738
2640.00000000,1.72652516,1.11050841
2670.00000000,1.72689037,1.17101382
2700.00000000,1.84615818,1.18104880
2730.00000000,1.85647161,1.23919860
2760.00000000,1.87333185,1.28903014
2790.00000000,1.91973170,1.34102336
2820.00000000,1.94461559,1.41438234
2850.00000000,1.95467581,1.55851604
2880.00000000,1.97049102,1.63555702
2910.00000000,1.97049633,1.75471517
2940.00000000,2.05435199,1.80203249
2970.00000000,2.08460629,1.89225192
3000.00000000,2.10787847,1.99914800
3030.00000000,2.10944116,2.18494502
3060.00000000,2.11552191,2.34599287
3090.00000000,2.12016754,2.54140511
3120.00000000,2.12378969,2.75333006
3150.00000000,2.17022232,2.87986874
3180.00000000,2.19298855,3.04844289
3210.00000000,2.21538224,3.21332518
3240.00000000,2.22706129,3.38181228
3270.00000000,2.22709579,3.66263315
3300.00000000,2.22853228,3.96304116
3330.00000000,2.24054608,4.30373751
3360.00000000,2.27059757,4.52066032
3390.00000000,2.36868858,4.70675498
3420.00000000,2.44592197,4.92375178
3450.00000000,2.71547359,5.06662016
3480.00000000,3.18626906,5.16225963
3510.00000000,4.01731248,5.23795973
3540.00000000,5.15552717,5.27515594
3570.00000000,6.02717773,5.36192331
3600.00000000,6.65950188,5.51338318
