times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0
30.0,32.8,4.2,0.0,0.0
60.0,29.1,8.2,0.0,0.0
90.0,27.1,10.6,0.0,0.0
120.0,25.1,13.0,0.0,0.0
150.0,23.3,15.2,0.0,0.0
180.0,21.9,16.9,0.0,0.0
210.0,20.5,18.7,0.0,0.0
240.0,21.2,19.1,0.0,0.0
270.0,22.7,19.1,0.0,0.0
300.0,22.1,20.2,0.0,0.0
330.0,20.0,22.7,0.0,0.0
360.0,19.8,23.8,0.0,0.0
390.0,21.1,23.8,0.0,0.0
420.0,20.6,25.3,0.0,0.0
450.0,18.9,28.0,0.0,0.0
480.0,18.5,29.2,0.0,0.0
510.0,17.4,31.0,0.0,0.0
540.0,17.6,31.9,0.0,0.0
570.0,17.5,33.2,0.0,0.0
600.0,17.4,34.4,0.0,0.0
630.0,17.5,35.4,0.0,0.0
660.0,17.9,36.1,0.0,0.0
690.0,17.6,37.4,0.0,0.0
720.0,19.3,37.3,0.0,0.0
750.0,19.2,38.3,0.0,0.0
780.0,19.6,39.0,0.0,0.0
810.0,19.9,40.0,0.0,0.0
840.0,20.7,40.8,0.0,0.0
870.0,20.6,42.1,0.0,0.0
900.0,20.5,43.7,0.0,0.0
930.0,20.3,44.8,0.0,0.0
960.0,21.3,45.4,0.0,0.0
990.0,23.4,45.3,0.0,0.0
1020.0,23.8,46.3,0.0,0.0
1050.0,24.7,47.2,0.0,0.0
1080.0,24.6,48.8,0.0,0.0
1110.0,25.2,50.0,0.0,0.0
1140.0,26.5,50.9,0.0,0.0
1170.0,26.4,52.3,0.0,0.0
1200.0,26.5,53.9,0.0,0.0
1230.0,27.9,54.5,0.0,0.0
1260.0,27.2,56.7,0.0,0.0
1290.0,28.6,57.8,0.0,0.0
1320.0,28.5,59.6,0.0,0.0
1350.0,29.3,60.9,0.0,0.0
1380.0,30.2,61.8,0.0,0.0
1410.0,32.8,62.2,0.0,0.0
1440.0,31.2,65.2,0.0,0.0
1470.0,31.0,67.3,0.0,0.0
1500.0,31.1,68.9,0.0,0.0
1530.0,33.8,69.0,0.0,0.0
1560.0,32.5,71.8,0.0,0.0
1590.0,32.9,73.5,0.0,0.0
1620.0,34.1,75.1,0.0,0.0
1650.0,36.2,75.7,0.0,0.0
1680.0,36.5,78.1,0.0,0.0
1710.0,36.0,81.0,0.0,0.0
1740.0,36.4,82.5,0.0,0.0
1770.0,36.7,84.4,0.0,0.0
1800.0,38.0,86.1,0.0,0.0
1830.0,38.1,87.6,0.0,0.0
1860.0,39.3,89.3,0.0,0.0
1890.0,39.6,91.2,0.0,0.0
1920.0,40.3,92.5,0.0,0.0
1950.0,40.4,94.6,0.0,0.0
1980.0,42.6,95.6,0.0,0.0
2010.0,44.6,96.6,0.0,0.0
2040.0,44.9,99.1,0.0,0.0
2070.0,46.3,100.8,0.0,0.0
2100.0,47.8,102.8,0.0,0.0
2130.0,49.7,104.4,0.0,0.0
2160.0,49.8,107.2,0.0,0.0
2190.0,50.2,110.1,0.0,0.0
2220.0,50.2,112.8,0.0,0.0
2250.0,51.3,115.0,0.0,0.0
2280.0,51.2,118.3,0.0,0.0
2310.0,50.9,121.6,0.0,0.0
2340.0,54.4,122.1,0.0,0.0
2370.0,58.0,122.7,0.0,0.0
2400.0,60.1,125.2,0.0,0.0
2430.0,61.9,127.3,0.0,0.0
2460.0,63.7,130.2,0.0,0.0
2490.0,64.1,133.5,0.0,0.0
2520.0,65.4,136.7,0.0,0.0
2550.0,66.9,139.6,0.0,0.0
2580.0,68.0,142.9,0.0,0.0
2610.0,68.0,146.9,0.0,0.0
2640.0,69.0,150.1,0.0,0.0
2670.0,70.4,153.3,0.0,0.0
2700.0,74.3,155.1,0.0,0.0
2730.0,72.3,160.8,0.0,0.0
2760.0,74.7,163.1,0.0,0.0
2790.0,76.4,166.7,0.0,0.0
2820.0,78.2,169.7,0.0,0.0
2850.0,80.9,172.9,0.0,0.0
2880.0,80.8,177.5,0.0,0.0
2910.0,84.5,180.1,0.0,0.0
2940.0,86.6,184.0,0.0,0.0
2970.0,91.1,186.4,0.0,0.0
3000.0,92.3,190.3,0.0,0.0
3030.0,94.3,194.4,0.0,0.0
3060.0,96.5,198.5,0.0,0.0
3090.0,99.0,203.0,0.0,0.0
3120.0,99.6,208.1,0.0,0.0
3150.0,103.6,211.8,0.0,0.0
3180.0,104.0,217.3,0.0,0.0
3210.0,109.3,219.1,0.0,0.0
3240.0,111.6,224.4,0.0,0.0
3270.0,113.0,230.0,0.0,0.0
3300.0,113.0,236.1,0.0,0.0
3330.0,116.6,240.1,0.0,0.0
3360.0,121.9,243.8,0.0,0.0
3390.0,124.4,249.0,0.0,0.0
3420.0,124.4,255.8,0.0,0.0
3450.0,127.6,260.9,0.0,0.0
3480.0,129.1,266.8,0.0,0.0
3510.0,133.2,271.9,0.0,0.0
3540.0,137.0,276.6,0.0,0.0
3570.0,138.0,283.3,0.0,0.0
3600.0,144.4,287.4,0.0,0.0
