times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,1.40000000,1.40000000,0.00000000,0.00000000
60.00000000,3.17647603,2.82134720,0.00000000,0.00000000
90.00000000,3.47706773,3.07245830,0.00000000,0.00000000
120.00000000,4.54862617,3.92428337,0.00000000,0.00000000
150.00000000,5.13906606,4.83321839,0.00000000,0.00000000
180.00000000,5.44885309,5.62938718,0.00000000,0.00000000
210.00000000,3.98120585,4.33704969,0.00000000,0.00000000
240.00000000,4.21426150,4.36921045,0.00000000,0.00000000
270.00000000,5.02095608,4.90815648,0.00000000,0.00000000
300.00000000,3.75366488,3.73630834,0.00000000,0.00000000
330.00000000,3.92428337,4.07553677,0.00000000,0.00000000
360.00000000,3.40000000,3.54400903,0.00000000,0.00000000
390.00000000,3.36005952,3.62767143,0.00000000,0.00000000
420.00000000,3.74699880,3.79605058,0.00000000,0.00000000
450.00000000,2.70000000,3.09838668,0.00000000,0.00000000
480.00000000,4.52216762,3.60000000,0.00000000,0.00000000
510.00000000,4.58693798,3.71483512,0.00000000,0.00000000
540.00000000,4.96386946,4.63573079,0.00000000,0.00000000
570.00000000,5.33385414,5.21152569,0.00000000,0.00000000
600.00000000,5.08330601,5.06359556,0.00000000,0.00000000
630.00000000,3.41320963,4.15210790,0.00000000,0.00000000
660.00000000,3.59026461,3.38969025,0.00000000,0.00000000
690.00000000,4.27083130,3.32264955,0.00000000,0.00000000
720.00000000,4.45084262,2.75862284,0.00000000,0.00000000
750.00000000,4.42266888,2.36854386,0.00000000,0.00000000
780.00000000,3.44093011,2.23606798,0.00000000,0.00000000
810.00000000,3.26955654,3.00000000,0.00000000,0.00000000
840.00000000,3.95094925,3.31058907,0.00000000,0.00000000
870.00000000,5.93632883,2.94788059,0.00000000,0.00000000
900.00000000,4.94469413,3.52278299,0.00000000,0.00000000
930.00000000,4.64865572,3.34065862,0.00000000,0.00000000
960.00000000,5.25452186,4.15210790,0.00000000,0.00000000
990.00000000,4.58693798,3.82230297,0.00000000,0.00000000
1020.00000000,3.86781592,4.58366665,0.00000000,0.00000000
1050.00000000,3.43656806,5.49181209,0.00000000,0.00000000
1080.00000000,4.60868745,5.45527268,0.00000000,0.00000000
1110.00000000,4.68614981,5.34789678,0.00000000,0.00000000
1140.00000000,4.65295605,4.94873721,0.00000000,0.00000000
1170.00000000,4.36348485,5.25452186,0.00000000,0.00000000
1200.00000000,4.24852916,4.50444225,0.00000000,0.00000000
1230.00000000,4.06078810,5.80086200,0.00000000,0.00000000
1260.00000000,4.77074418,6.27773845,0.00000000,0.00000000
1290.00000000,3.66606056,5.52810998,0.00000000,0.00000000
1320.00000000,4.86312657,5.88557559,0.00000000,0.00000000
1350.00000000,5.67538545,6.02411819,0.00000000,0.00000000
1380.00000000,5.38144962,6.83812840,0.00000000,0.00000000
1410.00000000,5.23067873,7.12460525,0.00000000,0.00000000
1440.00000000,4.95580468,6.47765390,0.00000000,0.00000000
1470.00000000,6.16441400,7.12811335,0.00000000,0.00000000
1500.00000000,6.10655386,6.71490879,0.00000000,0.00000000
1530.00000000,9.19565115,8.88819442,0.00000000,0.00000000
1560.00000000,9.80051019,9.11921049,0.00000000,0.00000000
1590.00000000,9.24608025,8.33366666,0.00000000,0.00000000
1620.00000000,10.71867529,8.74585616,0.00000000,0.00000000
1650.00000000,10.32279032,8.77553417,0.00000000,0.00000000
1680.00000000,10.68877916,9.27846970,0.00000000,0.00000000
1710.00000000,9.26282894,8.53229160,0.00000000,0.00000000
1740.00000000,8.20000000,8.28552955,0.00000000,0.00000000
1770.00000000,7.48398290,8.65101150,0.00000000,0.00000000
1800.00000000,7.65506368,8.21522976,0.00000000,0.00000000
1830.00000000,8.40773453,8.77724330,0.00000000,0.00000000
1860.00000000,8.17373843,7.90000000,0.00000000,0.00000000
1890.00000000,9.01332347,7.82048592,0.00000000,0.00000000
1920.00000000,9.48736001,8.62844134,0.00000000,0.00000000
1950.00000000,9.47839649,9.54148835,0.00000000,0.00000000
1980.00000000,9.57287836,10.06180898,0.00000000,0.00000000
2010.00000000,9.32952303,11.20000000,0.00000000,0.00000000
2040.00000000,9.36429389,10.42544963,0.00000000,0.00000000
2070.00000000,8.79829529,11.34724636,0.00000000,0.00000000
2100.00000000,8.95321171,11.04355015,0.00000000,0.00000000
2130.00000000,11.34944933,11.14629983,0.00000000,0.00000000
2160.00000000,8.10925397,10.87014259,0.00000000,0.00000000
2190.00000000,8.09691299,9.59635347,0.00000000,0.00000000
2220.00000000,7.49399760,8.51821578,0.00000000,0.00000000
2250.00000000,6.45058137,9.79795897,0.00000000,0.00000000
2280.00000000,9.44245731,8.25893456,0.00000000,0.00000000
2310.00000000,11.29114697,9.48894093,0.00000000,0.00000000
2340.00000000,11.49086594,9.97446740,0.00000000,0.00000000
2370.00000000,14.73770674,9.68555626,0.00000000,0.00000000
2400.00000000,13.12592854,8.94203556,0.00000000,0.00000000
2430.00000000,10.94942921,10.00049999,0.00000000,0.00000000
2460.00000000,9.61301201,12.15565712,0.00000000,0.00000000
2490.00000000,7.10563157,14.14390328,0.00000000,0.00000000
2520.00000000,8.77724330,14.38089010,0.00000000,0.00000000
2550.00000000,11.51043005,14.61642911,0.00000000,0.00000000
2580.00000000,12.30447073,14.25096488,0.00000000,0.00000000
2610.00000000,11.69615321,13.61212695,0.00000000,0.00000000
2640.00000000,12.05819224,15.99030957,0.00000000,0.00000000
2670.00000000,10.06180898,15.58236182,0.00000000,0.00000000
2700.00000000,9.93025679,16.83122099,0.00000000,0.00000000
2730.00000000,10.78934660,16.20987353,0.00000000,0.00000000
2760.00000000,9.99049548,16.63400132,0.00000000,0.00000000
2790.00000000,7.65767589,17.86085104,0.00000000,0.00000000
2820.00000000,4.11825206,18.92643654,0.00000000,0.00000000
2850.00000000,6.86221539,19.10209413,0.00000000,0.00000000
2880.00000000,9.49526198,19.15854901,0.00000000,0.00000000
2910.00000000,8.68619595,19.36207633,0.00000000,0.00000000
2940.00000000,8.84533775,19.71293991,0.00000000,0.00000000
2970.00000000,10.59669760,18.63974249,0.00000000,0.00000000
3000.00000000,10.56456341,16.32207095,0.00000000,0.00000000
3030.00000000,11.15392308,15.53190265,0.00000000,0.00000000
3060.00000000,14.36140662,13.87263493,0.00000000,0.00000000
3090.00000000,16.55898548,15.38180744,0.00000000,0.00000000
3120.00000000,14.60958589,17.75077463,0.00000000,0.00000000
3150.00000000,13.20000000,17.66238942,0.00000000,0.00000000
3180.00000000,14.31083506,18.55828656,0.00000000,0.00000000
3210.00000000,14.80574213,17.65474440,0.00000000,0.00000000
3240.00000000,16.87720356,19.49974359,0.00000000,0.00000000
3270.00000000,17.90530648,19.81413637,0.00000000,0.00000000
3300.00000000,16.95877354,20.25067900,0.00000000,0.00000000
3330.00000000,12.72949331,22.75719666,0.00000000,0.00000000
3360.00000000,12.54153101,24.48591432,0.00000000,0.00000000
3390.00000000,13.81448515,24.17436659,0.00000000,0.00000000
3420.00000000,13.53661701,24.99919999,0.00000000,0.00000000
3450.00000000,16.91271711,25.30000000,0.00000000,0.00000000
3480.00000000,16.39176623,27.99571396,0.00000000,0.00000000
3510.00000000,16.04867596,27.88350767,0.00000000,0.00000000
3540.00000000,17.49857137,24.31131424,0.00000000,0.00000000
3570.00000000,17.13475999,25.79166532,0.00000000,0.00000000
3600.00000000,19.43810690,23.77898232,0.00000000,0.00000000
