times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.45153013,2.41867732,0.00000000,0.00000000
60.00000000,3.55105618,3.58329457,0.00000000,0.00000000
90.00000000,3.87943295,3.64554523,0.00000000,0.00000000
120.00000000,4.86209831,4.22965720,0.00000000,0.00000000
150.00000000,5.54616985,4.62168800,0.00000000,0.00000000
180.00000000,4.97995984,4.35889894,0.00000000,0.00000000
210.00000000,4.97995984,4.40908154,0.00000000,0.00000000
240.00000000,5.10783712,4.71699057,0.00000000,0.00000000
270.00000000,5.33291665,5.16139516,0.00000000,0.00000000
300.00000000,4.86209831,5.09901951,0.00000000,0.00000000
330.00000000,4.55631430,5.87281874,0.00000000,0.00000000
360.00000000,5.34415569,5.80000000,0.00000000,0.00000000
390.00000000,7.22564876,6.65131566,0.00000000,0.00000000
420.00000000,5.45985348,5.27351875,0.00000000,0.00000000
450.00000000,5.68858506,5.59016994,0.00000000,0.00000000
480.00000000,5.76541412,5.85576639,0.00000000,0.00000000
510.00000000,6.87022561,6.51536645,0.00000000,0.00000000
540.00000000,8.56738000,7.55049667,0.00000000,0.00000000
570.00000000,8.28794305,7.68179666,0.00000000,0.00000000
600.00000000,8.22739327,6.51459899,0.00000000,0.00000000
630.00000000,7.86447710,5.96657356,0.00000000,0.00000000
660.00000000,6.42183774,5.06359556,0.00000000,0.00000000
690.00000000,8.38152731,6.06630036,0.00000000,0.00000000
720.00000000,8.27345152,5.18555686,0.00000000,0.00000000
750.00000000,7.36274405,6.18789140,0.00000000,0.00000000
780.00000000,8.56738000,6.06959636,0.00000000,0.00000000
810.00000000,9.46361453,5.57135531,0.00000000,0.00000000
840.00000000,9.44510455,7.33757453,0.00000000,0.00000000
870.00000000,9.32791509,8.08455317,0.00000000,0.00000000
900.00000000,9.31718842,7.79807669,0.00000000,0.00000000
930.00000000,10.09752445,6.58483105,0.00000000,0.00000000
960.00000000,11.44945414,8.50940656,0.00000000,0.00000000
990.00000000,8.45221864,8.10000000,0.00000000,0.00000000
1020.00000000,7.96806124,6.43506022,0.00000000,0.00000000
1050.00000000,9.04654630,6.79705819,0.00000000,0.00000000
1080.00000000,9.78825827,9.89191589,0.00000000,0.00000000
1110.00000000,11.43503389,10.15332458,0.00000000,0.00000000
1140.00000000,11.28007092,9.18912401,0.00000000,0.00000000
1170.00000000,11.56243919,8.10493677,0.00000000,0.00000000
1200.00000000,9.03382532,8.60232527,0.00000000,0.00000000
1230.00000000,8.64927743,8.92692556,0.00000000,0.00000000
1260.00000000,9.11317727,8.05543295,0.00000000,0.00000000
1290.00000000,10.40240357,8.31865374,0.00000000,0.00000000
1320.00000000,10.00199980,9.53362470,0.00000000,0.00000000
1350.00000000,8.47879708,9.80815987,0.00000000,0.00000000
1380.00000000,6.66033032,9.65608616,0.00000000,0.00000000
1410.00000000,9.04930937,12.21474519,0.00000000,0.00000000
1440.00000000,8.72926114,12.45150593,0.00000000,0.00000000
1470.00000000,11.63142296,12.12600511,0.00000000,0.00000000
1500.00000000,10.53612832,11.14271062,0.00000000,0.00000000
1530.00000000,13.37908816,11.96870920,0.00000000,0.00000000
1560.00000000,9.99449849,9.56085770,0.00000000,0.00000000
