times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
300.00000000,0.00612363,0.00660194
600.00000000,0.03571169,0.00816460
900.00000000,0.04648172,0.02684155
1200.00000000,0.05609399,0.04685618
1500.00000000,0.06379266,0.08304681
1800.00000000,0.11214067,0.13553820
2100.00000000,0.14085633,0.22168869
2400.00000000,0.20907295,0.27904306
2700.00000000,0.24198781,0.39997229
3000.00000000,0.80977017,0.44281632
3300.00000000,0.90938436,0.71410387
3600.00000000,0.91677834,1.53448317
