times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
30.00000000,0.00413496,0.00236424
60.00000000,0.00454705,0.00306405
90.00000000,0.00641143,0.00324804
120.00000000,0.01586102,0.00506901
150.00000000,0.02158436,0.00602265
180.00000000,0.04018275,0.01060408
210.00000000,0.04851669,0.01179002
240.00000000,0.07142537,0.01455458
270.00000000,0.10045800,0.01708095
300.00000000,0.10147203,0.01715359
330.00000000,0.10362151,0.01718548
360.00000000,0.13151161,0.02038009
390.00000000,0.16104768,0.02462140
420.00000000,0.20018238,0.02935804
450.00000000,0.22039330,0.03171132
480.00000000,0.23419724,0.03195237
510.00000000,0.25480840,0.03266687
540.00000000,0.27756447,0.03346801
570.00000000,0.28107878,0.03371789
600.00000000,0.28233577,0.03912565
630.00000000,0.29504713,0.05359282
660.00000000,0.29986821,0.06486243
690.00000000,0.30021445,0.06808874
720.00000000,0.31035303,0.06887295
750.00000000,0.31416221,0.07349144
780.00000000,0.33030198,0.07516681
810.00000000,0.33752060,0.07980251
840.00000000,0.34486568,0.08868202
870.00000000,0.34738876,0.10297841
900.00000000,0.35026282,0.12031800
930.00000000,0.35288378,0.14787295
960.00000000,0.35693604,0.17179047
990.00000000,0.36042949,0.19156074
1020.00000000,0.36312713,0.20756369
1050.00000000,0.36322638,0.22448730
1080.00000000,0.36561501,0.23575271
1110.00000000,0.36966480,0.24961208
1140.00000000,0.38089586,0.26160976
1170.00000000,0.42421571,0.26479851
1200.00000000,0.49319052,0.26614637
1230.00000000,0.55468580,0.26757240
1260.00000000,0.62850491,0.26777875
1290.00000000,0.75729954,0.26802709
1320.00000000,0.88623879,0.26803167
1350.00000000,1.09659532,0.26826349
1380.00000000,1.35377993,0.26865000
1410.00000000,1.51721024,0.27091762
1440.00000000,1.67222808,0.27300033
1470.00000000,1.83826937,0.27661555
1500.00000000,1.98902031,0.28539504
1530.00000000,2.19547008,0.29236217
1560.00000000,2.32666235,0.31424361
1590.00000000,2.48830746,0.33632885
1620.00000000,2.65866007,0.35218736
1650.00000000,2.76745216,0.37879119
1680.00000000,2.86871902,0.41383037
1710.00000000,2.94580777,0.46604334
1740.00000000,3.02212325,0.53205305
1770.00000000,3.14457856,0.59324408
1800.00000000,3.24446308,0.65717286
1830.00000000,3.32816133,0.73057765
1860.00000000,3.35450594,0.84931150
1890.00000000,3.39319110,0.98295410
1920.00000000,3.49385253,1.08953911
1950.00000000,3.64439808,1.19071795
1980.00000000,3.88583902,1.27934758
2010.00000000,4.09004336,1.40262328
2040.00000000,4.19232847,1.60349002
2070.00000000,4.24587359,1.85691724
2100.00000000,4.24620919,2.23536492
2130.00000000,4.25691291,2.56835631
2160.00000000,4.30770085,2.84154988
2190.00000000,4.33878942,3.15855602
2220.00000000,4.33979261,3.53694281
2250.00000000,4.36223678,3.88320112
2280.00000000,4.39453746,4.19531295
2310.00000000,4.39498648,4.57870312
2340.00000000,4.42346639,4.87676261
2370.00000000,4.44375531,5.18004972
2400.00000000,4.44707972,5.57520111
2430.00000000,4.46227901,6.04316595
2460.00000000,4.46733090,6.39285104
2490.00000000,4.53893154,6.65736226
2520.00000000,4.67821238,6.89345982
2550.00000000,4.74910026,7.17862541
2580.00000000,4.94068296,7.39942921
2610.00000000,5.15683154,7.59290305
2640.00000000,5.77892268,7.69571850
2670.00000000,6.32544341,7.84164608
2700.00000000,6.56075014,8.08982678
2730.00000000,6.79243921,8.45754560
2760.00000000,6.94563133,8.92224478
2790.00000000,7.16971428,9.36288569
2820.00000000,7.26471844,9.90214876
2850.00000000,7.39310355,10.37061906
2880.00000000,7.69399860,10.71862353
2910.00000000,8.23535390,10.99324374
2940.00000000,8.71264362,11.34472320
2970.00000000,9.31460605,11.71094781
3000.00000000,9.60181734,12.16260330
3030.00000000,9.94694309,12.62901329
3060.00000000,10.21969543,13.15281312
3090.00000000,10.31032435,13.87982887
3120.00000000,10.45949559,14.54903732
3150.00000000,10.63265468,15.27488425
3180.00000000,10.77448723,16.07452538
3210.00000000,11.22707509,16.65400644
3240.00000000,11.58150724,17.36590440
3270.00000000,11.89535633,18.13599468
3300.00000000,12.10378239,18.94735501
3330.00000000,12.25464752,19.88163302
3360.00000000,12.46623325,20.86114411
3390.00000000,12.90280363,21.74043789
3420.00000000,13.41919515,22.62291378
3450.00000000,13.74334775,23.65372207
3480.00000000,14.12980074,24.69333761
3510.00000000,14.98717927,25.51672414
3540.00000000,16.01360796,26.29653715
3570.00000000,17.09006807,27.04278760
3600.00000000,17.77471525,28.07076335
