,mean,sd,hdi_3%,hdi_97%,mpv
c1,-0.004167516136417,0.000169731820799,-0.004395198603193,-0.003860166648808,-0.004313836557825629
c2,0.002424919071504,8.4429973201e-05,0.002264195303901,0.002537442402253,0.0024947459848752305
c3,-1.4029685512e-05,1.659430755e-06,-1.6177761507e-05,-1.1937640154e-05,-1.2346453737112088e-05
c4,3.9646383088e-05,1.585333328e-06,3.7494885515e-05,4.1734308063e-05,3.8002031371041534e-05
c5,-1.6185552576e-05,3.90855305e-07,-1.6811415468e-05,-1.5634340405e-05,-1.579024796173382e-05
c7,0.003874674923996,4.121496542e-05,0.003804157501539,0.003942317433061,0.0038897172729105535
c8,-0.001198687470395,1.775966507e-05,-0.001223357989951,-0.001166541908093,-0.0012133971325373955
c9,1.600901217e-05,5.0021206e-07,1.525309888e-05,1.6905477562e-05,1.577394958365205e-05
c10,-3.6872147681e-05,9.87397865e-07,-3.8662985201e-05,-3.5578689813e-05,-3.5981127356586065e-05
c11,1.4276814233e-05,4.62841042e-07,1.3783738301e-05,1.5136882986e-05,1.3866847880032114e-05
Ki67_neg0,37.27807911876404,0.92980948095421,35.47696109846159,38.62063824957516,37.94492874347292
Ki67_pos0,-0.237608405325929,0.017181238338417,-0.270902399085514,-0.221188650743282,-0.22400172934069695
std_deviation[0],1.392655592916683,0.108588904627354,1.191311227201625,1.596675404193238,1.378184927421561
std_deviation[1],1.014473531685589,0.084487576442163,0.857206963649188,1.158865803362552,0.9988714694672058
