times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,1.90000000,1.66132477,0.00000000,0.00000000
60.00000000,1.92093727,1.73205081,0.00000000,0.00000000
90.00000000,1.50000000,1.30000000,0.00000000,0.00000000
120.00000000,1.98997487,1.64012195,0.00000000,0.00000000
150.00000000,1.86815417,1.54919334,0.00000000,0.00000000
180.00000000,2.20000000,2.08806130,0.00000000,0.00000000
210.00000000,2.89136646,2.58650343,0.00000000,0.00000000
240.00000000,1.75783958,1.56524758,0.00000000,0.00000000
270.00000000,1.84661853,1.11355287,0.00000000,0.00000000
300.00000000,1.96214169,0.70000000,0.00000000,0.00000000
330.00000000,2.44131112,1.77763888,0.00000000,0.00000000
360.00000000,2.34307490,1.85472370,0.00000000,0.00000000
390.00000000,3.12409987,2.52190404,0.00000000,0.00000000
420.00000000,3.61109402,2.46779254,0.00000000,0.00000000
450.00000000,1.92093727,1.91049732,0.00000000,0.00000000
480.00000000,3.93064880,3.18747549,0.00000000,0.00000000
510.00000000,2.82842712,3.04795013,0.00000000,0.00000000
540.00000000,3.35261092,2.93428015,0.00000000,0.00000000
570.00000000,2.75862284,2.76405499,0.00000000,0.00000000
600.00000000,2.65329983,2.42693222,0.00000000,0.00000000
630.00000000,3.38230691,2.97321375,0.00000000,0.00000000
660.00000000,4.22018957,3.00000000,0.00000000,0.00000000
690.00000000,4.04969135,2.15406592,0.00000000,0.00000000
720.00000000,4.22965720,2.71293199,0.00000000,0.00000000
750.00000000,2.94108823,3.44818793,0.00000000,0.00000000
780.00000000,4.31856458,3.03973683,0.00000000,0.00000000
810.00000000,4.92848861,3.61801050,0.00000000,0.00000000
840.00000000,4.81767579,2.95972972,0.00000000,0.00000000
870.00000000,3.57211422,2.78567766,0.00000000,0.00000000
900.00000000,4.79583152,2.77308492,0.00000000,0.00000000
930.00000000,5.31883446,3.83275358,0.00000000,0.00000000
960.00000000,5.58927544,4.49888875,0.00000000,0.00000000
990.00000000,6.18142378,4.45084262,0.00000000,0.00000000
1020.00000000,7.18331400,4.78434949,0.00000000,0.00000000
1050.00000000,7.86193360,4.22374242,0.00000000,0.00000000
1080.00000000,6.42183774,3.03973683,0.00000000,0.00000000
1110.00000000,6.18384993,3.82622529,0.00000000,0.00000000
1140.00000000,6.45058137,4.04969135,0.00000000,0.00000000
1170.00000000,6.60984115,4.14728827,0.00000000,0.00000000
1200.00000000,6.75943785,3.73630834,0.00000000,0.00000000
1230.00000000,8.33606622,3.96988665,0.00000000,0.00000000
1260.00000000,7.92779919,4.22018957,0.00000000,0.00000000
1290.00000000,8.95600357,3.52278299,0.00000000,0.00000000
1320.00000000,7.86129760,4.07921561,0.00000000,0.00000000
1350.00000000,7.36478106,5.18169856,0.00000000,0.00000000
1380.00000000,7.29451849,5.66127194,0.00000000,0.00000000
1410.00000000,7.41350120,4.45533388,0.00000000,0.00000000
1440.00000000,7.60263112,4.22374242,0.00000000,0.00000000
1470.00000000,8.40238062,5.49545267,0.00000000,0.00000000
1500.00000000,8.97552227,4.49888875,0.00000000,0.00000000
1530.00000000,8.29457654,4.44522215,0.00000000,0.00000000
1560.00000000,10.06429332,5.56417110,0.00000000,0.00000000
1590.00000000,10.61178590,6.16765758,0.00000000,0.00000000
1620.00000000,9.64416922,6.09015599,0.00000000,0.00000000
1650.00000000,10.20832993,7.63478880,0.00000000,0.00000000
1680.00000000,10.22007828,6.82715168,0.00000000,0.00000000
1710.00000000,11.26055061,6.48768063,0.00000000,0.00000000
1740.00000000,11.14450537,7.43572458,0.00000000,0.00000000
1770.00000000,10.97451593,8.60290649,0.00000000,0.00000000
1800.00000000,10.57780696,8.84364178,0.00000000,0.00000000
1830.00000000,9.86965045,9.22008677,0.00000000,0.00000000
1860.00000000,9.50210503,8.16149496,0.00000000,0.00000000
1890.00000000,12.43422696,7.86193360,0.00000000,0.00000000
1920.00000000,12.34058345,8.52115016,0.00000000,0.00000000
1950.00000000,12.93406355,9.58331884,0.00000000,0.00000000
1980.00000000,10.87382178,10.27813213,0.00000000,0.00000000
2010.00000000,11.09459328,10.24158191,0.00000000,0.00000000
2040.00000000,10.78146558,11.97038011,0.00000000,0.00000000
2070.00000000,7.60000000,13.96280774,0.00000000,0.00000000
