times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0
30.0,33.3,3.8,0.0,0.0
60.0,29.1,8.0,0.0,0.0
90.0,26.5,10.9,0.0,0.0
120.0,24.8,12.9,0.0,0.0
150.0,23.1,15.0,0.0,0.0
180.0,21.6,16.8,0.0,0.0
210.0,20.8,18.1,0.0,0.0
240.0,20.1,19.5,0.0,0.0
270.0,18.3,21.6,0.0,0.0
300.0,17.5,22.9,0.0,0.0
330.0,17.2,24.2,0.0,0.0
360.0,16.9,25.4,0.0,0.0
390.0,15.8,26.8,0.0,0.0
420.0,16.4,27.1,0.0,0.0
450.0,17.1,27.5,0.0,0.0
480.0,17.5,28.2,0.0,0.0
510.0,18.0,28.9,0.0,0.0
540.0,18.4,29.3,0.0,0.0
570.0,17.7,30.6,0.0,0.0
600.0,18.6,30.9,0.0,0.0
630.0,17.6,32.6,0.0,0.0
660.0,18.7,33.0,0.0,0.0
690.0,18.0,34.6,0.0,0.0
720.0,17.1,36.2,0.0,0.0
750.0,17.5,37.1,0.0,0.0
780.0,18.5,37.4,0.0,0.0
810.0,19.1,38.1,0.0,0.0
840.0,19.3,39.2,0.0,0.0
870.0,19.2,40.2,0.0,0.0
900.0,20.0,40.9,0.0,0.0
930.0,19.9,42.1,0.0,0.0
960.0,19.4,43.4,0.0,0.0
990.0,19.7,44.3,0.0,0.0
1020.0,21.0,44.9,0.0,0.0
1050.0,20.7,46.4,0.0,0.0
1080.0,22.4,46.4,0.0,0.0
1110.0,22.4,47.6,0.0,0.0
1140.0,24.3,48.0,0.0,0.0
1170.0,24.9,49.0,0.0,0.0
1200.0,25.9,50.2,0.0,0.0
1230.0,28.9,50.2,0.0,0.0
1260.0,30.5,50.7,0.0,0.0
1290.0,29.7,52.7,0.0,0.0
1320.0,31.0,53.4,0.0,0.0
1350.0,31.6,54.5,0.0,0.0
1380.0,31.3,56.5,0.0,0.0
1410.0,30.8,58.5,0.0,0.0
1440.0,31.0,59.6,0.0,0.0
1470.0,33.0,60.0,0.0,0.0
1500.0,33.8,61.6,0.0,0.0
1530.0,33.0,63.8,0.0,0.0
1560.0,33.9,65.2,0.0,0.0
1590.0,35.3,66.4,0.0,0.0
1620.0,35.7,68.1,0.0,0.0
1650.0,37.7,69.1,0.0,0.0
1680.0,37.5,71.3,0.0,0.0
1710.0,38.0,73.1,0.0,0.0
1740.0,39.0,74.9,0.0,0.0
1770.0,38.4,77.3,0.0,0.0
1800.0,37.1,80.3,0.0,0.0
1830.0,38.7,81.7,0.0,0.0
1860.0,39.9,83.3,0.0,0.0
1890.0,41.7,84.3,0.0,0.0
1920.0,42.1,86.3,0.0,0.0
1950.0,44.1,87.4,0.0,0.0
1980.0,44.4,89.6,0.0,0.0
2010.0,46.1,90.9,0.0,0.0
2040.0,45.6,94.1,0.0,0.0
2070.0,44.2,97.8,0.0,0.0
2100.0,46.7,99.1,0.0,0.0
2130.0,49.8,99.4,0.0,0.0
2160.0,49.9,102.4,0.0,0.0
2190.0,50.9,104.6,0.0,0.0
2220.0,55.0,105.3,0.0,0.0
2250.0,53.7,109.4,0.0,0.0
2280.0,55.0,111.6,0.0,0.0
2310.0,57.0,112.9,0.0,0.0
2340.0,57.7,115.6,0.0,0.0
2370.0,56.4,119.5,0.0,0.0
2400.0,60.2,120.4,0.0,0.0
2430.0,61.5,122.9,0.0,0.0
2460.0,63.1,125.5,0.0,0.0
2490.0,65.6,127.5,0.0,0.0
2520.0,66.5,130.5,0.0,0.0
2550.0,66.6,134.0,0.0,0.0
2580.0,67.9,136.8,0.0,0.0
2610.0,69.6,139.6,0.0,0.0
2640.0,69.8,143.5,0.0,0.0
2670.0,70.9,146.8,0.0,0.0
2700.0,73.1,149.1,0.0,0.0
2730.0,75.8,152.0,0.0,0.0
2760.0,81.5,153.0,0.0,0.0
2790.0,80.7,157.6,0.0,0.0
2820.0,83.8,160.2,0.0,0.0
2850.0,84.0,164.6,0.0,0.0
2880.0,86.4,167.4,0.0,0.0
2910.0,89.7,169.9,0.0,0.0
2940.0,88.0,176.3,0.0,0.0
2970.0,89.2,180.9,0.0,0.0
3000.0,91.2,185.0,0.0,0.0
3030.0,93.6,188.5,0.0,0.0
3060.0,96.9,191.7,0.0,0.0
3090.0,97.8,196.6,0.0,0.0
3120.0,100.6,200.3,0.0,0.0
3150.0,102.5,205.6,0.0,0.0
3180.0,106.0,209.1,0.0,0.0
3210.0,105.4,215.7,0.0,0.0
3240.0,106.6,221.3,0.0,0.0
3270.0,108.6,226.6,0.0,0.0
3300.0,110.5,231.5,0.0,0.0
3330.0,117.0,233.1,0.0,0.0
3360.0,121.9,236.9,0.0,0.0
3390.0,124.1,242.7,0.0,0.0
3420.0,126.3,248.4,0.0,0.0
3450.0,125.3,255.5,0.0,0.0
3480.0,132.3,258.6,0.0,0.0
3510.0,135.9,264.2,0.0,0.0
3540.0,141.9,268.5,0.0,0.0
3570.0,145.4,273.3,0.0,0.0
3600.0,149.3,278.8,0.0,0.0
