times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,33.0,67.0,0.0,0.0
30.0,32.7,69.2,0.1,0.0
60.0,35.2,69.0,0.4,0.0
90.0,38.0,69.0,0.7,0.0
120.0,37.7,71.2,0.9,0.0
150.0,40.1,71.7,1.1,0.0
180.0,40.2,73.7,1.3,0.0
210.0,40.6,75.0,1.5,0.0
240.0,40.8,77.0,1.6,0.0
270.0,42.4,78.0,1.6,0.0
300.0,44.0,79.3,1.6,0.0
330.0,42.6,82.7,1.8,0.0
360.0,43.7,84.2,2.3,0.0
390.0,43.4,86.6,2.4,0.0
420.0,43.2,89.2,2.6,0.0
450.0,43.2,91.9,2.8,0.0
480.0,44.4,93.7,2.9,0.0
510.0,44.4,95.9,3.2,0.0
540.0,45.4,97.6,3.2,0.0
570.0,46.0,99.5,2.9,0.0
600.0,45.7,102.4,2.9,0.0
630.0,46.7,104.7,2.8,0.0
660.0,47.6,106.9,2.7,0.0
690.0,49.9,107.7,2.9,0.0
720.0,50.3,110.0,2.9,0.0
750.0,51.7,111.8,3.1,0.0
780.0,53.5,113.8,3.2,0.0
810.0,51.5,118.1,3.5,0.0
840.0,54.4,118.8,3.8,0.0
870.0,56.2,120.6,3.7,0.0
900.0,55.5,124.0,3.8,0.0
930.0,54.6,127.6,4.0,0.0
960.0,58.7,127.8,4.2,0.0
990.0,65.2,126.3,4.7,0.0
1020.0,65.6,129.1,4.9,0.0
1050.0,65.0,133.3,5.0,0.0
1080.0,66.3,136.4,5.1,0.0
1110.0,69.7,138.3,5.1,0.0
1140.0,71.5,141.4,5.1,0.0
1170.0,72.0,145.3,5.4,0.0
1200.0,74.5,147.7,5.2,0.0
1230.0,75.5,150.7,5.2,0.0
1260.0,78.6,152.5,5.5,0.0
1290.0,79.8,155.0,5.7,0.0
1320.0,80.6,158.7,6.0,0.0
1350.0,81.4,162.1,6.1,0.0
1380.0,83.5,165.2,6.0,0.0
1410.0,83.3,169.2,6.4,0.0
1440.0,85.8,171.7,6.3,0.0
1470.0,88.3,174.3,6.6,0.0
1500.0,92.9,175.6,6.8,0.0
1530.0,93.7,178.4,6.9,0.0
1560.0,95.8,181.9,7.5,0.0
1590.0,98.4,186.3,7.9,0.0
1620.0,99.4,191.4,7.8,0.0
1650.0,99.4,197.9,7.9,0.0
1680.0,102.7,201.5,7.8,0.0
1710.0,104.6,206.6,7.8,0.0
1740.0,105.2,211.1,8.4,0.0
1770.0,111.2,213.2,8.6,0.0
1800.0,114.5,217.1,8.8,0.0
1830.0,118.9,220.3,8.6,0.0
1860.0,120.2,225.6,8.5,0.0
1890.0,118.5,233.3,8.8,0.0
1920.0,119.1,239.0,8.8,0.0
1950.0,122.5,243.2,9.2,0.0
1980.0,123.1,249.3,8.8,0.0
2010.0,126.5,253.2,8.7,0.0
2040.0,129.0,259.0,8.5,0.0
2070.0,133.7,263.6,8.1,0.0
2100.0,138.1,267.9,7.8,0.0
2130.0,143.7,271.5,8.2,0.0
2160.0,143.6,278.9,8.6,0.0
2190.0,144.6,286.8,8.9,0.0
2220.0,148.5,290.6,9.7,0.0
2250.0,152.5,297.0,9.5,0.0
2280.0,154.0,304.5,9.2,0.0
2310.0,157.9,309.9,9.3,0.0
2340.0,161.2,316.3,9.5,0.0
2370.0,165.1,323.5,9.7,0.0
2400.0,168.8,330.1,9.8,0.0
2430.0,169.7,338.9,9.9,0.0
2460.0,172.5,346.8,9.8,0.0
2490.0,172.0,357.2,10.1,0.0
2520.0,179.6,362.6,10.0,0.0
2550.0,181.9,370.0,10.8,0.0
2580.0,183.9,377.3,11.6,0.0
2610.0,189.0,383.8,12.3,0.0
2640.0,193.5,391.1,12.5,0.0
2670.0,197.0,399.3,13.1,0.0
2700.0,203.3,406.4,13.5,0.0
2730.0,206.0,416.0,13.2,0.0
2760.0,206.7,426.5,13.3,0.0
2790.0,209.5,436.4,13.5,0.0
2820.0,213.9,444.6,13.5,0.0
2850.0,216.7,454.3,14.2,0.0
2880.0,221.3,464.3,14.3,0.0
2910.0,226.4,473.1,14.5,0.0
2940.0,233.1,480.6,14.7,0.0
2970.0,238.2,490.8,15.6,0.0
3000.0,248.2,497.2,16.2,0.0
3030.0,252.0,508.1,16.7,0.0
3060.0,255.0,520.5,16.6,0.0
3090.0,256.1,532.8,16.8,0.0
3120.0,265.5,542.1,16.9,0.0
3150.0,272.6,553.3,17.0,0.0
3180.0,278.1,563.7,17.8,0.0
3210.0,282.9,576.6,18.1,0.0
3240.0,289.6,588.5,18.8,0.0
3270.0,295.6,600.1,18.8,0.0
3300.0,303.3,610.8,19.6,0.0
3330.0,307.3,624.6,20.2,0.0
3360.0,316.9,634.1,20.5,0.0
3390.0,322.7,647.0,21.3,0.0
3420.0,322.1,664.8,22.0,0.0
3450.0,333.7,676.9,22.0,0.0
3480.0,340.1,690.8,21.6,0.0
3510.0,345.4,706.2,22.0,0.0
3540.0,347.5,721.9,23.2,0.0
3570.0,351.3,738.6,23.7,0.0
3600.0,359.8,753.0,24.6,0.0
