times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,3.71618084,2.48193473,0.30000000,0.00000000
60.00000000,5.63560112,3.60555128,0.48989795,0.00000000
90.00000000,6.43428318,3.31662479,0.64031242,0.00000000
120.00000000,7.00071425,3.73630834,0.70000000,0.00000000
150.00000000,8.49058302,5.36749476,0.83066239,0.00000000
180.00000000,10.32279032,6.11637147,0.90000000,0.00000000
210.00000000,10.90137606,5.86515132,0.80622577,0.00000000
240.00000000,9.53729521,5.25357021,0.91651514,0.00000000
270.00000000,7.03135833,4.33589668,0.91651514,0.00000000
300.00000000,8.22192192,5.31130869,0.91651514,0.00000000
330.00000000,8.87918915,5.71051661,1.07703296,0.00000000
360.00000000,8.28311536,5.79309934,1.18743421,0.00000000
390.00000000,8.01498596,5.48087584,1.11355287,0.00000000
420.00000000,8.60000000,5.63560112,1.35646600,0.00000000
450.00000000,8.60000000,4.01123422,1.53622915,0.00000000
480.00000000,8.62786184,4.64865572,1.51327460,0.00000000
510.00000000,8.07712820,5.00899191,1.53622915,0.00000000
540.00000000,7.55248304,5.91945943,1.53622915,0.00000000
570.00000000,6.24499800,6.32850693,1.57797338,0.00000000
600.00000000,6.82715168,5.55337735,1.70000000,0.00000000
630.00000000,7.73369252,5.93380148,1.83303028,0.00000000
660.00000000,6.26418391,6.04069532,1.95192213,0.00000000
690.00000000,4.41474801,6.35688603,1.75783958,0.00000000
720.00000000,7.88733161,5.96657356,1.51327460,0.00000000
750.00000000,5.38609320,4.48998886,1.30000000,0.00000000
780.00000000,5.22015325,6.28967408,1.32664992,0.00000000
810.00000000,7.32461603,4.70000000,1.50000000,0.00000000
840.00000000,8.46404159,5.89576119,1.40000000,0.00000000
870.00000000,5.63560112,6.74091982,1.26885775,0.00000000
900.00000000,3.58468967,7.12741187,0.87177979,0.00000000
930.00000000,6.13514466,6.75573830,0.77459667,0.00000000
960.00000000,6.05061980,6.47765390,1.16619038,0.00000000
990.00000000,8.62322445,7.72075126,1.48660687,0.00000000
1020.00000000,10.15086203,6.99213844,1.30000000,0.00000000
1050.00000000,10.77961038,7.70778827,1.54919334,0.00000000
1080.00000000,9.59218432,6.52993109,1.57797338,0.00000000
1110.00000000,8.29517932,4.19642705,1.86815417,0.00000000
1140.00000000,8.54692927,5.60713831,1.86815417,0.00000000
1170.00000000,7.07106781,6.03406994,2.10713075,0.00000000
1200.00000000,6.71192968,7.87464285,1.98997487,0.00000000
1230.00000000,6.74166152,6.98641539,1.93907194,0.00000000
1260.00000000,6.20000000,6.84470598,2.10950231,0.00000000
1290.00000000,6.67532771,7.82304289,2.45153013,0.00000000
1320.00000000,9.41488184,8.55628424,2.32379001,0.00000000
1350.00000000,9.12359578,9.24608025,2.30000000,0.00000000
1380.00000000,12.23315168,9.77547953,2.40831892,0.00000000
1410.00000000,11.65375476,9.80612054,2.83548938,0.00000000
1440.00000000,12.07311062,9.08900435,2.90000000,0.00000000
1470.00000000,11.44595999,9.87977733,2.53771551,0.00000000
1500.00000000,10.28056419,9.35093578,2.82134720,0.00000000
1530.00000000,11.01862060,8.07712820,2.80891438,0.00000000
1560.00000000,13.04453909,10.06429332,3.13847097,0.00000000
1590.00000000,16.94225487,11.65375476,2.80891438,0.00000000
1620.00000000,15.67928570,12.69015366,2.95972972,0.00000000
1650.00000000,16.71047576,13.67077174,3.01496269,0.00000000
1680.00000000,17.36116356,12.72202814,3.51567917,0.00000000
1710.00000000,13.52922762,12.66649123,3.62767143,0.00000000
1740.00000000,11.08873302,11.73413823,3.29241553,0.00000000
1770.00000000,11.68588893,12.74990196,3.13687743,0.00000000
1800.00000000,12.33085561,13.85965368,3.57211422,0.00000000
1830.00000000,10.94029250,15.23843824,3.16859590,0.00000000
1860.00000000,11.39122469,15.29182788,2.76586334,0.00000000
1890.00000000,14.31956703,14.27620398,2.44131112,0.00000000
1920.00000000,13.01883251,15.64608577,2.03960781,0.00000000
1950.00000000,16.03901493,18.57848218,1.88679623,0.00000000
1980.00000000,14.38367130,19.84968514,1.88679623,0.00000000
2010.00000000,18.05685465,18.42172630,2.00249844,0.00000000
2040.00000000,16.90562037,20.06489472,2.33452351,0.00000000
2070.00000000,17.69208863,19.64281039,2.34307490,0.00000000
2100.00000000,20.91148010,19.13347851,2.13541565,0.00000000
2130.00000000,19.03706910,21.42078430,2.18174242,0.00000000
2160.00000000,19.67841457,22.40736486,1.80000000,0.00000000
2190.00000000,23.89644325,22.60884783,1.81383571,0.00000000
2220.00000000,20.00124996,22.53974268,2.23830293,0.00000000
2250.00000000,22.37967828,22.60973242,1.50000000,0.00000000
2280.00000000,23.92070233,23.09653654,1.66132477,0.00000000
2310.00000000,28.57428914,21.35158074,1.48660687,0.00000000
2340.00000000,23.80672174,23.84973794,1.85741756,0.00000000
