times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,11.03449138,7.43572458,0.78102497,0.00000000
60.00000000,13.24990566,8.80284045,0.78102497,0.00000000
90.00000000,18.34775191,11.48259553,1.41774469,0.00000000
120.00000000,19.18436864,10.67707825,1.73205081,0.00000000
150.00000000,25.12946478,13.91006830,2.64575131,0.00000000
180.00000000,29.59662143,14.90939301,2.53771551,0.00000000
210.00000000,29.44893886,13.83473888,3.23882695,0.00000000
240.00000000,27.54995463,12.94179277,3.72021505,0.00000000
270.00000000,26.87080200,14.63591473,3.83275358,0.00000000
300.00000000,31.60838496,17.61703721,3.79605058,0.00000000
330.00000000,27.79136557,15.35057002,3.71618084,0.00000000
360.00000000,31.34070835,16.72004785,4.27668096,0.00000000
390.00000000,39.04983995,17.25833132,4.53431362,0.00000000
420.00000000,34.94695981,13.10114499,5.08330601,0.00000000
450.00000000,39.51961538,11.74734012,5.21152569,0.00000000
480.00000000,37.18938020,11.23788236,5.76974869,0.00000000
510.00000000,36.87817783,15.56920036,5.79741322,0.00000000
540.00000000,40.89743268,22.39106965,6.46915760,0.00000000
570.00000000,40.24375728,23.31008365,6.28967408,0.00000000
600.00000000,35.97777091,24.62133221,6.11637147,0.00000000
630.00000000,29.94995826,24.52121530,5.25452186,0.00000000
660.00000000,29.08074965,25.40177159,6.02992537,0.00000000
690.00000000,26.33172991,27.87633405,6.40312424,0.00000000
720.00000000,22.94428033,24.70728637,5.90677577,0.00000000
750.00000000,24.88071542,23.42648074,6.66633332,0.00000000
780.00000000,28.23986544,28.22693749,6.43739078,0.00000000
810.00000000,26.67976762,27.53615805,6.00000000,0.00000000
840.00000000,25.30296425,29.91738625,6.71118469,0.00000000
870.00000000,33.65843134,32.85665838,6.30000000,0.00000000
900.00000000,37.29356513,27.00536984,6.35295207,0.00000000
930.00000000,30.73255603,26.69381951,6.22012862,0.00000000
960.00000000,36.56241239,22.84819468,6.25219961,0.00000000
990.00000000,31.68990375,26.61277889,5.30659966,0.00000000
1020.00000000,30.88705230,28.77933286,5.60713831,0.00000000
1050.00000000,31.79371007,38.44268461,4.88773976,0.00000000
1080.00000000,39.28918426,36.19447472,5.18073354,0.00000000
1110.00000000,44.57622685,34.56819347,5.25832673,0.00000000
1140.00000000,37.60970619,32.88844782,3.55105618,0.00000000
1170.00000000,39.27543762,37.98999868,2.89827535,0.00000000
1200.00000000,46.54556907,40.07854788,5.64269439,0.00000000
1230.00000000,49.17275668,42.45892132,5.47357287,0.00000000
1260.00000000,44.33463657,35.34176000,5.21919534,0.00000000
1290.00000000,35.67422038,34.94924892,6.43739078,0.00000000
1320.00000000,34.33598695,32.05620065,6.31268564,0.00000000
1350.00000000,32.05994386,32.10669712,5.92368129,0.00000000
1380.00000000,40.40804375,32.49553816,5.34415569,0.00000000
1410.00000000,47.37520449,28.11138559,6.16846821,0.00000000
1440.00000000,43.11612227,33.46879143,6.07042008,0.00000000
1470.00000000,35.19318116,31.00403200,6.50845604,0.00000000
1500.00000000,37.70265243,27.15971281,7.79487011,0.00000000
1530.00000000,39.84582789,30.76296475,7.56571213,0.00000000
1560.00000000,34.84953371,30.40789371,7.48398290,0.00000000
1590.00000000,32.37035681,36.70204354,7.90948797,0.00000000
1620.00000000,31.12892546,44.45053431,7.29657454,0.00000000
1650.00000000,49.84215084,49.54755292,5.64269439,0.00000000
1680.00000000,45.11939716,48.58487419,7.07742891,0.00000000
1710.00000000,51.57993796,44.03192024,8.44748483,0.00000000
1740.00000000,51.36535798,45.08037267,8.14923309,0.00000000
1770.00000000,56.84505256,41.88185765,9.35735005,0.00000000
1800.00000000,54.79425152,47.06899192,7.53923073,0.00000000
1830.00000000,51.53067048,51.65617098,8.45281018,0.00000000
1860.00000000,49.65088116,57.47729987,8.60000000,0.00000000
1890.00000000,49.71076342,61.62864594,8.15168694,0.00000000
1920.00000000,47.42109235,66.80127244,8.15107355,0.00000000
1950.00000000,48.78770337,68.89767775,7.47060908,0.00000000
1980.00000000,55.47648150,68.21172920,8.52115016,0.00000000
2010.00000000,58.12366127,67.45109339,8.11480129,0.00000000
2040.00000000,55.46972147,71.04709706,7.12460525,0.00000000
2070.00000000,51.81080968,73.80135500,9.03105752,0.00000000
2100.00000000,50.08882111,77.34054564,8.13941030,0.00000000
2130.00000000,50.71972003,79.27168473,7.86447710,0.00000000
2160.00000000,47.97759894,74.34520832,10.00449899,0.00000000
2190.00000000,48.29088941,79.42600330,10.07174265,0.00000000
2220.00000000,52.10220725,79.21388767,10.73731810,0.00000000
2250.00000000,61.04457388,77.55056415,11.19642800,0.00000000
2280.00000000,69.58598997,79.29369458,11.34063490,0.00000000
2310.00000000,72.00249996,81.61519466,10.56645636,0.00000000
