times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,330.0,670.0,0.0,0.0
30.0,332.8,685.1,1.3,0.0
60.0,336.8,700.9,2.7,0.0
90.0,342.6,714.5,4.7,0.0
120.0,353.6,726.0,6.0,0.0
150.0,363.1,739.1,7.0,0.0
180.0,369.8,753.9,9.6,0.0
210.0,376.6,769.0,12.1,0.0
240.0,387.0,780.9,14.6,0.0
270.0,395.4,796.7,17.1,0.0
300.0,405.9,812.2,18.7,0.0
330.0,413.8,829.4,21.3,0.0
360.0,421.4,847.2,23.1,0.0
390.0,428.9,865.5,25.2,0.0
420.0,444.9,877.4,27.6,0.0
450.0,449.0,900.0,29.2,0.0
480.0,458.5,918.9,31.1,0.0
510.0,464.0,939.0,33.3,0.0
540.0,459.0,966.8,34.5,0.0
570.0,470.2,984.2,36.2,0.0
600.0,479.0,1004.3,36.7,0.0
630.0,492.0,1020.9,38.7,0.0
660.0,498.9,1042.5,40.2,0.0
690.0,513.8,1060.9,40.0,0.0
720.0,518.6,1083.5,39.9,0.0
750.0,531.5,1103.0,39.6,0.0
780.0,540.1,1128.8,40.4,0.0
810.0,554.3,1149.4,41.0,0.0
840.0,565.4,1172.5,41.6,0.0
870.0,574.1,1197.2,42.1,0.0
900.0,590.7,1219.9,42.2,0.0
930.0,598.9,1246.8,42.9,0.0
960.0,611.7,1269.6,43.9,0.0
990.0,630.5,1293.4,44.8,0.0
1020.0,640.3,1321.5,45.6,0.0
1050.0,653.6,1346.4,47.1,0.0
1080.0,670.6,1372.6,47.4,0.0
1110.0,682.6,1399.2,48.5,0.0
1140.0,703.9,1423.5,48.7,0.0
1170.0,721.2,1450.6,50.0,0.0
1200.0,738.1,1480.1,50.6,0.0
1230.0,747.2,1513.2,52.2,0.0
1260.0,759.2,1546.4,52.4,0.0
1290.0,778.5,1572.5,52.6,0.0
1320.0,793.8,1604.0,54.5,0.0
1350.0,813.4,1631.4,56.9,0.0
1380.0,826.7,1668.2,57.2,0.0
1410.0,843.7,1701.5,57.5,0.0
1440.0,857.0,1737.8,58.5,0.0
1470.0,870.8,1774.5,60.8,0.0
1500.0,887.1,1810.5,62.2,0.0
1530.0,904.1,1845.8,63.6,0.0
1560.0,928.1,1879.6,64.3,0.0
1590.0,944.6,1920.4,65.2,0.0
1620.0,954.3,1966.5,66.4,0.0
1650.0,972.6,2008.8,67.4,0.0
1680.0,998.2,2046.9,68.9,0.0
1710.0,1018.9,2087.7,70.8,0.0
1740.0,1043.0,2127.4,71.3,0.0
1770.0,1067.2,2168.1,74.8,0.0
1800.0,1095.7,2205.9,77.4,0.0
1830.0,1116.7,2248.8,80.5,0.0
1860.0,1137.3,2297.6,80.2,0.0
1890.0,1154.2,2348.1,82.5,0.0
1920.0,1186.2,2389.3,84.4,0.0
1950.0,1204.4,2442.9,85.3,0.0
1980.0,1226.6,2492.4,86.3,0.0
2010.0,1252.2,2540.5,88.5,0.0
2040.0,1278.9,2590.1,89.8,0.0
2070.0,1304.2,2642.4,91.2,0.0
2100.0,1334.9,2693.8,92.5,0.0
2130.0,1356.9,2749.0,94.5,0.0
2160.0,1373.5,2810.7,97.1,0.0
2190.0,1398.3,2869.1,98.4,0.0
2220.0,1429.6,2929.4,100.1,0.0
2250.0,1459.6,2986.1,101.8,0.0
2280.0,1502.7,3040.1,102.3,0.0
2310.0,1529.2,3104.4,103.5,0.0
2340.0,1568.6,3162.3,103.3,0.0
2370.0,1610.5,3218.5,105.2,0.0
2400.0,1643.1,3283.4,110.0,0.0
2430.0,1670.6,3351.4,112.6,0.0
2460.0,1699.4,3419.3,116.8,0.0
2490.0,1736.3,3486.5,119.6,0.0
2520.0,1769.9,3555.6,121.7,0.0
2550.0,1822.6,3620.1,124.4,0.0
2580.0,1867.8,3689.1,128.9,0.0
2610.0,1894.8,3771.8,130.7,0.0
2640.0,1939.3,3847.0,132.9,0.0
2670.0,1971.0,3929.7,136.5,0.0
2700.0,2008.4,4012.8,139.8,0.0
2730.0,2049.0,4096.3,143.8,0.0
2760.0,2073.0,4189.7,146.5,0.0
2790.0,2121.5,4270.5,149.6,0.0
2820.0,2157.1,4360.9,153.9,0.0
2850.0,2201.3,4448.9,157.5,0.0
2880.0,2241.9,4545.6,161.3,0.0
2910.0,2299.9,4632.9,160.5,0.0
2940.0,2333.0,4733.7,164.6,0.0
2970.0,2384.3,4827.3,166.9,0.0
3000.0,2436.1,4923.2,169.0,0.0
3030.0,2473.6,5027.0,170.3,0.0
3060.0,2529.0,5124.5,174.4,0.0
3090.0,2577.7,5229.1,176.4,0.0
3120.0,2614.6,5340.0,181.5,0.0
3150.0,2679.8,5434.0,186.5,0.0
3180.0,2739.4,5537.6,189.6,0.0
3210.0,2782.4,5657.3,195.1,0.0
3240.0,2825.7,5776.6,199.4,0.0
3270.0,2881.7,5895.7,202.4,0.0
3300.0,2940.1,6015.2,206.0,0.0
3330.0,2990.1,6141.5,208.4,0.0
3360.0,3053.0,6263.3,213.5,0.0
3390.0,3115.2,6391.9,217.2,0.0
3420.0,3172.5,6521.9,224.7,0.0
3450.0,3237.4,6649.2,229.1,0.0
3480.0,3322.6,6770.7,233.0,0.0
3510.0,3385.0,6916.4,238.6,0.0
3540.0,3427.7,7068.8,244.7,0.0
3570.0,3501.1,7211.5,246.3,0.0
3600.0,3568.9,7362.0,251.0,0.0
