times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,3.90512484,2.63818119,0.00000000,0.00000000
60.00000000,6.14817046,3.56230263,0.00000000,0.00000000
90.00000000,6.90579467,3.23882695,0.00000000,0.00000000
120.00000000,7.02068373,2.92574777,0.00000000,0.00000000
150.00000000,4.95983871,2.60000000,0.00000000,0.00000000
180.00000000,5.11859356,2.57681975,0.00000000,0.00000000
210.00000000,8.09938269,4.65725241,0.00000000,0.00000000
240.00000000,7.85875308,4.74973683,0.00000000,0.00000000
270.00000000,9.92773892,5.74456265,0.00000000,0.00000000
300.00000000,9.34023554,5.28109837,0.00000000,0.00000000
330.00000000,8.55336191,5.01597448,0.00000000,0.00000000
360.00000000,6.41872261,3.98622629,0.00000000,0.00000000
390.00000000,8.00249961,5.28772163,0.00000000,0.00000000
420.00000000,9.02441134,5.29528092,0.00000000,0.00000000
450.00000000,6.73795221,5.35256948,0.00000000,0.00000000
480.00000000,7.13372273,5.65773806,0.00000000,0.00000000
510.00000000,9.06035319,5.18073354,0.00000000,0.00000000
540.00000000,8.44334057,4.72122865,0.00000000,0.00000000
570.00000000,6.44670458,4.15331193,0.00000000,0.00000000
600.00000000,7.85111457,3.46410162,0.00000000,0.00000000
630.00000000,9.25418824,3.76828874,0.00000000,0.00000000
660.00000000,9.24986486,4.38178046,0.00000000,0.00000000
690.00000000,9.51840323,3.69459064,0.00000000,0.00000000
720.00000000,11.38595626,5.92030405,0.00000000,0.00000000
750.00000000,10.43120319,5.60713831,0.00000000,0.00000000
780.00000000,9.23092628,5.64269439,0.00000000,0.00000000
810.00000000,10.96403211,6.48382603,0.00000000,0.00000000
840.00000000,11.09774752,8.05232886,0.00000000,0.00000000
870.00000000,10.06180898,7.52927619,0.00000000,0.00000000
900.00000000,9.49157521,7.28628849,0.00000000,0.00000000
930.00000000,11.11575459,8.07465170,0.00000000,0.00000000
960.00000000,10.70700705,5.71314274,0.00000000,0.00000000
990.00000000,8.64638653,7.26704892,0.00000000,0.00000000
1020.00000000,4.62601340,9.05538514,0.00000000,0.00000000
1050.00000000,5.13809303,10.20832993,0.00000000,0.00000000
1080.00000000,7.10281634,11.11080555,0.00000000,0.00000000
1110.00000000,7.39188745,8.11418511,0.00000000,0.00000000
1140.00000000,7.04627561,8.93588272,0.00000000,0.00000000
1170.00000000,8.98276127,7.52661943,0.00000000,0.00000000
1200.00000000,10.77775487,7.46257328,0.00000000,0.00000000
1230.00000000,11.88107739,8.08455317,0.00000000,0.00000000
1260.00000000,13.87948126,7.87146746,0.00000000,0.00000000
1290.00000000,15.16443207,7.88669766,0.00000000,0.00000000
1320.00000000,17.24557914,8.06473806,0.00000000,0.00000000
1350.00000000,16.29754583,8.80965380,0.00000000,0.00000000
1380.00000000,16.96496390,10.78192933,0.00000000,0.00000000
1410.00000000,13.01537552,12.11445418,0.00000000,0.00000000
1440.00000000,12.66056871,14.83239697,0.00000000,0.00000000
1470.00000000,12.42618204,15.30392107,0.00000000,0.00000000
1500.00000000,13.21703446,16.98352143,0.00000000,0.00000000
1530.00000000,13.29097438,17.01293625,0.00000000,0.00000000
1560.00000000,12.57974563,16.24222891,0.00000000,0.00000000
1590.00000000,14.35583505,17.60227258,0.00000000,0.00000000
1620.00000000,13.45956909,17.57384420,0.00000000,0.00000000
1650.00000000,13.12859475,18.41982627,0.00000000,0.00000000
1680.00000000,14.94790955,16.75738643,0.00000000,0.00000000
1710.00000000,17.83395638,16.00499922,0.00000000,0.00000000
1740.00000000,17.46453549,16.01280737,0.00000000,0.00000000
1770.00000000,16.72124397,16.49878783,0.00000000,0.00000000
1800.00000000,17.94881612,17.05989449,0.00000000,0.00000000
1830.00000000,22.59114871,19.07065809,0.00000000,0.00000000
1860.00000000,22.90327488,18.16700305,0.00000000,0.00000000
1890.00000000,24.64325466,19.04730952,0.00000000,0.00000000
1920.00000000,23.48957215,21.05255329,0.00000000,0.00000000
1950.00000000,22.82564347,20.57668584,0.00000000,0.00000000
1980.00000000,22.77037549,22.74664810,0.00000000,0.00000000
2010.00000000,20.20791924,25.37104649,0.00000000,0.00000000
2040.00000000,23.43096242,26.96460643,0.00000000,0.00000000
2070.00000000,23.81617098,27.25362361,0.00000000,0.00000000
2100.00000000,20.59635890,27.05106283,0.00000000,0.00000000
2130.00000000,21.21414622,27.06215069,0.00000000,0.00000000
2160.00000000,17.88966182,29.11631845,0.00000000,0.00000000
2190.00000000,19.57549489,30.83909856,0.00000000,0.00000000
2220.00000000,20.94492779,29.61232851,0.00000000,0.00000000
2250.00000000,23.68733839,27.75265753,0.00000000,0.00000000
2280.00000000,22.91920592,28.41056142,0.00000000,0.00000000
2310.00000000,21.00499940,29.35370505,0.00000000,0.00000000
2340.00000000,21.98090080,31.56263614,0.00000000,0.00000000
2370.00000000,22.52642892,35.29660040,0.00000000,0.00000000
2400.00000000,22.28452378,35.22215212,0.00000000,0.00000000
2430.00000000,24.23241631,33.21881997,0.00000000,0.00000000
2460.00000000,20.62062075,34.47955916,0.00000000,0.00000000
2490.00000000,23.58834458,32.18943926,0.00000000,0.00000000
2520.00000000,26.17269570,32.93463223,0.00000000,0.00000000
2550.00000000,26.83300207,34.77987924,0.00000000,0.00000000
