times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,33.0,67.0,0.0,0.0
30.0,33.5,68.8,0.0,0.0
60.0,36.0,68.9,0.0,0.0
90.0,37.9,69.9,0.0,0.0
120.0,37.9,72.2,0.0,0.0
150.0,38.0,74.2,0.0,0.0
180.0,38.0,76.4,0.0,0.0
210.0,39.0,77.9,0.0,0.0
240.0,39.2,79.8,0.0,0.0
270.0,40.8,81.0,0.0,0.0
300.0,43.6,81.9,0.0,0.0
330.0,44.8,83.2,0.0,0.0
360.0,48.0,83.9,0.0,0.0
390.0,47.4,87.2,0.0,0.0
420.0,46.6,90.6,0.0,0.0
450.0,46.0,93.5,0.0,0.0
480.0,47.9,94.7,0.0,0.0
510.0,51.9,94.6,0.0,0.0
540.0,50.9,98.1,0.0,0.0
570.0,50.2,101.5,0.0,0.0
600.0,50.6,104.0,0.0,0.0
630.0,52.4,105.0,0.0,0.0
660.0,53.2,108.0,0.0,0.0
690.0,57.0,108.5,0.0,0.0
720.0,58.6,110.5,0.0,0.0
750.0,61.7,111.6,0.0,0.0
780.0,63.3,113.6,0.0,0.0
810.0,66.3,115.4,0.0,0.0
840.0,64.2,120.6,0.0,0.0
870.0,63.4,124.9,0.0,0.0
900.0,62.9,128.9,0.0,0.0
930.0,63.2,132.0,0.0,0.0
960.0,61.6,136.6,0.0,0.0
990.0,64.2,138.3,0.0,0.0
1020.0,66.0,141.0,0.0,0.0
1050.0,69.0,143.3,0.0,0.0
1080.0,70.5,146.5,0.0,0.0
1110.0,75.4,147.4,0.0,0.0
1140.0,75.5,151.5,0.0,0.0
1170.0,77.9,154.5,0.0,0.0
1200.0,79.2,157.9,0.0,0.0
1230.0,82.2,160.2,0.0,0.0
1260.0,84.4,163.8,0.0,0.0
1290.0,85.8,167.0,0.0,0.0
1320.0,89.7,169.4,0.0,0.0
1350.0,93.3,171.7,0.0,0.0
1380.0,96.7,174.5,0.0,0.0
1410.0,101.0,178.2,0.0,0.0
1440.0,100.9,184.0,0.0,0.0
1470.0,101.3,188.7,0.0,0.0
1500.0,100.9,195.4,0.0,0.0
1530.0,102.5,199.6,0.0,0.0
1560.0,104.5,203.7,0.0,0.0
1590.0,106.1,208.6,0.0,0.0
1620.0,109.8,212.6,0.0,0.0
1650.0,111.8,217.9,0.0,0.0
1680.0,117.4,220.7,0.0,0.0
1710.0,118.5,227.8,0.0,0.0
1740.0,119.3,234.3,0.0,0.0
1770.0,121.0,240.3,0.0,0.0
1800.0,126.2,243.6,0.0,0.0
1830.0,128.2,249.9,0.0,0.0
1860.0,127.8,257.6,0.0,0.0
1890.0,129.1,264.0,0.0,0.0
1920.0,134.8,268.7,0.0,0.0
1950.0,136.3,276.0,0.0,0.0
1980.0,140.1,281.3,0.0,0.0
2010.0,141.8,289.1,0.0,0.0
2040.0,144.7,295.1,0.0,0.0
2070.0,148.7,301.2,0.0,0.0
2100.0,153.3,306.8,0.0,0.0
2130.0,154.6,313.8,0.0,0.0
2160.0,158.6,321.2,0.0,0.0
2190.0,167.0,325.5,0.0,0.0
2220.0,168.9,333.9,0.0,0.0
2250.0,176.9,338.7,0.0,0.0
2280.0,176.9,348.2,0.0,0.0
2310.0,175.3,360.4,0.0,0.0
2340.0,177.2,370.0,0.0,0.0
2370.0,180.6,377.5,0.0,0.0
2400.0,186.0,385.0,0.0,0.0
2430.0,192.3,391.9,0.0,0.0
2460.0,195.7,401.6,0.0,0.0
2490.0,203.3,408.2,0.0,0.0
2520.0,207.7,416.1,0.0,0.0
2550.0,212.7,423.6,0.0,0.0
2580.0,218.4,432.6,0.0,0.0
2610.0,217.8,445.8,0.0,0.0
2640.0,221.8,455.2,0.0,0.0
2670.0,228.2,464.1,0.0,0.0
2700.0,235.1,473.4,0.0,0.0
2730.0,239.2,484.2,0.0,0.0
2760.0,242.3,497.4,0.0,0.0
2790.0,250.2,506.3,0.0,0.0
2820.0,253.2,519.1,0.0,0.0
2850.0,256.2,532.2,0.0,0.0
2880.0,264.4,541.2,0.0,0.0
2910.0,267.0,554.6,0.0,0.0
2940.0,271.1,568.7,0.0,0.0
2970.0,277.8,580.3,0.0,0.0
3000.0,288.5,589.0,0.0,0.0
3030.0,299.8,597.8,0.0,0.0
3060.0,305.0,611.3,0.0,0.0
3090.0,312.3,625.9,0.0,0.0
3120.0,321.5,639.5,0.0,0.0
3150.0,332.3,650.6,0.0,0.0
3180.0,330.8,671.1,0.0,0.0
3210.0,338.0,685.9,0.0,0.0
3240.0,342.5,702.8,0.0,0.0
3270.0,350.5,719.1,0.0,0.0
3300.0,362.8,731.5,0.0,0.0
3330.0,368.4,749.6,0.0,0.0
3360.0,375.5,766.1,0.0,0.0
3390.0,382.7,783.0,0.0,0.0
3420.0,390.9,800.1,0.0,0.0
3450.0,392.4,822.1,0.0,0.0
3480.0,400.5,840.6,0.0,0.0
3510.0,400.2,863.2,0.0,0.0
3540.0,416.0,876.4,0.0,0.0
3570.0,427.1,892.4,0.0,0.0
3600.0,439.9,910.5,0.0,0.0
