times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
240.00000000,0.00002153,0.00006131
480.00000000,0.00314413,0.00008736
720.00000000,0.02436384,0.00398748
960.00000000,0.06847327,0.01443371
1200.00000000,0.06972890,0.01518833
1440.00000000,0.20252972,0.03931704
1680.00000000,0.30057252,0.05305035
1920.00000000,0.32215695,0.05864657
2160.00000000,0.33174492,0.08137428
2400.00000000,0.33175128,0.16431468
2640.00000000,0.33278240,0.23335918
2880.00000000,0.33851561,0.33492079
3120.00000000,0.52821440,0.39955016
3360.00000000,0.56949540,0.65417935
3600.00000000,0.57340082,1.01320024
