,mean,sd,hdi_3%,hdi_97%,mpv
c1,0.003274462304139,0.000110033465925,0.003057554633745,0.003458534036115,0.003300604299745851
c2,-0.00121903348381,6.1082451243e-05,-0.001331840809934,-0.001119467461461,-0.001204189160297363
c3,-0.000175165109521,2.931365916e-06,-0.000179549515785,-0.000169889955118,-0.00017796221492924816
c4,0.000149359429599,3.473784869e-06,0.000144182886713,0.000154420401942,0.00014610591320020827
c5,-3.1192876102e-05,1.156646544e-06,-3.2891505668e-05,-2.9626671367e-05,-3.0048886392068134e-05
c7,-0.001977202394264,6.1475176913e-05,-0.002097108192285,-0.0018692165396,-0.0019866825841987085
c8,0.001687903946237,5.3479289243e-05,0.001589816155656,0.001776710667219,0.0017233164937369295
c9,0.000145674465919,6.62891329e-06,0.000136546130628,0.000155999759438,0.00013935647924238553
c10,-0.00013012931446,8.014257495e-06,-0.000141278521389,-0.000119848904297,-0.00012237478286003802
c11,2.8801659256e-05,2.293636254e-06,2.6077240841e-05,3.1930966678e-05,2.6559669053508973e-05
Ki67_neg0,36.97737476997938,3.187661976836782,32.92152081492536,40.82525888960314,40.20737078475778
Ki67_pos0,64.7039326210185,2.332747459524162,61.147503351625154,68.11764843817122,66.91405860531528
std_deviation[0],7.453021502465627,1.285659290624293,5.537284626588599,9.869749825736154,6.517850427643418
std_deviation[1],4.637554519945588,0.471752947887779,3.733262202425306,5.515126884752306,4.62052875525457
