times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
30.00000000,0.00012466,0.00013719
60.00000000,0.00534108,0.00133402
90.00000000,0.02130796,0.00402907
120.00000000,0.02928652,0.00475117
150.00000000,0.03245635,0.00492126
180.00000000,0.03277134,0.00496085
210.00000000,0.03344770,0.00496182
240.00000000,0.03346923,0.00502313
270.00000000,0.03440066,0.00512335
300.00000000,0.04927033,0.00665809
330.00000000,0.06784825,0.00982326
360.00000000,0.12785488,0.01880289
390.00000000,0.15736303,0.02106848
420.00000000,0.16512739,0.02107079
450.00000000,0.16529616,0.02212623
480.00000000,0.16841876,0.02215227
510.00000000,0.20751040,0.02667790
540.00000000,0.21760287,0.02710486
570.00000000,0.21787222,0.02754823
600.00000000,0.21814022,0.02851389
630.00000000,0.21840824,0.02862887
660.00000000,0.21840836,0.02879212
690.00000000,0.23427980,0.03120117
720.00000000,0.25549951,0.03510130
750.00000000,0.31097815,0.04670013
780.00000000,0.37485539,0.06222847
810.00000000,0.48728510,0.08474432
840.00000000,0.51747738,0.08878438
870.00000000,0.52277150,0.08886729
900.00000000,0.52300643,0.08997990
930.00000000,0.52745951,0.09188936
960.00000000,0.57156895,0.10233559
990.00000000,0.59553994,0.10612598
1020.00000000,0.61491965,0.10885790
1050.00000000,0.61954311,0.10960898
1080.00000000,0.62440882,0.11053588
1110.00000000,0.63228646,0.11263084
1140.00000000,0.63257953,0.11292665
1170.00000000,0.63542179,0.11370047
1200.00000000,0.63667742,0.11445509
1230.00000000,0.64603783,0.11886637
1260.00000000,0.66000882,0.12301140
1290.00000000,0.66995794,0.12914543
1320.00000000,0.70934174,0.14395064
1350.00000000,0.78829256,0.17321886
1380.00000000,0.91223157,0.21586317
1410.00000000,1.12751184,0.26192685
1440.00000000,1.26031266,0.28605555
1470.00000000,1.34244587,0.30449848
1500.00000000,1.37085816,0.30723792
1530.00000000,1.39147482,0.31033205
1560.00000000,1.40982056,0.31460881
1590.00000000,1.42105857,0.31727135
1620.00000000,1.45141947,0.32234147
1650.00000000,1.47676103,0.32490656
1680.00000000,1.57480384,0.33863987
1710.00000000,1.63748024,0.34051499
1740.00000000,1.66665033,0.34056298
1770.00000000,1.68394575,0.34191506
1800.00000000,1.74960200,0.34267076
1830.00000000,1.80064758,0.34269428
1860.00000000,1.80683079,0.34911911
1890.00000000,1.80692044,0.36077574
1920.00000000,1.82850487,0.36637197
1950.00000000,1.83514557,0.38187687
1980.00000000,1.85017043,0.39249405
2010.00000000,1.85384694,0.41838253
2040.00000000,1.85662464,0.44212174
2070.00000000,1.86545234,0.46345745
2100.00000000,1.89121808,0.47707488
2130.00000000,1.89565989,0.49383178
2160.00000000,1.90524787,0.51655949
2190.00000000,2.01759991,0.52057459
2220.00000000,2.08492084,0.53227249
2250.00000000,2.30630589,0.53301747
2280.00000000,2.39451642,0.54271502
2310.00000000,2.39641136,0.60755893
2340.00000000,2.39863763,0.70886419
2370.00000000,2.40359938,0.80250770
2400.00000000,2.40360574,0.88544810
2430.00000000,2.41444614,0.94499444
2460.00000000,2.41913500,1.02780527
2490.00000000,2.47133582,1.07692292
2520.00000000,2.52503297,1.11406770
2550.00000000,2.59213586,1.13481675
2580.00000000,2.69141440,1.15414532
2610.00000000,2.69583681,1.22591847
2640.00000000,2.69686793,1.29496298
2670.00000000,2.70833255,1.34967575
2700.00000000,2.74866347,1.39432773
2730.00000000,2.77304769,1.44798186
2760.00000000,2.77648652,1.55350490
2790.00000000,2.81045168,1.62453717
2820.00000000,2.81552239,1.73407098
2850.00000000,2.81777513,1.89207516
2880.00000000,2.82350835,1.99363677
2910.00000000,2.82891562,2.13716959
2940.00000000,2.85366936,2.34326974
2970.00000000,2.86890696,2.53403804
3000.00000000,2.87786769,2.63241000
3030.00000000,2.99007308,2.66656896
3060.00000000,3.06756777,2.70821592
3090.00000000,3.16687172,2.77107058
3120.00000000,3.35657051,2.83569995
3150.00000000,3.74745211,2.86266252
3180.00000000,3.79683023,3.00610674
3210.00000000,3.84798243,3.15992747
3240.00000000,3.85685438,3.37655501
3270.00000000,3.87156443,3.63445324
3300.00000000,3.99084594,3.80150750
3330.00000000,4.04970021,4.04079945
3360.00000000,4.09098122,4.29542865
3390.00000000,4.11667086,4.56761484
3420.00000000,4.14118625,4.85228503
3450.00000000,4.17170726,5.33830652
3480.00000000,4.21193024,5.87283088
3510.00000000,4.61552815,6.66409730
3540.00000000,4.71332434,7.18288819
3570.00000000,4.76318055,7.58154867
3600.00000000,4.76708597,7.94056957
