times, live_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0
30.0,37.7,0.0,0.0
60.0,38.6,0.0,0.0
90.0,39.3,0.0,0.0
120.0,40.1,0.0,0.0
150.0,40.9,0.0,0.0
180.0,41.5,0.0,0.0
210.0,41.9,0.0,0.0
240.0,43.1,0.0,0.0
270.0,43.8,0.0,0.0
300.0,45.2,0.0,0.0
330.0,46.3,0.0,0.0
360.0,47.6,0.0,0.0
390.0,49.4,0.0,0.0
420.0,50.4,0.0,0.0
450.0,51.4,0.0,0.0
480.0,52.8,0.0,0.0
510.0,53.8,0.0,0.0
540.0,54.5,0.0,0.0
570.0,55.2,0.0,0.0
600.0,56.2,0.0,0.0
630.0,57.0,0.0,0.0
660.0,58.5,0.0,0.0
690.0,59.6,0.0,0.0
720.0,60.5,0.0,0.0
750.0,62.3,0.0,0.0
780.0,63.1,0.0,0.0
810.0,64.8,0.0,0.0
840.0,65.9,0.0,0.0
870.0,67.9,0.0,0.0
900.0,69.7,0.0,0.0
930.0,71.0,0.0,0.0
960.0,72.2,0.0,0.0
990.0,73.7,0.0,0.0
1020.0,74.8,0.0,0.0
1050.0,76.1,0.0,0.0
1080.0,77.8,0.0,0.0
1110.0,79.3,0.0,0.0
1140.0,81.7,0.0,0.0
1170.0,83.6,0.0,0.0
1200.0,85.5,0.0,0.0
1230.0,88.2,0.0,0.0
1260.0,90.1,0.0,0.0
1290.0,92.5,0.0,0.0
1320.0,94.8,0.0,0.0
1350.0,97.6,0.0,0.0
1380.0,99.6,0.0,0.0
1410.0,102.2,0.0,0.0
1440.0,104.6,0.0,0.0
1470.0,106.9,0.0,0.0
1500.0,109.3,0.0,0.0
1530.0,111.9,0.0,0.0
1560.0,113.3,0.0,0.0
1590.0,115.8,0.0,0.0
1620.0,118.3,0.0,0.0
1650.0,120.6,0.0,0.0
1680.0,123.2,0.0,0.0
1710.0,125.8,0.0,0.0
1740.0,127.9,0.0,0.0
1770.0,130.5,0.0,0.0
1800.0,133.1,0.0,0.0
1830.0,135.5,0.0,0.0
1860.0,138.3,0.0,0.0
1890.0,141.8,0.0,0.0
1920.0,144.7,0.0,0.0
1950.0,147.5,0.0,0.0
1980.0,151.2,0.0,0.0
2010.0,155.0,0.0,0.0
2040.0,158.0,0.0,0.0
2070.0,160.5,0.0,0.0
2100.0,164.2,0.0,0.0
2130.0,168.7,0.0,0.0
2160.0,173.1,0.0,0.0
2190.0,177.1,0.0,0.0
2220.0,181.6,0.0,0.0
2250.0,186.4,0.0,0.0
2280.0,190.7,0.0,0.0
2310.0,195.6,0.0,0.0
2340.0,199.9,0.0,0.0
2370.0,204.6,0.0,0.0
2400.0,208.5,0.0,0.0
2430.0,212.7,0.0,0.0
2460.0,218.1,0.0,0.0
2490.0,222.1,0.0,0.0
2520.0,227.3,0.0,0.0
2550.0,231.9,0.0,0.0
2580.0,236.8,0.0,0.0
2610.0,241.7,0.0,0.0
2640.0,247.3,0.0,0.0
2670.0,253.4,0.0,0.0
2700.0,258.4,0.0,0.0
2730.0,264.6,0.0,0.0
2760.0,270.3,0.0,0.0
2790.0,277.1,0.0,0.0
2820.0,283.2,0.0,0.0
2850.0,288.7,0.0,0.0
2880.0,294.4,0.0,0.0
2910.0,299.9,0.0,0.0
2940.0,306.1,0.0,0.0
2970.0,312.4,0.0,0.0
3000.0,319.1,0.0,0.0
3030.0,326.6,0.0,0.0
3060.0,332.6,0.0,0.0
3090.0,340.9,0.0,0.0
3120.0,349.0,0.0,0.0
3150.0,357.1,0.0,0.0
3180.0,364.9,0.0,0.0
3210.0,374.0,0.0,0.0
3240.0,382.5,0.0,0.0
3270.0,391.7,0.0,0.0
3300.0,401.4,0.0,0.0
3330.0,408.5,0.0,0.0
3360.0,418.9,0.0,0.0
3390.0,427.8,0.0,0.0
3420.0,438.4,0.0,0.0
3450.0,447.5,0.0,0.0
3480.0,457.6,0.0,0.0
3510.0,467.2,0.0,0.0
3540.0,478.2,0.0,0.0
3570.0,486.1,0.0,0.0
3600.0,497.1,0.0,0.0
