times, live_mean, apoptotic_mean, necrotic_mean
0.0,109.0,0.0,0.0
30.0,111.7,0.0,0.0
60.0,113.5,0.0,0.0
90.0,115.6,0.0,0.0
120.0,117.8,0.0,0.0
150.0,119.8,0.0,0.0
180.0,121.7,0.0,0.0
210.0,125.4,0.0,0.0
240.0,127.6,0.0,0.0
270.0,130.5,0.0,0.0
300.0,132.9,0.0,0.0
330.0,136.2,0.0,0.0
360.0,138.5,0.0,0.0
390.0,141.1,0.0,0.0
420.0,143.8,0.0,0.0
450.0,147.0,0.0,0.0
480.0,149.7,0.0,0.0
510.0,153.4,0.0,0.0
540.0,157.5,0.0,0.0
570.0,160.9,0.0,0.0
600.0,164.2,0.0,0.0
630.0,167.9,0.0,0.0
660.0,171.8,0.0,0.0
690.0,175.8,0.0,0.0
720.0,179.9,0.0,0.0
750.0,183.7,0.0,0.0
780.0,189.5,0.0,0.0
810.0,193.0,0.0,0.0
840.0,196.3,0.0,0.0
870.0,199.6,0.0,0.0
900.0,203.2,0.0,0.0
930.0,206.8,0.0,0.0
960.0,212.4,0.0,0.0
990.0,217.3,0.0,0.0
1020.0,222.5,0.0,0.0
1050.0,228.2,0.0,0.0
1080.0,233.8,0.0,0.0
1110.0,237.9,0.0,0.0
1140.0,242.2,0.0,0.0
1170.0,247.5,0.0,0.0
1200.0,253.4,0.0,0.0
1230.0,260.0,0.0,0.0
1260.0,265.7,0.0,0.0
1290.0,271.0,0.0,0.0
1320.0,276.8,0.0,0.0
1350.0,282.8,0.0,0.0
1380.0,288.8,0.0,0.0
1410.0,294.9,0.0,0.0
1440.0,301.4,0.0,0.0
1470.0,309.2,0.0,0.0
1500.0,314.5,0.0,0.0
1530.0,321.1,0.0,0.0
1560.0,329.5,0.0,0.0
1590.0,336.5,0.0,0.0
1620.0,342.6,0.0,0.0
1650.0,349.8,0.0,0.0
1680.0,357.4,0.0,0.0
1710.0,366.2,0.0,0.0
1740.0,375.1,0.0,0.0
1770.0,382.2,0.0,0.0
1800.0,390.8,0.0,0.0
1830.0,399.9,0.0,0.0
1860.0,408.5,0.0,0.0
1890.0,416.8,0.0,0.0
1920.0,426.3,0.0,0.0
1950.0,436.2,0.0,0.0
1980.0,445.9,0.0,0.0
2010.0,455.8,0.0,0.0
2040.0,465.6,0.0,0.0
2070.0,476.1,0.0,0.0
2100.0,484.8,0.0,0.0
2130.0,497.0,0.0,0.0
2160.0,505.6,0.0,0.0
2190.0,516.9,0.0,0.0
2220.0,527.1,0.0,0.0
2250.0,538.0,0.0,0.0
2280.0,552.0,0.0,0.0
2310.0,562.0,0.0,0.0
2340.0,573.7,0.0,0.0
2370.0,586.8,0.0,0.0
2400.0,598.8,0.0,0.0
2430.0,611.5,0.0,0.0
2460.0,626.7,0.0,0.0
2490.0,641.4,0.0,0.0
2520.0,655.3,0.0,0.0
2550.0,668.7,0.0,0.0
2580.0,684.7,0.0,0.0
2610.0,699.9,0.0,0.0
2640.0,714.6,0.0,0.0
2670.0,731.0,0.0,0.0
2700.0,746.8,0.0,0.0
2730.0,763.3,0.0,0.0
2760.0,778.9,0.0,0.0
2790.0,794.6,0.0,0.0
2820.0,812.6,0.0,0.0
2850.0,830.1,0.0,0.0
2880.0,849.0,0.0,0.0
2910.0,864.5,0.0,0.0
2940.0,883.6,0.0,0.0
2970.0,903.9,0.0,0.0
3000.0,920.6,0.0,0.0
3030.0,939.7,0.0,0.0
3060.0,960.8,0.0,0.0
3090.0,979.6,0.0,0.0
3120.0,1002.5,0.0,0.0
3150.0,1025.6,0.0,0.0
3180.0,1047.1,0.0,0.0
3210.0,1072.0,0.0,0.0
3240.0,1095.0,0.0,0.0
3270.0,1119.2,0.0,0.0
3300.0,1143.4,0.0,0.0
3330.0,1168.2,0.0,0.0
3360.0,1192.6,0.0,0.0
3390.0,1218.5,0.0,0.0
3420.0,1244.7,0.0,0.0
3450.0,1271.7,0.0,0.0
3480.0,1300.6,0.0,0.0
3510.0,1329.3,0.0,0.0
3540.0,1358.3,0.0,0.0
3570.0,1386.4,0.0,0.0
3600.0,1415.0,0.0,0.0
