times, live_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0
30.0,37.4,0.0,0.0
60.0,38.5,0.0,0.0
90.0,39.1,0.0,0.0
120.0,40.5,0.0,0.0
150.0,41.1,0.0,0.0
180.0,41.7,0.0,0.0
210.0,42.2,0.0,0.0
240.0,42.7,0.0,0.0
270.0,43.0,0.0,0.0
300.0,44.1,0.0,0.0
330.0,44.9,0.0,0.0
360.0,45.5,0.0,0.0
390.0,46.6,0.0,0.0
420.0,47.7,0.0,0.0
450.0,48.9,0.0,0.0
480.0,50.4,0.0,0.0
510.0,51.6,0.0,0.0
540.0,52.6,0.0,0.0
570.0,54.5,0.0,0.0
600.0,55.7,0.0,0.0
630.0,57.3,0.0,0.0
660.0,57.8,0.0,0.0
690.0,59.4,0.0,0.0
720.0,60.8,0.0,0.0
750.0,62.9,0.0,0.0
780.0,63.9,0.0,0.0
810.0,65.3,0.0,0.0
840.0,66.5,0.0,0.0
870.0,67.2,0.0,0.0
900.0,69.4,0.0,0.0
930.0,71.0,0.0,0.0
960.0,72.1,0.0,0.0
990.0,74.0,0.0,0.0
1020.0,75.8,0.0,0.0
1050.0,78.0,0.0,0.0
1080.0,79.7,0.0,0.0
1110.0,81.6,0.0,0.0
1140.0,83.6,0.0,0.0
1170.0,85.2,0.0,0.0
1200.0,86.1,0.0,0.0
1230.0,88.0,0.0,0.0
1260.0,89.9,0.0,0.0
1290.0,92.2,0.0,0.0
1320.0,94.0,0.0,0.0
1350.0,95.7,0.0,0.0
1380.0,97.6,0.0,0.0
1410.0,99.4,0.0,0.0
1440.0,101.2,0.0,0.0
1470.0,103.5,0.0,0.0
1500.0,106.7,0.0,0.0
1530.0,108.9,0.0,0.0
1560.0,111.6,0.0,0.0
1590.0,114.3,0.0,0.0
1620.0,116.6,0.0,0.0
1650.0,119.2,0.0,0.0
1680.0,122.2,0.0,0.0
1710.0,124.2,0.0,0.0
1740.0,126.8,0.0,0.0
1770.0,129.3,0.0,0.0
1800.0,131.1,0.0,0.0
1830.0,134.7,0.0,0.0
1860.0,137.5,0.0,0.0
1890.0,140.4,0.0,0.0
1920.0,142.9,0.0,0.0
1950.0,146.8,0.0,0.0
1980.0,150.3,0.0,0.0
2010.0,153.2,0.0,0.0
2040.0,157.6,0.0,0.0
2070.0,162.0,0.0,0.0
2100.0,165.0,0.0,0.0
2130.0,168.5,0.0,0.0
2160.0,172.5,0.0,0.0
2190.0,176.1,0.0,0.0
2220.0,180.3,0.0,0.0
2250.0,184.5,0.0,0.0
2280.0,188.0,0.0,0.0
2310.0,191.2,0.0,0.0
2340.0,194.8,0.0,0.0
2370.0,199.5,0.0,0.0
2400.0,203.3,0.0,0.0
2430.0,208.3,0.0,0.0
2460.0,211.8,0.0,0.0
2490.0,215.4,0.0,0.0
2520.0,219.8,0.0,0.0
2550.0,224.3,0.0,0.0
2580.0,228.8,0.0,0.0
2610.0,233.5,0.0,0.0
2640.0,238.5,0.0,0.0
2670.0,244.7,0.0,0.0
2700.0,249.6,0.0,0.0
2730.0,255.1,0.0,0.0
2760.0,260.1,0.0,0.0
2790.0,267.3,0.0,0.0
2820.0,273.6,0.0,0.0
2850.0,278.9,0.0,0.0
2880.0,284.7,0.0,0.0
2910.0,290.3,0.0,0.0
2940.0,296.0,0.0,0.0
2970.0,303.2,0.0,0.0
3000.0,310.7,0.0,0.0
3030.0,318.1,0.0,0.0
3060.0,325.1,0.0,0.0
3090.0,332.4,0.0,0.0
3120.0,340.7,0.0,0.0
3150.0,348.9,0.0,0.0
3180.0,356.4,0.0,0.0
3210.0,364.7,0.0,0.0
3240.0,373.6,0.0,0.0
3270.0,383.1,0.0,0.0
3300.0,392.2,0.0,0.0
3330.0,400.2,0.0,0.0
3360.0,409.3,0.0,0.0
3390.0,418.0,0.0,0.0
3420.0,427.9,0.0,0.0
3450.0,437.7,0.0,0.0
3480.0,446.2,0.0,0.0
3510.0,455.9,0.0,0.0
3540.0,464.3,0.0,0.0
3570.0,474.0,0.0,0.0
3600.0,484.6,0.0,0.0
