times, live_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0
30.0,102.1,0.3,0.0
60.0,105.7,0.4,0.0
90.0,107.0,0.5,0.0
120.0,109.4,0.6,0.0
150.0,111.1,0.7,0.0
180.0,113.9,1.0,0.0
210.0,115.9,1.3,0.0
240.0,117.8,1.7,0.0
270.0,120.3,1.7,0.0
300.0,122.9,1.8,0.0
330.0,125.8,2.0,0.0
360.0,128.6,2.2,0.0
390.0,132.0,2.3,0.0
420.0,133.9,2.5,0.0
450.0,136.9,2.7,0.0
480.0,140.1,2.8,0.0
510.0,142.8,2.9,0.0
540.0,145.6,3.0,0.0
570.0,147.8,3.0,0.0
600.0,151.3,2.9,0.0
630.0,154.4,2.9,0.0
660.0,156.9,3.1,0.0
690.0,159.8,2.8,0.0
720.0,163.2,2.6,0.0
750.0,165.8,2.4,0.0
780.0,169.3,2.4,0.0
810.0,172.0,2.6,0.0
840.0,176.7,2.6,0.0
870.0,180.9,2.7,0.0
900.0,186.0,2.8,0.0
930.0,189.2,2.6,0.0
960.0,192.7,2.6,0.0
990.0,196.5,2.9,0.0
1020.0,199.7,3.1,0.0
1050.0,204.2,3.0,0.0
1080.0,208.6,3.2,0.0
1110.0,213.0,3.6,0.0
1140.0,217.4,3.9,0.0
1170.0,222.2,3.7,0.0
1200.0,226.3,3.9,0.0
1230.0,231.2,4.1,0.0
1260.0,236.8,4.1,0.0
1290.0,241.1,4.4,0.0
1320.0,246.4,4.3,0.0
1350.0,251.3,4.7,0.0
1380.0,258.5,5.0,0.0
1410.0,262.5,5.5,0.0
1440.0,268.0,6.0,0.0
1470.0,274.9,6.4,0.0
1500.0,280.5,6.6,0.0
1530.0,285.5,6.6,0.0
1560.0,291.1,7.0,0.0
1590.0,297.5,7.4,0.0
1620.0,305.0,7.3,0.0
1650.0,310.7,7.6,0.0
1680.0,317.9,8.0,0.0
1710.0,324.0,8.2,0.0
1740.0,330.7,8.5,0.0
1770.0,338.6,8.7,0.0
1800.0,344.3,9.2,0.0
1830.0,350.9,9.3,0.0
1860.0,359.0,9.2,0.0
1890.0,365.4,9.1,0.0
1920.0,373.6,9.1,0.0
1950.0,381.6,9.5,0.0
1980.0,389.3,9.3,0.0
2010.0,398.3,9.4,0.0
2040.0,406.0,10.0,0.0
2070.0,413.4,10.4,0.0
2100.0,421.2,10.4,0.0
2130.0,430.8,10.4,0.0
2160.0,436.7,11.0,0.0
2190.0,443.9,11.3,0.0
2220.0,453.9,11.3,0.0
2250.0,463.7,11.6,0.0
2280.0,472.2,11.4,0.0
2310.0,481.7,11.0,0.0
2340.0,492.7,11.3,0.0
2370.0,503.5,12.2,0.0
2400.0,513.3,12.9,0.0
2430.0,524.7,13.4,0.0
2460.0,536.5,13.4,0.0
2490.0,549.3,14.4,0.0
2520.0,560.3,14.5,0.0
2550.0,570.3,14.4,0.0
2580.0,581.5,14.3,0.0
2610.0,592.6,14.0,0.0
2640.0,605.3,14.7,0.0
2670.0,618.4,14.8,0.0
2700.0,631.5,15.6,0.0
2730.0,642.2,16.4,0.0
2760.0,656.2,16.3,0.0
2790.0,671.2,17.2,0.0
2820.0,684.1,18.6,0.0
2850.0,701.4,18.9,0.0
2880.0,715.4,18.8,0.0
2910.0,727.9,18.9,0.0
2940.0,741.2,18.5,0.0
2970.0,754.3,18.8,0.0
3000.0,771.4,18.7,0.0
3030.0,788.0,19.3,0.0
3060.0,803.7,20.4,0.0
3090.0,818.4,21.2,0.0
3120.0,833.4,22.0,0.0
3150.0,849.4,22.3,0.0
3180.0,865.7,22.9,0.0
3210.0,882.6,22.7,0.0
3240.0,900.3,23.0,0.0
3270.0,916.6,23.9,0.0
3300.0,934.5,24.2,0.0
3330.0,950.8,24.7,0.0
3360.0,970.8,25.4,0.0
3390.0,987.2,25.5,0.0
3420.0,1008.6,25.6,0.0
3450.0,1028.5,26.2,0.0
3480.0,1047.9,26.9,0.0
3510.0,1070.8,26.9,0.0
3540.0,1096.7,27.1,0.0
3570.0,1120.4,26.8,0.0
3600.0,1139.2,27.4,0.0
