times, live_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.07123152,0.45825757,0.00000000
60.00000000,3.19530906,0.66332496,0.00000000
90.00000000,2.44948974,0.67082039,0.00000000
120.00000000,2.41660919,0.66332496,0.00000000
150.00000000,1.37477271,0.64031242,0.00000000
180.00000000,2.42693222,0.63245553,0.00000000
210.00000000,2.16564078,0.90000000,0.00000000
240.00000000,2.60000000,0.90000000,0.00000000
270.00000000,3.10000000,0.90000000,0.00000000
300.00000000,3.41906420,0.87177979,0.00000000
330.00000000,4.51220567,0.89442719,0.00000000
360.00000000,4.22374242,0.87177979,0.00000000
390.00000000,4.75394573,1.00498756,0.00000000
420.00000000,6.42572953,1.28452326,0.00000000
450.00000000,6.42572953,1.26885775,0.00000000
480.00000000,7.35459040,1.24899960,0.00000000
510.00000000,6.77938050,1.37477271,0.00000000
540.00000000,6.28012739,1.41421356,0.00000000
570.00000000,6.67532771,1.18321596,0.00000000
600.00000000,7.73369252,1.22065556,0.00000000
630.00000000,9.06862724,1.37477271,0.00000000
660.00000000,9.10439454,1.44568323,0.00000000
690.00000000,10.00799680,1.32664992,0.00000000
720.00000000,9.40000000,1.01980390,0.00000000
750.00000000,11.00727032,1.35646600,0.00000000
780.00000000,10.70560601,1.35646600,0.00000000
810.00000000,10.21763182,1.11355287,0.00000000
840.00000000,11.23432241,0.91651514,0.00000000
870.00000000,11.13058848,1.26885775,0.00000000
900.00000000,11.93314711,1.32664992,0.00000000
930.00000000,12.31909088,1.28062485,0.00000000
960.00000000,11.93356611,1.01980390,0.00000000
990.00000000,13.04032208,0.83066239,0.00000000
1020.00000000,13.76263056,1.04403065,0.00000000
1050.00000000,14.03424383,1.26491106,0.00000000
1080.00000000,14.09397034,1.46969385,0.00000000
1110.00000000,14.81890684,1.20000000,0.00000000
1140.00000000,16.18147088,1.30000000,0.00000000
1170.00000000,16.41828249,1.10000000,0.00000000
1200.00000000,16.13722405,0.94339811,0.00000000
1230.00000000,16.29601178,0.94339811,0.00000000
1260.00000000,16.98116604,1.22065556,0.00000000
1290.00000000,17.16071094,1.01980390,0.00000000
1320.00000000,17.70423678,1.00498756,0.00000000
1350.00000000,18.57982777,1.61554944,0.00000000
1380.00000000,19.25227259,1.89736660,0.00000000
1410.00000000,20.35313244,2.41867732,0.00000000
