times, live_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,4.71699057,0.50000000,0.00000000
60.00000000,5.70964097,1.35646600,0.00000000
90.00000000,5.00499750,1.73493516,0.00000000
120.00000000,6.90579467,2.49198716,0.00000000
150.00000000,7.37292344,3.06757233,0.00000000
180.00000000,10.04241007,2.49198716,0.00000000
210.00000000,11.18436409,2.79463772,0.00000000
240.00000000,10.07769815,3.13209195,0.00000000
270.00000000,12.99076595,4.29418211,0.00000000
300.00000000,13.11525829,4.40908154,0.00000000
330.00000000,13.21400772,4.57055795,0.00000000
360.00000000,10.84850220,4.58693798,0.00000000
390.00000000,12.97073629,5.31883446,0.00000000
420.00000000,15.13571934,4.32319326,0.00000000
450.00000000,14.42255179,4.85386444,0.00000000
480.00000000,14.65059726,5.27257053,0.00000000
510.00000000,11.95658814,5.42678542,0.00000000
540.00000000,12.09297317,5.02095608,0.00000000
570.00000000,9.81019877,4.55631430,0.00000000
600.00000000,9.93025679,4.40000000,0.00000000
630.00000000,10.53565375,4.47325385,0.00000000
660.00000000,11.61938036,4.69467784,0.00000000
690.00000000,11.62067124,4.53872229,0.00000000
720.00000000,9.87370245,5.97996656,0.00000000
750.00000000,9.16296895,6.40000000,0.00000000
780.00000000,12.52557384,7.26704892,0.00000000
810.00000000,14.12267680,7.58221603,0.00000000
840.00000000,16.91035186,7.69155381,0.00000000
870.00000000,13.81882774,6.84397545,0.00000000
900.00000000,20.69420209,6.66033032,0.00000000
930.00000000,20.89617190,6.63701740,0.00000000
960.00000000,20.94850830,5.62227712,0.00000000
990.00000000,22.49911109,5.78705452,0.00000000
1020.00000000,23.72677812,6.10000000,0.00000000
1050.00000000,25.26341228,6.46606526,0.00000000
1080.00000000,27.52253622,7.16170371,0.00000000
1110.00000000,27.12360595,7.51265599,0.00000000
1140.00000000,30.67979791,6.62117814,0.00000000
1170.00000000,33.28903723,6.69402719,0.00000000
1200.00000000,31.57673194,6.39452891,0.00000000
1230.00000000,28.78211250,5.50999093,0.00000000
1260.00000000,23.74531533,5.29244745,0.00000000
1290.00000000,23.26886332,4.92848861,0.00000000
1320.00000000,22.25398841,3.44818793,0.00000000
1350.00000000,26.13139874,3.52703842,0.00000000
1380.00000000,26.82163306,4.37721373,0.00000000
1410.00000000,30.46128691,4.04474968,0.00000000
1440.00000000,33.13925165,3.28785644,0.00000000
1470.00000000,35.17044214,3.23882695,0.00000000
1500.00000000,34.47332302,3.46987031,0.00000000
1530.00000000,39.62183741,3.94968353,0.00000000
1560.00000000,44.21085839,3.28633535,0.00000000
1590.00000000,46.54073485,3.61109402,0.00000000
1620.00000000,49.01591578,5.53534100,0.00000000
1650.00000000,51.59612389,6.10000000,0.00000000
1680.00000000,51.66236541,6.52993109,0.00000000
1710.00000000,55.12540249,4.69148164,0.00000000
1740.00000000,55.36253246,5.83095189,0.00000000
1770.00000000,56.30106571,5.64358042,0.00000000
1800.00000000,58.82346471,6.56429737,0.00000000
1830.00000000,63.87018084,4.98497743,0.00000000
1860.00000000,66.40963785,5.99082632,0.00000000
1890.00000000,70.19437299,5.99666574,0.00000000
1920.00000000,69.88447610,5.62227712,0.00000000
1950.00000000,70.15554148,4.54312668,0.00000000
1980.00000000,76.97070871,5.04380809,0.00000000
2010.00000000,81.73524332,6.05392435,0.00000000
2040.00000000,83.49017906,5.60713831,0.00000000
2070.00000000,90.23635631,6.40000000,0.00000000
2100.00000000,97.04684436,8.91122887,0.00000000
2130.00000000,98.50791846,9.38083152,0.00000000
2160.00000000,104.89537645,8.91066776,0.00000000
2190.00000000,109.45177020,9.00055554,0.00000000
2220.00000000,106.22471464,8.40000000,0.00000000
2250.00000000,107.20652965,9.14111591,0.00000000
2280.00000000,111.07245383,9.95439601,0.00000000
2310.00000000,113.03556962,10.90000000,0.00000000
2340.00000000,108.48967693,11.43721994,0.00000000
2370.00000000,110.53307197,11.98707637,0.00000000
2400.00000000,109.75317763,11.47867588,0.00000000
2430.00000000,108.75863184,11.27874106,0.00000000
2460.00000000,111.00815285,11.04943437,0.00000000
2490.00000000,117.69604921,10.17840852,0.00000000
2520.00000000,122.86838487,11.09233970,0.00000000
2550.00000000,123.11819524,10.73359213,0.00000000
2580.00000000,127.59294651,11.90126044,0.00000000
2610.00000000,130.36291651,11.38244262,0.00000000
2640.00000000,135.19278827,10.24743870,0.00000000
2670.00000000,127.99644526,10.62826420,0.00000000
2700.00000000,128.32571839,11.64688800,0.00000000
2730.00000000,132.10314152,11.61034022,0.00000000
2760.00000000,135.10769778,11.24988889,0.00000000
2790.00000000,139.80704560,8.98665678,0.00000000
2820.00000000,141.91832158,10.00199980,0.00000000
2850.00000000,144.75707237,11.38595626,0.00000000
2880.00000000,145.24327867,10.33247308,0.00000000
2910.00000000,148.79381708,9.52942810,0.00000000
2940.00000000,150.38231279,8.34505842,0.00000000
2970.00000000,152.42112714,8.55628424,0.00000000
3000.00000000,156.29344196,10.02796091,0.00000000
3030.00000000,160.31107261,8.97997773,0.00000000
3060.00000000,158.75720456,8.87918915,0.00000000
3090.00000000,166.22602083,7.78524245,0.00000000
3120.00000000,172.80303817,10.76289924,0.00000000
3150.00000000,176.82149191,10.85541340,0.00000000
3180.00000000,186.32028875,11.63658025,0.00000000
3210.00000000,198.84405950,8.46699474,0.00000000
3240.00000000,204.02659140,9.57548954,0.00000000
3270.00000000,214.57495194,9.03825204,0.00000000
3300.00000000,215.21012987,11.09053651,0.00000000
3330.00000000,221.56263223,11.66361865,0.00000000
3360.00000000,229.45544230,13.12859475,0.00000000
3390.00000000,239.66895919,11.72006826,0.00000000
3420.00000000,240.94347885,12.29674754,0.00000000
3450.00000000,248.49468807,10.23914059,0.00000000
3480.00000000,248.31842461,11.57583690,0.00000000
3510.00000000,246.93229841,14.34189667,0.00000000
3540.00000000,251.34480301,11.07655181,0.00000000
3570.00000000,261.15866825,13.23215780,0.00000000
