times, live_mean, apoptotic_mean, necrotic_mean
0.0,1000.0,0.0,0.0
30.0,1018.5,1.5,0.0
60.0,1038.0,3.4,0.0
90.0,1056.5,4.7,0.0
120.0,1077.1,6.7,0.0
150.0,1098.2,8.3,0.0
180.0,1120.5,9.7,0.0
210.0,1145.1,11.7,0.0
240.0,1165.8,13.7,0.0
270.0,1189.2,15.6,0.0
300.0,1213.3,17.4,0.0
330.0,1237.7,19.9,0.0
360.0,1262.1,21.6,0.0
390.0,1290.4,24.9,0.0
420.0,1314.9,27.1,0.0
450.0,1339.7,29.2,0.0
480.0,1367.4,31.0,0.0
510.0,1396.8,33.5,0.0
540.0,1424.4,34.3,0.0
570.0,1454.6,34.2,0.0
600.0,1482.7,35.2,0.0
630.0,1508.0,36.3,0.0
660.0,1538.3,36.6,0.0
690.0,1569.6,38.0,0.0
720.0,1599.9,38.8,0.0
750.0,1632.2,39.2,0.0
780.0,1663.9,39.3,0.0
810.0,1696.5,39.9,0.0
840.0,1731.8,40.2,0.0
870.0,1767.2,40.6,0.0
900.0,1802.5,40.8,0.0
930.0,1838.5,41.5,0.0
960.0,1879.6,42.3,0.0
990.0,1916.3,43.9,0.0
1020.0,1954.8,43.7,0.0
1050.0,1994.4,44.7,0.0
1080.0,2033.1,45.9,0.0
1110.0,2072.9,47.4,0.0
1140.0,2111.5,47.6,0.0
1170.0,2158.8,48.3,0.0
1200.0,2203.9,49.1,0.0
1230.0,2245.7,50.2,0.0
1260.0,2293.4,50.7,0.0
1290.0,2337.6,52.9,0.0
1320.0,2385.4,54.9,0.0
1350.0,2432.5,56.6,0.0
1380.0,2479.0,58.2,0.0
1410.0,2525.1,59.2,0.0
1440.0,2579.7,60.3,0.0
1470.0,2633.2,61.9,0.0
1500.0,2684.3,62.4,0.0
1530.0,2740.1,65.0,0.0
1560.0,2795.0,67.0,0.0
1590.0,2850.6,68.4,0.0
1620.0,2906.2,69.4,0.0
1650.0,2968.2,70.7,0.0
1680.0,3028.0,73.6,0.0
1710.0,3094.7,75.7,0.0
1740.0,3156.3,76.0,0.0
1770.0,3220.3,77.5,0.0
1800.0,3285.0,78.1,0.0
1830.0,3348.0,80.5,0.0
1860.0,3421.4,80.9,0.0
1890.0,3489.5,82.8,0.0
1920.0,3559.4,84.7,0.0
1950.0,3631.0,85.4,0.0
1980.0,3707.1,88.4,0.0
2010.0,3776.5,89.5,0.0
2040.0,3854.3,90.6,0.0
2070.0,3933.0,92.2,0.0
2100.0,4009.9,93.3,0.0
2130.0,4090.7,94.0,0.0
2160.0,4173.6,97.0,0.0
2190.0,4256.1,98.7,0.0
2220.0,4342.9,99.2,0.0
2250.0,4427.6,102.8,0.0
2280.0,4515.9,106.9,0.0
2310.0,4609.4,109.7,0.0
2340.0,4695.7,110.3,0.0
2370.0,4795.8,112.9,0.0
2400.0,4887.8,113.2,0.0
2430.0,4984.6,114.7,0.0
2460.0,5085.3,116.9,0.0
2490.0,5185.8,117.0,0.0
2520.0,5285.6,120.6,0.0
2550.0,5392.9,125.3,0.0
2580.0,5498.8,128.4,0.0
2610.0,5607.9,130.2,0.0
2640.0,5716.1,133.3,0.0
2670.0,5832.1,135.2,0.0
2700.0,5946.9,137.5,0.0
2730.0,6065.6,141.0,0.0
2760.0,6185.1,145.2,0.0
2790.0,6307.7,145.8,0.0
2820.0,6434.3,148.4,0.0
2850.0,6559.7,152.4,0.0
2880.0,6685.7,158.2,0.0
2910.0,6826.0,160.7,0.0
2940.0,6963.6,163.4,0.0
2970.0,7107.0,166.3,0.0
3000.0,7240.4,173.2,0.0
3030.0,7384.6,176.4,0.0
3060.0,7532.5,178.4,0.0
3090.0,7676.1,180.7,0.0
3120.0,7831.9,185.6,0.0
3150.0,7980.6,190.4,0.0
3180.0,8141.5,193.7,0.0
3210.0,8314.2,196.9,0.0
3240.0,8488.5,201.9,0.0
3270.0,8666.7,203.9,0.0
3300.0,8843.0,210.0,0.0
3330.0,9016.0,214.4,0.0
3360.0,9200.0,217.2,0.0
3390.0,9377.7,217.2,0.0
3420.0,9565.2,223.3,0.0
3450.0,9749.7,230.6,0.0
3480.0,9943.6,233.0,0.0
3510.0,10136.8,238.1,0.0
3540.0,10334.3,243.1,0.0
3570.0,10539.5,248.1,0.0
3600.0,10750.4,255.4,0.0
