times, live_mean, apoptotic_mean, necrotic_mean
0.0,200.0,0.0,0.0
30.0,202.9,0.0,0.0
60.0,207.0,0.0,0.0
90.0,211.6,0.0,0.0
120.0,216.4,0.0,0.0
150.0,220.9,0.0,0.0
180.0,225.5,0.0,0.0
210.0,229.8,0.0,0.0
240.0,235.5,0.0,0.0
270.0,240.3,0.0,0.0
300.0,245.2,0.0,0.0
330.0,249.6,0.0,0.0
360.0,255.2,0.0,0.0
390.0,261.2,0.0,0.0
420.0,267.0,0.0,0.0
450.0,272.9,0.0,0.0
480.0,279.1,0.0,0.0
510.0,285.9,0.0,0.0
540.0,291.2,0.0,0.0
570.0,297.0,0.0,0.0
600.0,303.4,0.0,0.0
630.0,310.3,0.0,0.0
660.0,317.2,0.0,0.0
690.0,325.1,0.0,0.0
720.0,332.2,0.0,0.0
750.0,339.2,0.0,0.0
780.0,347.1,0.0,0.0
810.0,354.2,0.0,0.0
840.0,362.5,0.0,0.0
870.0,370.6,0.0,0.0
900.0,380.4,0.0,0.0
930.0,388.2,0.0,0.0
960.0,396.4,0.0,0.0
990.0,404.3,0.0,0.0
1020.0,415.1,0.0,0.0
1050.0,426.1,0.0,0.0
1080.0,435.0,0.0,0.0
1110.0,446.0,0.0,0.0
1140.0,454.7,0.0,0.0
1170.0,463.2,0.0,0.0
1200.0,472.6,0.0,0.0
1230.0,483.9,0.0,0.0
1260.0,492.7,0.0,0.0
1290.0,502.7,0.0,0.0
1320.0,512.7,0.0,0.0
1350.0,525.5,0.0,0.0
1380.0,538.0,0.0,0.0
1410.0,548.4,0.0,0.0
1440.0,559.8,0.0,0.0
1470.0,571.9,0.0,0.0
1500.0,585.0,0.0,0.0
1530.0,599.2,0.0,0.0
1560.0,609.5,0.0,0.0
1590.0,623.5,0.0,0.0
1620.0,637.0,0.0,0.0
1650.0,652.1,0.0,0.0
1680.0,664.8,0.0,0.0
1710.0,679.6,0.0,0.0
1740.0,694.7,0.0,0.0
1770.0,706.4,0.0,0.0
1800.0,721.6,0.0,0.0
1830.0,737.6,0.0,0.0
1860.0,752.4,0.0,0.0
1890.0,769.4,0.0,0.0
1920.0,782.6,0.0,0.0
1950.0,799.2,0.0,0.0
1980.0,817.0,0.0,0.0
2010.0,834.2,0.0,0.0
2040.0,850.6,0.0,0.0
2070.0,873.4,0.0,0.0
2100.0,892.5,0.0,0.0
2130.0,908.6,0.0,0.0
2160.0,929.6,0.0,0.0
2190.0,948.8,0.0,0.0
2220.0,971.0,0.0,0.0
2250.0,993.0,0.0,0.0
2280.0,1010.7,0.0,0.0
2310.0,1031.2,0.0,0.0
2340.0,1052.7,0.0,0.0
2370.0,1076.1,0.0,0.0
2400.0,1098.0,0.0,0.0
2430.0,1122.0,0.0,0.0
2460.0,1145.7,0.0,0.0
2490.0,1171.8,0.0,0.0
2520.0,1195.5,0.0,0.0
2550.0,1221.3,0.0,0.0
2580.0,1245.5,0.0,0.0
2610.0,1271.4,0.0,0.0
2640.0,1297.9,0.0,0.0
2670.0,1324.4,0.0,0.0
2700.0,1351.2,0.0,0.0
2730.0,1380.9,0.0,0.0
2760.0,1410.5,0.0,0.0
2790.0,1439.5,0.0,0.0
2820.0,1471.6,0.0,0.0
2850.0,1505.2,0.0,0.0
2880.0,1540.3,0.0,0.0
2910.0,1572.7,0.0,0.0
2940.0,1611.8,0.0,0.0
2970.0,1646.7,0.0,0.0
3000.0,1682.0,0.0,0.0
3030.0,1716.6,0.0,0.0
3060.0,1753.9,0.0,0.0
3090.0,1794.0,0.0,0.0
3120.0,1830.8,0.0,0.0
3150.0,1870.1,0.0,0.0
3180.0,1911.6,0.0,0.0
3210.0,1954.0,0.0,0.0
3240.0,2000.3,0.0,0.0
3270.0,2046.4,0.0,0.0
3300.0,2095.3,0.0,0.0
3330.0,2144.2,0.0,0.0
3360.0,2191.3,0.0,0.0
3390.0,2239.5,0.0,0.0
3420.0,2286.5,0.0,0.0
3450.0,2335.6,0.0,0.0
3480.0,2389.4,0.0,0.0
3510.0,2439.8,0.0,0.0
3540.0,2494.1,0.0,0.0
3570.0,2549.8,0.0,0.0
3600.0,2604.5,0.0,0.0
