times, live_error
0.00000000,0.00000000
30.00000000,0.00080495
60.00000000,0.00205546
90.00000000,0.00324995
120.00000000,0.00426216
150.00000000,0.00561959
180.00000000,0.00737915
210.00000000,0.01039448
240.00000000,0.01223323
270.00000000,0.01477478
300.00000000,0.01816246
330.00000000,0.02423265
360.00000000,0.03011292
390.00000000,0.03502019
420.00000000,0.03987577
450.00000000,0.04475046
480.00000000,0.04919207
510.00000000,0.05215246
540.00000000,0.05760050
570.00000000,0.06503057
600.00000000,0.07307543
630.00000000,0.08052166
660.00000000,0.08787144
690.00000000,0.09259373
720.00000000,0.09751570
750.00000000,0.10337730
780.00000000,0.10808928
810.00000000,0.11438966
840.00000000,0.11930576
870.00000000,0.12393387
900.00000000,0.12526029
930.00000000,0.12746635
960.00000000,0.13030741
990.00000000,0.13507439
1020.00000000,0.13612019
1050.00000000,0.13614022
1080.00000000,0.13615045
1110.00000000,0.13681828
1140.00000000,0.13685868
1170.00000000,0.13730399
1200.00000000,0.13855239
1230.00000000,0.13884383
1260.00000000,0.14150350
1290.00000000,0.14603525
1320.00000000,0.15371484
1350.00000000,0.15712827
1380.00000000,0.15871172
1410.00000000,0.16315781
1440.00000000,0.16942920
1470.00000000,0.17635921
1500.00000000,0.18170980
1530.00000000,0.18392568
1560.00000000,0.19431150
1590.00000000,0.20253549
1620.00000000,0.21152418
1650.00000000,0.21696441
1680.00000000,0.22800574
1710.00000000,0.23836955
1740.00000000,0.24815137
1770.00000000,0.27641718
1800.00000000,0.30741426
1830.00000000,0.33807674
1860.00000000,0.37974112
1890.00000000,0.41872241
1920.00000000,0.49234673
1950.00000000,0.57450047
1980.00000000,0.65631559
2010.00000000,0.74907373
2040.00000000,0.86895994
2070.00000000,0.94288996
2100.00000000,1.01971683
2130.00000000,1.14130867
2160.00000000,1.25269851
2190.00000000,1.38387720
2220.00000000,1.50035640
2250.00000000,1.61137138
2280.00000000,1.78561865
2310.00000000,1.99427998
2340.00000000,2.23079302
2370.00000000,2.46973079
2400.00000000,2.75091846
2430.00000000,3.04386313
2460.00000000,3.36694358
2490.00000000,3.68022483
2520.00000000,4.05027428
2550.00000000,4.44384041
2580.00000000,4.91809693
2610.00000000,5.44900985
2640.00000000,6.04008678
2670.00000000,6.71423620
2700.00000000,7.48836734
2730.00000000,8.28958381
2760.00000000,9.14554806
2790.00000000,10.10601625
2820.00000000,11.08282744
2850.00000000,12.04587973
2880.00000000,12.96628750
2910.00000000,13.97432763
2940.00000000,14.84600089
2970.00000000,15.76669540
3000.00000000,16.75272601
3030.00000000,17.86711407
3060.00000000,19.03790361
3090.00000000,20.18399746
3120.00000000,21.48279060
3150.00000000,22.86907223
3180.00000000,24.28520082
3210.00000000,25.73243222
3240.00000000,27.07506962
3270.00000000,28.36761344
3300.00000000,29.53377203
3330.00000000,30.62014253
3360.00000000,31.74240908
3390.00000000,32.89896591
3420.00000000,34.18818066
3450.00000000,35.57106633
3480.00000000,36.88702212
3510.00000000,38.34205341
3540.00000000,39.81207477
3570.00000000,41.28738321
3600.00000000,42.87431807
