times, live_error
0.00000000,0.00000000
30.00000000,0.00008734
60.00000000,0.00008955
90.00000000,0.00030164
120.00000000,0.00118871
150.00000000,0.00148314
180.00000000,0.00149660
210.00000000,0.00188484
240.00000000,0.00255984
270.00000000,0.00294720
300.00000000,0.00372139
330.00000000,0.00382003
360.00000000,0.00386260
390.00000000,0.00387958
420.00000000,0.00399518
450.00000000,0.00399949
480.00000000,0.00410611
510.00000000,0.00650482
540.00000000,0.01060187
570.00000000,0.01474860
600.00000000,0.01725985
630.00000000,0.01957664
660.00000000,0.02202014
690.00000000,0.02274820
720.00000000,0.02466279
750.00000000,0.02817044
780.00000000,0.03571548
810.00000000,0.05063296
840.00000000,0.06613885
870.00000000,0.08077671
900.00000000,0.09320877
930.00000000,0.10947165
960.00000000,0.12270530
990.00000000,0.14147375
1020.00000000,0.15847170
1050.00000000,0.17939110
1080.00000000,0.20136671
1110.00000000,0.21883284
1140.00000000,0.23295835
1170.00000000,0.24778807
1200.00000000,0.26180700
1230.00000000,0.27901602
1260.00000000,0.30610317
1290.00000000,0.33943053
1320.00000000,0.38830149
1350.00000000,0.42442922
1380.00000000,0.45997085
1410.00000000,0.50297695
1440.00000000,0.55523070
1470.00000000,0.60390152
1500.00000000,0.64817033
1530.00000000,0.69674723
1560.00000000,0.74087538
1590.00000000,0.79960580
1620.00000000,0.84919387
1650.00000000,0.89123192
1680.00000000,0.92880318
1710.00000000,0.98148722
1740.00000000,1.02688631
1770.00000000,1.07371238
1800.00000000,1.11510046
1830.00000000,1.16117505
1860.00000000,1.19783278
1890.00000000,1.24592960
1920.00000000,1.29114220
1950.00000000,1.33229545
1980.00000000,1.37742260
2010.00000000,1.42528349
2040.00000000,1.47448384
2070.00000000,1.53183414
2100.00000000,1.61838767
2130.00000000,1.69561784
2160.00000000,1.77179846
2190.00000000,1.85241877
2220.00000000,1.91373036
2250.00000000,1.97520781
2280.00000000,2.05893540
2310.00000000,2.11288241
2340.00000000,2.16980025
2370.00000000,2.20809955
2400.00000000,2.25096972
2430.00000000,2.31806579
2460.00000000,2.38647147
2490.00000000,2.46599414
2520.00000000,2.54427655
2550.00000000,2.63688575
2580.00000000,2.73050888
2610.00000000,2.81941255
2640.00000000,2.90600917
2670.00000000,2.98992703
2700.00000000,3.07860678
2730.00000000,3.16356474
2760.00000000,3.28405419
2790.00000000,3.39567561
2820.00000000,3.50084255
2850.00000000,3.64912632
2880.00000000,3.79453168
2910.00000000,3.96049909
2940.00000000,4.14682452
2970.00000000,4.33689759
3000.00000000,4.54914816
3030.00000000,4.71456438
3060.00000000,4.86732281
3090.00000000,5.03414987
3120.00000000,5.16401606
3150.00000000,5.29286530
3180.00000000,5.42177886
3210.00000000,5.54849698
3240.00000000,5.64402684
3270.00000000,5.73625018
3300.00000000,5.81527571
3330.00000000,5.87345128
3360.00000000,5.93657357
3390.00000000,5.99589884
3420.00000000,6.07998798
3450.00000000,6.14064885
3480.00000000,6.16539399
3510.00000000,6.18621860
3540.00000000,6.19208573
3570.00000000,6.19999910
3600.00000000,6.20304353
