times, live_error
0.00000000,0.00000000
30.00000000,0.00007059
60.00000000,0.00007664
90.00000000,0.00007939
120.00000000,0.00041308
150.00000000,0.00059854
180.00000000,0.00110897
210.00000000,0.00199412
240.00000000,0.00383287
270.00000000,0.00699356
300.00000000,0.00934840
330.00000000,0.01046372
360.00000000,0.01096956
390.00000000,0.01122109
420.00000000,0.01303465
450.00000000,0.01520563
480.00000000,0.01762889
510.00000000,0.01809144
540.00000000,0.01906684
570.00000000,0.02255986
600.00000000,0.02426616
630.00000000,0.02506301
660.00000000,0.02645767
690.00000000,0.02747820
720.00000000,0.03025948
750.00000000,0.03290149
780.00000000,0.03514390
810.00000000,0.04027522
840.00000000,0.04633687
870.00000000,0.05207826
900.00000000,0.05540867
930.00000000,0.06178807
960.00000000,0.07551707
990.00000000,0.08754839
1020.00000000,0.10181271
1050.00000000,0.11143695
1080.00000000,0.12661430
1110.00000000,0.14805050
1140.00000000,0.16522715
1170.00000000,0.18624348
1200.00000000,0.21220818
1230.00000000,0.23607450
1260.00000000,0.25808032
1290.00000000,0.28375045
1320.00000000,0.31035699
1350.00000000,0.34573805
1380.00000000,0.37645859
1410.00000000,0.41425676
1440.00000000,0.45627977
1470.00000000,0.49602920
1500.00000000,0.53040339
1530.00000000,0.56096252
1560.00000000,0.59891406
1590.00000000,0.64248960
1620.00000000,0.68145106
1650.00000000,0.70795093
1680.00000000,0.74055269
1710.00000000,0.77337001
1740.00000000,0.80445888
1770.00000000,0.83607227
1800.00000000,0.87202342
1830.00000000,0.90336746
1860.00000000,0.92642949
1890.00000000,0.94226163
1920.00000000,0.97074161
1950.00000000,1.01614399
1980.00000000,1.04979992
2010.00000000,1.09460051
2040.00000000,1.13426245
2070.00000000,1.20714373
2100.00000000,1.28942881
2130.00000000,1.39789752
2160.00000000,1.50799921
2190.00000000,1.64484572
2220.00000000,1.76666921
2250.00000000,1.89647460
2280.00000000,2.03844176
2310.00000000,2.19742871
2340.00000000,2.41010228
2370.00000000,2.68431201
2400.00000000,2.99067038
2430.00000000,3.34061936
2460.00000000,3.67256056
2490.00000000,4.02605396
2520.00000000,4.44469600
2550.00000000,4.85544434
2580.00000000,5.29825163
2610.00000000,5.89901316
2640.00000000,6.49009009
2670.00000000,7.10824495
2700.00000000,7.75213879
2730.00000000,8.44631627
2760.00000000,9.16502362
2790.00000000,9.92817619
2820.00000000,10.80805088
2850.00000000,11.74844594
2880.00000000,12.78757589
2910.00000000,13.99079345
2940.00000000,15.15041313
2970.00000000,16.43134296
3000.00000000,17.64011015
3030.00000000,18.74634067
3060.00000000,19.95087707
3090.00000000,21.27317107
3120.00000000,22.72628257
3150.00000000,24.10346403
3180.00000000,25.78929670
3210.00000000,27.56018643
3240.00000000,29.34200190
3270.00000000,31.12239845
3300.00000000,32.85428317
3330.00000000,34.51346114
3360.00000000,36.19678299
3390.00000000,37.74867934
3420.00000000,39.47903827
3450.00000000,41.22439363
3480.00000000,43.11116148
3510.00000000,45.16931819
3540.00000000,47.23972232
3570.00000000,49.31082566
3600.00000000,51.20382173
