times, live_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0
30.0,102.9,0.0,0.0
60.0,106.3,0.0,0.0
90.0,107.9,0.0,0.0
120.0,111.1,0.0,0.0
150.0,112.5,0.0,0.0
180.0,115.6,0.0,0.0
210.0,117.6,0.0,0.0
240.0,120.8,0.0,0.0
270.0,123.6,0.0,0.0
300.0,126.7,0.0,0.0
330.0,129.4,0.0,0.0
360.0,131.3,0.0,0.0
390.0,134.3,0.0,0.0
420.0,137.2,0.0,0.0
450.0,139.9,0.0,0.0
480.0,142.8,0.0,0.0
510.0,146.5,0.0,0.0
540.0,149.3,0.0,0.0
570.0,152.0,0.0,0.0
600.0,155.5,0.0,0.0
630.0,158.5,0.0,0.0
660.0,162.0,0.0,0.0
690.0,164.7,0.0,0.0
720.0,167.5,0.0,0.0
750.0,170.4,0.0,0.0
780.0,174.7,0.0,0.0
810.0,179.3,0.0,0.0
840.0,183.5,0.0,0.0
870.0,186.9,0.0,0.0
900.0,191.5,0.0,0.0
930.0,195.7,0.0,0.0
960.0,199.2,0.0,0.0
990.0,203.2,0.0,0.0
1020.0,206.3,0.0,0.0
1050.0,210.7,0.0,0.0
1080.0,216.2,0.0,0.0
1110.0,220.8,0.0,0.0
1140.0,224.5,0.0,0.0
1170.0,229.7,0.0,0.0
1200.0,233.9,0.0,0.0
1230.0,238.5,0.0,0.0
1260.0,243.6,0.0,0.0
1290.0,249.5,0.0,0.0
1320.0,254.6,0.0,0.0
1350.0,261.4,0.0,0.0
1380.0,268.0,0.0,0.0
1410.0,274.0,0.0,0.0
1440.0,279.5,0.0,0.0
1470.0,286.3,0.0,0.0
1500.0,292.4,0.0,0.0
1530.0,298.1,0.0,0.0
1560.0,303.9,0.0,0.0
1590.0,309.2,0.0,0.0
1620.0,314.7,0.0,0.0
1650.0,321.5,0.0,0.0
1680.0,329.9,0.0,0.0
1710.0,336.5,0.0,0.0
1740.0,342.8,0.0,0.0
1770.0,350.8,0.0,0.0
1800.0,359.8,0.0,0.0
1830.0,367.9,0.0,0.0
1860.0,375.2,0.0,0.0
1890.0,382.7,0.0,0.0
1920.0,388.5,0.0,0.0
1950.0,397.1,0.0,0.0
1980.0,406.0,0.0,0.0
2010.0,412.9,0.0,0.0
2040.0,421.3,0.0,0.0
2070.0,429.9,0.0,0.0
2100.0,440.7,0.0,0.0
2130.0,449.4,0.0,0.0
2160.0,458.1,0.0,0.0
2190.0,467.4,0.0,0.0
2220.0,478.4,0.0,0.0
2250.0,488.9,0.0,0.0
2280.0,497.4,0.0,0.0
2310.0,507.7,0.0,0.0
2340.0,519.9,0.0,0.0
2370.0,530.2,0.0,0.0
2400.0,538.7,0.0,0.0
2430.0,551.3,0.0,0.0
2460.0,563.8,0.0,0.0
2490.0,575.6,0.0,0.0
2520.0,589.7,0.0,0.0
2550.0,602.9,0.0,0.0
2580.0,615.9,0.0,0.0
2610.0,628.6,0.0,0.0
2640.0,642.6,0.0,0.0
2670.0,656.0,0.0,0.0
2700.0,669.2,0.0,0.0
2730.0,684.3,0.0,0.0
2760.0,701.8,0.0,0.0
2790.0,716.6,0.0,0.0
2820.0,731.2,0.0,0.0
2850.0,744.9,0.0,0.0
2880.0,761.3,0.0,0.0
2910.0,778.2,0.0,0.0
2940.0,795.6,0.0,0.0
2970.0,812.0,0.0,0.0
3000.0,829.6,0.0,0.0
3030.0,848.2,0.0,0.0
3060.0,864.5,0.0,0.0
3090.0,882.9,0.0,0.0
3120.0,901.5,0.0,0.0
3150.0,919.8,0.0,0.0
3180.0,939.7,0.0,0.0
3210.0,958.5,0.0,0.0
3240.0,980.2,0.0,0.0
3270.0,1002.9,0.0,0.0
3300.0,1022.9,0.0,0.0
3330.0,1044.8,0.0,0.0
3360.0,1067.8,0.0,0.0
3390.0,1089.5,0.0,0.0
3420.0,1113.1,0.0,0.0
3450.0,1136.7,0.0,0.0
3480.0,1161.6,0.0,0.0
3510.0,1187.4,0.0,0.0
3540.0,1211.8,0.0,0.0
3570.0,1239.2,0.0,0.0
3600.0,1263.9,0.0,0.0
