times, live_error
0.00000000,0.00000000
30.00000000,0.00038437
60.00000000,0.00304560
90.00000000,0.00413353
120.00000000,0.00735954
150.00000000,0.00825762
180.00000000,0.01058394
210.00000000,0.01180501
240.00000000,0.01461459
270.00000000,0.01804911
300.00000000,0.02307056
330.00000000,0.02805351
360.00000000,0.03024460
390.00000000,0.03289398
420.00000000,0.03556775
450.00000000,0.03756986
480.00000000,0.03929116
510.00000000,0.04269222
540.00000000,0.04506188
570.00000000,0.04624663
600.00000000,0.04785678
630.00000000,0.04876794
660.00000000,0.04978657
690.00000000,0.04988072
720.00000000,0.05002165
750.00000000,0.05110101
780.00000000,0.05141499
810.00000000,0.05142645
840.00000000,0.05155317
870.00000000,0.05157916
900.00000000,0.05166003
930.00000000,0.05175407
960.00000000,0.05188051
990.00000000,0.05232378
1020.00000000,0.05569863
1050.00000000,0.05957030
1080.00000000,0.06108914
1110.00000000,0.06294904
1140.00000000,0.06853598
1170.00000000,0.07319030
1200.00000000,0.08165910
1230.00000000,0.09330446
1260.00000000,0.10612214
1290.00000000,0.11608012
1320.00000000,0.12850923
1350.00000000,0.13490419
1380.00000000,0.13818725
1410.00000000,0.14115676
1440.00000000,0.14590303
1470.00000000,0.14853702
1500.00000000,0.15173880
1530.00000000,0.15759881
1560.00000000,0.16712890
1590.00000000,0.18570668
1620.00000000,0.21581483
1650.00000000,0.24794940
1680.00000000,0.26909452
1710.00000000,0.29635188
1740.00000000,0.33530449
1770.00000000,0.37049177
1800.00000000,0.39451829
1830.00000000,0.41753697
1860.00000000,0.44819378
1890.00000000,0.48734311
1920.00000000,0.56139629
1950.00000000,0.63694679
1980.00000000,0.71234703
2010.00000000,0.82413950
2040.00000000,0.95266199
2070.00000000,1.09913679
2100.00000000,1.22332950
2130.00000000,1.37182505
2160.00000000,1.55177893
2190.00000000,1.75671361
2220.00000000,1.95105952
2250.00000000,2.15265242
2280.00000000,2.42129881
2310.00000000,2.71829206
2340.00000000,2.99536586
2370.00000000,3.31646567
2400.00000000,3.75632781
2430.00000000,4.18507297
2460.00000000,4.61597556
2490.00000000,5.08483743
2520.00000000,5.51750215
2550.00000000,5.95743160
2580.00000000,6.42289669
2610.00000000,6.93787274
2640.00000000,7.46462275
2670.00000000,8.04054066
2700.00000000,8.69051712
2730.00000000,9.34736391
2760.00000000,9.92216312
2790.00000000,10.54474937
2820.00000000,11.24183545
2850.00000000,12.07932217
2880.00000000,12.94687954
2910.00000000,13.83836458
2940.00000000,14.74778713
2970.00000000,15.74989359
3000.00000000,16.80352932
3030.00000000,17.87597659
3060.00000000,19.12804459
3090.00000000,20.46536201
3120.00000000,21.90591212
3150.00000000,23.50439663
3180.00000000,25.18646924
3210.00000000,27.06963155
3240.00000000,28.97719575
3270.00000000,30.87003312
3300.00000000,32.99517518
3330.00000000,35.24973686
3360.00000000,37.58816949
3390.00000000,40.16992444
3420.00000000,42.88268183
3450.00000000,45.78045657
3480.00000000,48.79852983
3510.00000000,51.90757900
3540.00000000,55.30617519
3570.00000000,58.75852647
3600.00000000,62.61243940
