times, live_error
0.00000000,0.00000000
30.00000000,0.00019183
60.00000000,0.00022785
90.00000000,0.00023984
120.00000000,0.00027892
150.00000000,0.00057148
180.00000000,0.00388785
210.00000000,0.00763340
240.00000000,0.01116319
270.00000000,0.01743455
300.00000000,0.02186215
330.00000000,0.02689151
360.00000000,0.03541162
390.00000000,0.04711586
420.00000000,0.05722571
450.00000000,0.06739750
480.00000000,0.07341885
510.00000000,0.07915450
540.00000000,0.08381273
570.00000000,0.08594050
600.00000000,0.08695367
630.00000000,0.08722056
660.00000000,0.08770954
690.00000000,0.08897949
720.00000000,0.08962424
750.00000000,0.09014592
780.00000000,0.09186382
810.00000000,0.09260392
840.00000000,0.09531372
870.00000000,0.09973440
900.00000000,0.10351349
930.00000000,0.10653585
960.00000000,0.10765578
990.00000000,0.11444201
1020.00000000,0.12692209
1050.00000000,0.14166929
1080.00000000,0.15312174
1110.00000000,0.16598040
1140.00000000,0.18099825
1170.00000000,0.20562344
1200.00000000,0.24682955
1230.00000000,0.28417081
1260.00000000,0.31715014
1290.00000000,0.35175914
1320.00000000,0.38398126
1350.00000000,0.41021552
1380.00000000,0.44044648
1410.00000000,0.47255027
1440.00000000,0.50915878
1470.00000000,0.54968113
1500.00000000,0.59151511
1530.00000000,0.61873799
1560.00000000,0.64852832
1590.00000000,0.67265402
1620.00000000,0.70209963
1650.00000000,0.74164967
1680.00000000,0.77196646
1710.00000000,0.80702694
1740.00000000,0.86376468
1770.00000000,0.93342871
1800.00000000,1.00818147
1830.00000000,1.11091883
1860.00000000,1.23115466
1890.00000000,1.37823134
1920.00000000,1.49130396
1950.00000000,1.60380207
1980.00000000,1.72274794
2010.00000000,1.86234297
2040.00000000,1.99416637
2070.00000000,2.13564942
2100.00000000,2.27760200
2130.00000000,2.42765155
2160.00000000,2.56930288
2190.00000000,2.73468767
2220.00000000,2.87512366
2250.00000000,3.00905798
2280.00000000,3.16057793
2310.00000000,3.36219356
2340.00000000,3.56939858
2370.00000000,3.78673096
2400.00000000,3.99367318
2430.00000000,4.16736666
2460.00000000,4.33558289
2490.00000000,4.52868912
2520.00000000,4.75675853
2550.00000000,4.96969072
2580.00000000,5.16767439
2610.00000000,5.37060208
2640.00000000,5.58211735
2670.00000000,5.86473707
2700.00000000,6.19081478
2730.00000000,6.61918587
2760.00000000,6.99246968
2790.00000000,7.46543841
2820.00000000,7.92475054
2850.00000000,8.40541189
2880.00000000,8.90571793
2910.00000000,9.42364406
2940.00000000,9.97673484
2970.00000000,10.54945572
3000.00000000,11.13204583
3030.00000000,11.73504451
3060.00000000,12.30644900
3090.00000000,12.85665718
3120.00000000,13.45635729
3150.00000000,14.09588467
3180.00000000,14.78644466
3210.00000000,15.37805183
3240.00000000,15.99420856
3270.00000000,16.75759422
3300.00000000,17.63427115
3330.00000000,18.37402880
3360.00000000,19.18634734
3390.00000000,19.96828891
3420.00000000,20.73625846
3450.00000000,21.52974725
3480.00000000,22.20861949
3510.00000000,22.91766081
3540.00000000,23.70340163
3570.00000000,24.55138636
3600.00000000,25.38616546
