times, live_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0
30.0,37.5,0.0,0.0
60.0,38.5,0.0,0.0
90.0,39.4,0.0,0.0
120.0,40.2,0.0,0.0
150.0,41.6,0.0,0.0
180.0,43.4,0.0,0.0
210.0,44.4,0.0,0.0
240.0,45.3,0.0,0.0
270.0,46.7,0.0,0.0
300.0,47.4,0.0,0.0
330.0,48.5,0.0,0.0
360.0,50.0,0.0,0.0
390.0,51.4,0.0,0.0
420.0,52.3,0.0,0.0
450.0,53.4,0.0,0.0
480.0,54.0,0.0,0.0
510.0,55.1,0.0,0.0
540.0,56.1,0.0,0.0
570.0,56.8,0.0,0.0
600.0,57.7,0.0,0.0
630.0,58.6,0.0,0.0
660.0,60.0,0.0,0.0
690.0,61.6,0.0,0.0
720.0,62.7,0.0,0.0
750.0,64.0,0.0,0.0
780.0,65.8,0.0,0.0
810.0,66.9,0.0,0.0
840.0,68.9,0.0,0.0
870.0,70.7,0.0,0.0
900.0,72.1,0.0,0.0
930.0,73.5,0.0,0.0
960.0,74.6,0.0,0.0
990.0,77.3,0.0,0.0
1020.0,79.6,0.0,0.0
1050.0,81.5,0.0,0.0
1080.0,82.9,0.0,0.0
1110.0,84.8,0.0,0.0
1140.0,86.8,0.0,0.0
1170.0,89.4,0.0,0.0
1200.0,92.3,0.0,0.0
1230.0,94.0,0.0,0.0
1260.0,95.7,0.0,0.0
1290.0,97.8,0.0,0.0
1320.0,99.7,0.0,0.0
1350.0,101.4,0.0,0.0
1380.0,103.8,0.0,0.0
1410.0,106.1,0.0,0.0
1440.0,108.6,0.0,0.0
1470.0,111.1,0.0,0.0
1500.0,113.5,0.0,0.0
1530.0,115.0,0.0,0.0
1560.0,117.6,0.0,0.0
1590.0,119.7,0.0,0.0
1620.0,122.6,0.0,0.0
1650.0,125.8,0.0,0.0
1680.0,127.9,0.0,0.0
1710.0,130.9,0.0,0.0
1740.0,134.8,0.0,0.0
1770.0,138.2,0.0,0.0
1800.0,141.3,0.0,0.0
1830.0,145.3,0.0,0.0
1860.0,148.9,0.0,0.0
1890.0,152.8,0.0,0.0
1920.0,154.9,0.0,0.0
1950.0,158.1,0.0,0.0
1980.0,161.6,0.0,0.0
2010.0,165.6,0.0,0.0
2040.0,168.8,0.0,0.0
2070.0,172.6,0.0,0.0
2100.0,176.2,0.0,0.0
2130.0,180.1,0.0,0.0
2160.0,183.6,0.0,0.0
2190.0,188.1,0.0,0.0
2220.0,191.3,0.0,0.0
2250.0,195.1,0.0,0.0
2280.0,199.7,0.0,0.0
2310.0,205.2,0.0,0.0
2340.0,209.6,0.0,0.0
2370.0,214.2,0.0,0.0
2400.0,218.4,0.0,0.0
2430.0,222.1,0.0,0.0
2460.0,226.6,0.0,0.0
2490.0,232.0,0.0,0.0
2520.0,237.7,0.0,0.0
2550.0,242.3,0.0,0.0
2580.0,247.0,0.0,0.0
2610.0,252.3,0.0,0.0
2640.0,257.8,0.0,0.0
2670.0,264.8,0.0,0.0
2700.0,271.2,0.0,0.0
2730.0,278.7,0.0,0.0
2760.0,283.5,0.0,0.0
2790.0,291.1,0.0,0.0
2820.0,296.9,0.0,0.0
2850.0,303.4,0.0,0.0
2880.0,310.0,0.0,0.0
2910.0,316.7,0.0,0.0
2940.0,323.8,0.0,0.0
2970.0,330.8,0.0,0.0
3000.0,337.8,0.0,0.0
3030.0,345.1,0.0,0.0
3060.0,351.8,0.0,0.0
3090.0,358.8,0.0,0.0
3120.0,367.0,0.0,0.0
3150.0,375.2,0.0,0.0
3180.0,383.7,0.0,0.0
3210.0,390.3,0.0,0.0
3240.0,398.8,0.0,0.0
3270.0,409.1,0.0,0.0
3300.0,419.0,0.0,0.0
3330.0,426.0,0.0,0.0
3360.0,435.8,0.0,0.0
3390.0,444.5,0.0,0.0
3420.0,453.6,0.0,0.0
3450.0,463.4,0.0,0.0
3480.0,471.6,0.0,0.0
3510.0,481.9,0.0,0.0
3540.0,493.0,0.0,0.0
3570.0,504.1,0.0,0.0
3600.0,514.5,0.0,0.0
