times, live_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0
30.0,38.0,0.0,0.0
60.0,38.6,0.0,0.0
90.0,39.7,0.0,0.0
120.0,40.5,0.0,0.0
150.0,41.4,0.0,0.0
180.0,42.6,0.0,0.0
210.0,43.5,0.0,0.0
240.0,44.4,0.0,0.0
270.0,45.4,0.0,0.0
300.0,46.2,0.0,0.0
330.0,47.1,0.0,0.0
360.0,48.1,0.0,0.0
390.0,49.2,0.0,0.0
420.0,50.1,0.0,0.0
450.0,51.2,0.0,0.0
480.0,52.1,0.0,0.0
510.0,53.2,0.0,0.0
540.0,54.2,0.0,0.0
570.0,55.4,0.0,0.0
600.0,56.4,0.0,0.0
630.0,57.3,0.0,0.0
660.0,58.6,0.0,0.0
690.0,60.1,0.0,0.0
720.0,61.2,0.0,0.0
750.0,62.3,0.0,0.0
780.0,63.8,0.0,0.0
810.0,65.1,0.0,0.0
840.0,66.5,0.0,0.0
870.0,68.0,0.0,0.0
900.0,69.7,0.0,0.0
930.0,71.2,0.0,0.0
960.0,72.7,0.0,0.0
990.0,74.4,0.0,0.0
1020.0,76.0,0.0,0.0
1050.0,77.5,0.0,0.0
1080.0,78.9,0.0,0.0
1110.0,80.8,0.0,0.0
1140.0,82.7,0.0,0.0
1170.0,84.5,0.0,0.0
1200.0,86.3,0.0,0.0
1230.0,88.2,0.0,0.0
1260.0,90.2,0.0,0.0
1290.0,92.0,0.0,0.0
1320.0,93.9,0.0,0.0
1350.0,96.1,0.0,0.0
1380.0,98.2,0.0,0.0
1410.0,100.5,0.0,0.0
1440.0,102.9,0.0,0.0
1470.0,105.1,0.0,0.0
1500.0,107.3,0.0,0.0
1530.0,109.4,0.0,0.0
1560.0,111.5,0.0,0.0
1590.0,114.0,0.0,0.0
1620.0,116.6,0.0,0.0
1650.0,119.1,0.0,0.0
1680.0,121.5,0.0,0.0
1710.0,124.0,0.0,0.0
1740.0,126.9,0.0,0.0
1770.0,129.9,0.0,0.0
1800.0,132.9,0.0,0.0
1830.0,136.0,0.0,0.0
1860.0,138.6,0.0,0.0
1890.0,141.2,0.0,0.0
1920.0,144.0,0.0,0.0
1950.0,147.3,0.0,0.0
1980.0,150.6,0.0,0.0
2010.0,154.0,0.0,0.0
2040.0,157.2,0.0,0.0
2070.0,160.7,0.0,0.0
2100.0,164.1,0.0,0.0
2130.0,167.5,0.0,0.0
2160.0,171.3,0.0,0.0
2190.0,175.7,0.0,0.0
2220.0,179.3,0.0,0.0
2250.0,183.2,0.0,0.0
2280.0,187.1,0.0,0.0
2310.0,191.3,0.0,0.0
2340.0,195.6,0.0,0.0
2370.0,200.4,0.0,0.0
2400.0,204.1,0.0,0.0
2430.0,208.0,0.0,0.0
2460.0,212.1,0.0,0.0
2490.0,216.8,0.0,0.0
2520.0,222.0,0.0,0.0
2550.0,226.4,0.0,0.0
2580.0,231.3,0.0,0.0
2610.0,236.5,0.0,0.0
2640.0,241.7,0.0,0.0
2670.0,247.3,0.0,0.0
2700.0,253.0,0.0,0.0
2730.0,259.2,0.0,0.0
2760.0,264.6,0.0,0.0
2790.0,270.3,0.0,0.0
2820.0,276.7,0.0,0.0
2850.0,282.6,0.0,0.0
2880.0,289.2,0.0,0.0
2910.0,295.7,0.0,0.0
2940.0,301.8,0.0,0.0
2970.0,308.2,0.0,0.0
3000.0,315.6,0.0,0.0
3030.0,322.2,0.0,0.0
3060.0,328.7,0.0,0.0
3090.0,335.6,0.0,0.0
3120.0,343.1,0.0,0.0
3150.0,350.2,0.0,0.0
3180.0,357.8,0.0,0.0
3210.0,365.8,0.0,0.0
3240.0,373.9,0.0,0.0
3270.0,382.4,0.0,0.0
3300.0,391.1,0.0,0.0
3330.0,399.0,0.0,0.0
3360.0,407.5,0.0,0.0
3390.0,416.4,0.0,0.0
3420.0,425.4,0.0,0.0
3450.0,434.6,0.0,0.0
3480.0,444.0,0.0,0.0
3510.0,453.8,0.0,0.0
3540.0,464.5,0.0,0.0
3570.0,474.8,0.0,0.0
3600.0,485.8,0.0,0.0
