times, live_error
0.00000000,0.00000000
30.00000000,0.00007468
60.00000000,0.00007694
90.00000000,0.00017758
120.00000000,0.00023005
150.00000000,0.00029578
180.00000000,0.00076239
210.00000000,0.00119153
240.00000000,0.00154976
270.00000000,0.00197880
300.00000000,0.00213655
330.00000000,0.00219962
360.00000000,0.00224634
390.00000000,0.00233139
420.00000000,0.00233390
450.00000000,0.00233748
480.00000000,0.00239944
510.00000000,0.00249420
540.00000000,0.00279064
570.00000000,0.00307454
600.00000000,0.00378467
630.00000000,0.00556059
660.00000000,0.00723047
690.00000000,0.00824419
720.00000000,0.01001519
750.00000000,0.01289156
780.00000000,0.01524570
810.00000000,0.01813643
840.00000000,0.02126177
870.00000000,0.02428318
900.00000000,0.02644414
930.00000000,0.02879505
960.00000000,0.03149938
990.00000000,0.03381046
1020.00000000,0.03633315
1050.00000000,0.03975494
1080.00000000,0.04507197
1110.00000000,0.04949929
1140.00000000,0.05332905
1170.00000000,0.05736068
1200.00000000,0.06183740
1230.00000000,0.06641603
1260.00000000,0.07074662
1290.00000000,0.07635207
1320.00000000,0.08297791
1350.00000000,0.08882140
1380.00000000,0.09491120
1410.00000000,0.10020121
1440.00000000,0.10443565
1470.00000000,0.10914154
1500.00000000,0.11467159
1530.00000000,0.12222567
1560.00000000,0.13258906
1590.00000000,0.14280654
1620.00000000,0.15247020
1650.00000000,0.16298008
1680.00000000,0.17592538
1710.00000000,0.19108930
1740.00000000,0.20481881
1770.00000000,0.21679239
1800.00000000,0.22770262
1830.00000000,0.23727140
1860.00000000,0.25086227
1890.00000000,0.26999002
1920.00000000,0.29372380
1950.00000000,0.31634838
1980.00000000,0.33882842
2010.00000000,0.36078713
2040.00000000,0.38598360
2070.00000000,0.41131602
2100.00000000,0.43938390
2130.00000000,0.47157907
2160.00000000,0.50288379
2190.00000000,0.52572117
2220.00000000,0.55296412
2250.00000000,0.58163798
2280.00000000,0.61315729
2310.00000000,0.64422300
2340.00000000,0.67469824
2370.00000000,0.69859428
2400.00000000,0.73407202
2430.00000000,0.78137923
2460.00000000,0.84000103
2490.00000000,0.89968892
2520.00000000,0.95198127
2550.00000000,1.01639179
2580.00000000,1.08466310
2610.00000000,1.15240083
2640.00000000,1.22226952
2670.00000000,1.28759667
2700.00000000,1.34893612
2730.00000000,1.39852165
2760.00000000,1.45574741
2790.00000000,1.51721674
2820.00000000,1.57055071
2850.00000000,1.62928902
2880.00000000,1.68142551
2910.00000000,1.73204294
2940.00000000,1.79252786
2970.00000000,1.86004698
3000.00000000,1.91544053
3030.00000000,1.97974985
3060.00000000,2.05995572
3090.00000000,2.15107372
3120.00000000,2.24149612
3150.00000000,2.34704545
3180.00000000,2.45865082
3210.00000000,2.56949741
3240.00000000,2.68181171
3270.00000000,2.78896363
3300.00000000,2.89055248
3330.00000000,3.01619687
3360.00000000,3.15439240
3390.00000000,3.29861192
3420.00000000,3.45243016
3450.00000000,3.61624919
3480.00000000,3.79064584
3510.00000000,3.96872236
3540.00000000,4.12522981
3570.00000000,4.28296303
3600.00000000,4.42536715
