times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0,0.0,0.0,0.0
30.0,88.9,10.6,0.2,0.0,0.3,0.0
60.0,80.9,17.3,1.2,0.1,0.5,0.0
90.0,73.9,22.5,2.8,0.2,0.8,0.0
120.0,65.5,29.9,3.7,0.4,0.9,0.0
150.0,59.0,34.3,5.4,0.5,1.3,0.0
180.0,53.8,37.8,6.9,0.9,1.4,0.0
210.0,50.2,39.7,8.9,1.5,1.4,0.0
240.0,45.9,41.2,11.7,2.0,1.4,0.0
270.0,42.9,43.3,12.0,3.1,1.5,0.0
300.0,42.6,43.4,13.4,3.4,1.7,0.0
330.0,42.2,44.7,14.0,3.8,1.8,0.0
360.0,42.0,45.7,15.1,3.6,1.9,0.0
390.0,41.9,45.8,16.7,3.8,2.1,0.0
420.0,40.9,49.0,16.1,4.0,2.2,0.0
450.0,40.2,50.6,18.1,3.1,2.4,0.0
480.0,38.6,51.3,19.1,3.9,2.8,0.0
510.0,36.9,52.6,20.3,4.3,3.0,0.0
540.0,36.9,52.6,20.6,5.8,2.8,0.0
570.0,38.0,52.1,22.1,5.8,3.1,0.0
600.0,41.3,52.2,22.6,5.3,2.9,0.0
630.0,41.3,55.3,22.2,5.0,2.8,0.0
660.0,42.5,55.5,24.0,4.4,2.7,0.0
690.0,43.7,55.4,24.8,5.1,2.8,0.0
720.0,44.2,55.3,26.2,5.6,3.1,0.0
750.0,44.0,56.5,26.5,6.2,3.5,0.0
780.0,46.8,56.4,27.0,6.2,3.5,0.0
810.0,49.3,55.5,28.4,6.1,3.6,0.0
840.0,49.8,56.4,29.4,6.3,3.6,0.0
870.0,52.2,58.0,28.4,7.1,3.7,0.0
900.0,54.4,58.2,27.9,8.2,3.7,0.0
930.0,54.9,61.5,27.4,8.4,3.6,0.0
960.0,54.7,64.0,28.7,7.6,3.6,0.0
990.0,56.4,66.4,29.9,6.5,3.7,0.0
1020.0,58.2,66.3,31.5,6.7,3.5,0.0
1050.0,56.9,68.2,32.3,7.6,3.8,0.0
1080.0,59.2,69.1,32.7,7.8,3.9,0.0
1110.0,60.9,72.4,33.0,7.2,3.7,0.0
1140.0,62.5,73.9,33.4,7.1,4.0,0.0
1170.0,64.9,75.0,33.1,7.5,4.4,0.0
1200.0,65.1,77.8,32.7,8.6,4.5,0.0
1230.0,66.6,79.2,33.0,9.2,4.4,0.0
1260.0,67.0,82.0,33.6,8.9,4.5,0.0
1290.0,69.2,83.5,35.9,7.1,4.9,0.0
1320.0,68.9,85.0,36.1,8.6,4.8,0.0
1350.0,69.8,86.3,37.8,8.8,4.9,0.0
1380.0,72.9,87.5,37.1,9.6,5.2,0.0
1410.0,74.1,89.4,37.5,10.3,5.0,0.0
1440.0,75.3,90.0,38.4,11.0,5.5,0.0
1470.0,77.7,92.5,39.5,10.0,5.8,0.0
1500.0,79.0,94.3,40.2,10.3,6.0,0.0
1530.0,81.2,94.9,41.0,11.2,5.9,0.0
1560.0,86.6,96.1,41.6,10.1,6.4,0.0
1590.0,86.5,96.6,43.4,11.5,6.4,0.0
1620.0,88.1,99.0,44.0,11.7,6.5,0.0
1650.0,90.4,100.6,43.9,12.6,6.5,0.0
1680.0,95.1,101.8,46.3,11.1,6.0,0.0
1710.0,98.3,104.7,47.0,10.0,6.0,0.0
1740.0,97.6,106.9,48.1,11.3,6.4,0.0
1770.0,98.4,109.9,48.8,11.5,6.7,0.0
1800.0,100.8,112.9,49.4,11.6,6.6,0.0
1830.0,101.2,115.0,51.3,12.4,6.6,0.0
1860.0,103.0,118.5,50.5,13.5,6.9,0.0
1890.0,106.4,122.2,50.1,13.0,6.9,0.0
1920.0,112.2,124.3,51.0,11.5,7.1,0.0
1950.0,112.8,127.3,51.9,12.4,7.2,0.0
1980.0,113.7,130.2,54.4,12.0,7.0,0.0
2010.0,114.4,132.4,55.7,13.2,7.2,0.0
2040.0,115.8,135.4,57.1,13.8,7.2,0.0
2070.0,117.4,136.0,60.1,14.0,7.2,0.0
2100.0,121.0,139.0,59.1,15.7,7.2,0.0
2130.0,122.6,142.2,59.9,16.4,7.7,0.0
2160.0,125.7,145.1,61.6,16.1,7.5,0.0
2190.0,128.7,147.4,63.1,15.9,8.0,0.0
2220.0,130.9,150.5,65.5,15.3,8.4,0.0
2250.0,135.0,150.3,67.1,17.1,8.2,0.0
2280.0,136.7,156.4,68.5,15.6,8.2,0.0
2310.0,136.5,162.2,68.8,17.0,8.1,0.0
2340.0,142.6,164.4,70.0,16.4,8.2,0.0
2370.0,143.9,168.8,71.8,16.5,8.1,0.0
2400.0,146.5,172.3,72.5,17.1,8.9,0.0
2430.0,148.4,177.8,73.2,16.8,9.1,0.0
2460.0,148.1,184.4,75.7,16.5,8.9,0.0
2490.0,149.9,185.9,78.1,18.4,8.9,0.0
2520.0,152.0,189.0,80.0,19.3,9.3,0.0
2550.0,156.6,192.1,79.9,20.9,9.8,0.0
2580.0,161.6,194.7,81.3,20.9,10.2,0.0
2610.0,166.8,199.7,81.5,21.1,10.8,0.0
2640.0,171.8,204.0,82.6,20.7,10.5,0.0
2670.0,171.6,210.9,83.3,22.0,10.7,0.0
2700.0,174.9,215.7,86.9,20.7,10.4,0.0
2730.0,175.5,219.1,89.3,22.3,10.8,0.0
2760.0,180.4,223.4,91.6,21.7,11.0,0.0
2790.0,183.2,227.3,94.7,21.8,10.9,0.0
2820.0,187.6,230.0,98.6,20.9,11.0,0.0
2850.0,189.2,230.6,101.9,23.5,12.0,0.0
2880.0,197.8,234.3,102.5,22.8,12.2,0.0
2910.0,206.2,237.8,102.5,23.5,11.9,0.0
2940.0,211.2,240.2,107.0,23.0,12.3,0.0
2970.0,214.8,245.6,106.0,26.5,12.6,0.0
3000.0,218.4,254.6,106.9,25.8,13.2,0.0
3030.0,221.7,261.6,108.3,26.3,13.4,0.0
3060.0,223.5,265.1,113.3,27.0,13.8,0.0
