times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.38537209,2.72763634,0.40000000,0.00000000,0.45825757,0.00000000
60.00000000,2.25610283,2.28254244,1.16619038,0.30000000,0.67082039,0.00000000
90.00000000,3.26955654,3.32415403,1.77763888,0.40000000,0.97979590,0.00000000
120.00000000,4.50000000,4.15812458,2.00249844,0.48989795,0.94339811,0.00000000
150.00000000,4.12310563,3.57910603,2.24499443,0.67082039,0.90000000,0.00000000
180.00000000,3.18747549,3.15594677,2.91376046,0.94339811,0.91651514,0.00000000
210.00000000,4.26145515,4.42831797,2.87923601,0.92195445,0.91651514,0.00000000
240.00000000,3.88458492,3.89358447,2.36854386,1.00000000,0.91651514,0.00000000
270.00000000,3.30000000,4.53982379,2.79284801,1.92093727,0.92195445,0.00000000
300.00000000,4.96386946,5.53534100,2.65329983,1.56204994,0.78102497,0.00000000
330.00000000,6.20966988,4.77598157,1.78885438,1.66132477,0.87177979,0.00000000
360.00000000,6.91375441,4.31393092,3.08058436,1.85472370,0.83066239,0.00000000
390.00000000,7.30000000,4.93558507,2.05182845,2.03960781,1.04403065,0.00000000
420.00000000,7.28628849,4.93963561,1.44568323,1.94935887,0.87177979,0.00000000
450.00000000,7.53392328,3.95474399,1.64012195,1.92093727,0.91651514,0.00000000
480.00000000,6.05309838,4.19642705,2.30000000,1.37477271,0.97979590,0.00000000
510.00000000,6.17170965,3.52703842,3.63455637,1.84661853,1.00000000,0.00000000
540.00000000,5.35630470,3.32264955,2.57681975,1.24899960,1.16619038,0.00000000
570.00000000,4.81663783,4.32319326,4.30000000,1.46969385,1.44568323,0.00000000
600.00000000,4.60543158,4.87442304,4.45421149,2.60959767,1.57797338,0.00000000
630.00000000,4.07553677,5.11957029,4.01995025,2.23606798,1.60000000,0.00000000
660.00000000,4.00624512,4.80104155,3.37638860,2.90516781,1.41774469,0.00000000
690.00000000,5.79741322,4.02988834,4.37721373,2.02237484,1.40000000,0.00000000
720.00000000,6.73498330,5.34883165,3.45832329,3.26190129,1.51327460,0.00000000
750.00000000,7.40270221,6.23297682,3.41320963,2.60000000,1.62788206,0.00000000
780.00000000,8.45931439,5.81721583,3.22490310,2.13541565,1.62788206,0.00000000
810.00000000,11.00045454,5.81807528,2.15406592,2.11896201,1.62480768,0.00000000
840.00000000,9.78570386,4.10365691,1.95959179,2.49198716,1.56204994,0.00000000
870.00000000,8.85211839,3.46410162,2.15406592,2.16564078,1.55241747,0.00000000
900.00000000,7.39188745,3.89358447,1.86815417,2.27156334,1.61554944,0.00000000
930.00000000,5.71751694,3.52845575,2.80000000,2.69072481,1.42828569,0.00000000
960.00000000,6.06712452,3.68781778,3.66196668,2.00997512,1.42828569,0.00000000
990.00000000,7.83836718,5.71314274,3.80657326,1.74642492,1.41774469,0.00000000
1020.00000000,6.20966988,5.44150714,2.76586334,1.84661853,0.92195445,0.00000000
1050.00000000,5.14684369,8.12157620,3.19530906,2.20000000,1.07703296,0.00000000
1080.00000000,6.22575297,9.96443676,3.31813200,1.72046505,1.22065556,0.00000000
1110.00000000,8.43148860,8.78862902,3.13049517,2.44131112,1.26885775,0.00000000
1140.00000000,6.87386354,8.66544863,3.72021505,2.77308492,1.34164079,0.00000000
1170.00000000,6.59469484,8.72926114,3.72692903,2.01246118,1.74355958,0.00000000
1200.00000000,7.80320447,7.69155381,5.23545605,2.87054002,1.91049732,0.00000000
1230.00000000,7.67072356,8.02246845,6.01664358,3.31058907,2.37486842,0.00000000
1260.00000000,6.14817046,8.07465170,5.14198405,2.25610283,2.01246118,0.00000000
1290.00000000,6.86731389,9.48946785,5.22398315,1.51327460,2.25610283,0.00000000
1320.00000000,6.80367548,8.89943818,3.83275358,1.90787840,1.98997487,0.00000000
