times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
0.0,1000.0,0.0,0.0,0.0,0.0,0.0
30.0,902.5,93.7,2.3,0.0,1.5,0.0
60.0,812.0,174.0,9.6,0.4,4.1,0.0
90.0,730.3,242.1,19.7,1.8,6.5,0.0
120.0,659.7,298.4,32.2,3.0,8.5,0.0
150.0,596.4,345.3,47.1,4.9,10.6,0.0
180.0,540.7,380.7,64.1,8.3,12.6,0.0
210.0,495.3,408.8,79.7,13.1,14.5,0.0
240.0,464.3,431.3,94.0,14.7,16.1,0.0
270.0,435.4,448.2,109.6,17.7,17.9,0.0
300.0,409.0,462.7,122.3,22.7,20.3,0.0
330.0,393.1,474.4,134.8,25.1,22.5,0.0
360.0,376.1,481.9,150.6,28.4,23.6,0.0
390.0,367.6,488.8,161.5,31.8,25.6,0.0
420.0,361.8,494.1,174.5,34.6,27.4,0.0
450.0,362.2,498.5,183.5,37.9,28.8,0.0
480.0,362.1,504.5,189.3,43.4,30.1,0.0
510.0,371.0,511.6,196.1,43.3,31.8,0.0
540.0,374.2,520.0,198.6,48.7,32.6,0.0
570.0,385.7,525.2,203.8,49.1,32.4,0.0
600.0,399.0,528.3,208.5,51.5,31.8,0.0
630.0,412.5,533.7,213.4,52.5,31.8,0.0
660.0,420.7,538.3,221.5,54.0,31.8,0.0
690.0,433.0,544.2,230.8,51.5,31.1,0.0
720.0,442.7,552.9,234.3,54.8,31.0,0.0
750.0,452.3,563.2,240.5,55.0,30.9,0.0
780.0,463.6,571.0,244.7,56.8,31.0,0.0
810.0,473.7,578.3,249.0,59.7,31.4,0.0
840.0,483.4,586.1,255.8,61.6,31.6,0.0
870.0,493.9,596.7,260.0,64.0,31.8,0.0
900.0,508.3,606.4,266.4,63.4,32.7,0.0
930.0,523.4,615.1,271.7,64.8,33.2,0.0
960.0,533.5,629.0,274.9,66.8,35.4,0.0
990.0,544.8,643.5,277.9,69.2,35.0,0.0
1020.0,565.2,652.6,284.5,67.8,35.6,0.0
1050.0,574.9,666.9,290.6,70.0,35.6,0.0
1080.0,584.5,683.4,291.7,74.3,35.2,0.0
1110.0,595.8,700.7,296.0,76.1,35.4,0.0
1140.0,611.4,714.5,306.0,73.9,35.4,0.0
1170.0,633.7,730.2,308.6,72.2,35.6,0.0
1200.0,639.1,745.7,313.4,78.4,36.7,0.0
1230.0,653.7,755.2,325.7,77.2,38.7,0.0
1260.0,656.0,776.6,331.0,82.0,39.6,0.0
1290.0,671.5,793.4,336.0,81.9,40.5,0.0
1320.0,689.3,812.1,341.8,80.3,41.4,0.0
1350.0,695.8,830.0,352.1,81.7,43.2,0.0
1380.0,707.9,846.8,353.6,88.6,43.9,0.0
1410.0,727.9,863.9,363.9,85.0,44.2,0.0
