times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std,apoptotic_std,necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,10.34649699,10.51712889,1.34536240,0.00000000,1.36014705,0.00000000
60.00000000,12.89961240,12.82185634,3.07245830,0.48989795,1.22065556,0.00000000
90.00000000,13.52811886,14.01035331,4.26731766,1.24899960,2.15638587,0.00000000
120.00000000,15.34307661,15.15387739,6.01331855,2.19089023,2.01246118,0.00000000
150.00000000,18.38586414,16.56532523,7.32734604,1.81383571,2.10713075,0.00000000
180.00000000,17.80477464,15.90000000,9.01609672,2.36854386,2.61533937,0.00000000
210.00000000,17.24557914,14.99199787,9.75756117,2.73678644,2.57875939,0.00000000
240.00000000,19.34450826,13.28946952,7.97496081,3.49428104,2.73678644,0.00000000
270.00000000,15.82529621,9.62081078,5.66038868,3.34813381,3.30000000,0.00000000
300.00000000,18.07207791,12.89224573,6.41950154,4.10000000,3.40734501,0.00000000
330.00000000,16.71197176,12.17538500,8.02246845,4.72122865,3.74833296,0.00000000
360.00000000,13.85243661,11.92015101,10.60377291,6.00333241,4.00499688,0.00000000
390.00000000,12.34665947,15.39350512,10.93846424,5.34415569,4.67332858,0.00000000
420.00000000,10.44796631,13.38992158,7.60591875,5.04380809,5.48087584,0.00000000
450.00000000,7.61314652,13.74227055,7.31095069,5.71751694,4.72863617,0.00000000
480.00000000,9.82293235,12.50000000,9.36002137,7.29657454,4.67867503,0.00000000
510.00000000,10.82589488,18.75739854,12.25112240,8.25893456,4.28485706,0.00000000
540.00000000,18.08203528,17.64086166,15.27219696,6.45058137,5.81721583,0.00000000
570.00000000,22.75983304,17.43444866,15.03861696,7.16170371,5.53534100,0.00000000
600.00000000,21.51743479,18.63357185,15.76229679,4.10487515,5.47357287,0.00000000
630.00000000,17.10701610,22.57454318,13.48480626,7.65832880,6.04648658,0.00000000
660.00000000,19.57575030,21.14734026,13.50740538,7.52329715,6.74981481,0.00000000
690.00000000,21.17545749,22.96867432,12.28657804,5.46351535,6.20403095,0.00000000
720.00000000,23.79936974,23.71687163,10.18871925,6.98283610,6.32455532,0.00000000
750.00000000,26.78824369,22.82454819,8.83459111,9.05538514,5.59374651,0.00000000
780.00000000,24.62600252,24.51530134,12.14948559,5.92958683,5.76194412,0.00000000
810.00000000,16.15580391,23.10000000,13.61616686,7.22564876,5.53534100,0.00000000
840.00000000,20.61164719,24.95776432,12.60000000,9.53100205,6.10245852,0.00000000
870.00000000,19.98224212,28.87923129,11.26055061,6.34034699,5.97996656,0.00000000
900.00000000,20.96210867,26.36361129,11.61206269,6.54522727,6.43506022,0.00000000
930.00000000,23.71160054,32.44518454,14.63591473,4.55631430,5.60000000,0.00000000
960.00000000,20.73764693,26.25642778,16.07762420,6.40000000,6.35924524,0.00000000
990.00000000,16.86297720,21.70829335,14.56331006,5.36283507,6.06630036,0.00000000
1020.00000000,16.87483333,29.37754244,13.64734406,6.98283610,6.39061812,0.00000000
1050.00000000,12.96495276,34.55560736,17.36202753,5.25357021,6.24819974,0.00000000
1080.00000000,14.08012784,32.10669712,15.34959283,5.25452186,5.94642750,0.00000000
1110.00000000,14.37219538,30.45340703,11.94989540,6.70000000,6.68131724,0.00000000
1140.00000000,14.24921050,31.62356716,9.72625313,12.41329932,5.16139516,0.00000000
