times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0,0.0,0.0,0.0
30.0,88.7,10.9,0.4,0.0,0.0,0.0
60.0,80.0,18.2,1.6,0.2,0.0,0.0
90.0,72.8,24.2,2.9,0.3,0.0,0.0
120.0,64.7,31.4,3.8,0.5,0.0,0.0
150.0,58.9,35.9,5.1,0.7,0.0,0.0
180.0,54.1,39.1,6.6,1.3,0.0,0.0
210.0,49.4,42.1,8.3,1.8,0.0,0.0
240.0,46.0,43.7,10.4,2.0,0.0,0.0
270.0,43.1,46.6,10.6,2.8,0.0,0.0
300.0,41.1,48.4,11.5,3.1,0.0,0.0
330.0,40.3,48.8,13.4,3.1,0.0,0.0
360.0,39.5,49.9,14.9,2.9,0.0,0.0
390.0,39.3,49.0,17.2,3.4,0.0,0.0
420.0,38.7,50.0,18.5,3.5,0.0,0.0
450.0,38.4,50.6,20.0,3.6,0.0,0.0
480.0,38.0,50.9,22.0,3.6,0.0,0.0
510.0,38.3,52.4,21.5,4.2,0.0,0.0
540.0,40.1,51.8,22.7,4.7,0.0,0.0
570.0,40.0,52.6,23.7,5.0,0.0,0.0
600.0,40.4,53.7,24.4,4.9,0.0,0.0
630.0,42.4,54.6,24.8,4.5,0.0,0.0
660.0,43.5,54.6,25.5,5.2,0.0,0.0
690.0,46.3,54.8,25.8,5.1,0.0,0.0
720.0,48.1,56.3,26.3,4.7,0.0,0.0
750.0,48.6,56.7,26.6,6.0,0.0,0.0
780.0,49.5,57.8,26.2,7.1,0.0,0.0
810.0,49.6,60.3,25.7,8.1,0.0,0.0
840.0,52.7,60.6,27.4,6.7,0.0,0.0
870.0,54.3,62.7,27.4,6.3,0.0,0.0
900.0,53.1,63.4,29.6,7.0,0.0,0.0
930.0,57.9,63.4,29.3,7.0,0.0,0.0
960.0,58.9,63.4,30.9,7.3,0.0,0.0
990.0,59.8,64.7,31.8,7.4,0.0,0.0
1020.0,60.5,67.6,31.1,8.1,0.0,0.0
1050.0,61.7,69.0,31.7,8.4,0.0,0.0
1080.0,66.1,71.2,31.0,7.4,0.0,0.0
1110.0,64.8,74.9,31.5,8.0,0.0,0.0
1140.0,66.0,77.5,32.2,7.5,0.0,0.0
1170.0,66.1,79.9,33.8,6.9,0.0,0.0
1200.0,67.3,82.0,33.3,8.3,0.0,0.0
