times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.53179778,2.50798724,0.66332496,0.00000000,0.00000000,0.00000000
60.00000000,2.36643191,1.83303028,1.35646600,0.40000000,0.00000000,0.00000000
90.00000000,3.42928564,2.95972972,1.81383571,0.45825757,0.00000000,0.00000000
120.00000000,4.31393092,3.41174442,1.98997487,0.50000000,0.00000000,0.00000000
150.00000000,3.11287648,3.01496269,2.25610283,0.64031242,0.00000000,0.00000000
180.00000000,3.50570963,4.10974452,3.03973683,1.26885775,0.00000000,0.00000000
210.00000000,3.58329457,5.22398315,3.55105618,1.24899960,0.00000000,0.00000000
240.00000000,4.69041576,5.21632054,3.26190129,1.34164079,0.00000000,0.00000000
270.00000000,4.98898787,4.71593045,3.52703842,1.88679623,0.00000000,0.00000000
300.00000000,4.48218697,6.03655531,3.66742416,1.64012195,0.00000000,0.00000000
330.00000000,5.11957029,5.54616985,3.35261092,1.86815417,0.00000000,0.00000000
360.00000000,6.94622199,4.70000000,3.04795013,1.51327460,0.00000000,0.00000000
390.00000000,6.72383819,4.77493455,2.56124969,2.20000000,0.00000000,0.00000000
420.00000000,6.49692235,4.42718872,2.65518361,2.01246118,0.00000000,0.00000000
450.00000000,7.52595509,4.60868745,3.34664011,1.56204994,0.00000000,0.00000000
480.00000000,7.58946638,3.56230263,2.93257566,1.62480768,0.00000000,0.00000000
510.00000000,6.21369455,3.74699880,2.69258240,1.32664992,0.00000000,0.00000000
540.00000000,4.76340215,3.54400903,4.29068759,2.19317122,0.00000000,0.00000000
570.00000000,5.45893763,3.55527777,5.27351875,2.79284801,0.00000000,0.00000000
600.00000000,6.00333241,4.90000000,5.55337735,1.75783958,0.00000000,0.00000000
630.00000000,6.32771681,5.00399840,5.28772163,1.50000000,0.00000000,0.00000000
660.00000000,7.00357052,5.64269439,4.15331193,2.27156334,0.00000000,0.00000000
690.00000000,6.87095335,5.38144962,3.09192497,1.75783958,0.00000000,0.00000000
720.00000000,6.12290781,6.30951662,2.60959767,2.53179778,0.00000000,0.00000000
750.00000000,5.44426304,5.95063022,2.10713075,1.73205081,0.00000000,0.00000000
780.00000000,5.71401785,5.81033562,2.13541565,1.97230829,0.00000000,0.00000000
810.00000000,4.67332858,5.74543297,3.43656806,2.54754784,0.00000000,0.00000000
840.00000000,6.16522506,4.73708771,3.85227206,1.18743421,0.00000000,0.00000000
870.00000000,7.14212853,4.26731766,3.58329457,1.79164729,0.00000000,0.00000000
900.00000000,8.32406151,4.49888875,2.80000000,1.73205081,0.00000000,0.00000000
930.00000000,7.04911342,5.27636238,3.63455637,2.82842712,0.00000000,0.00000000
960.00000000,6.54904573,5.91945943,3.11287648,2.64764046,0.00000000,0.00000000
990.00000000,6.33719181,5.72800140,3.81575681,2.76405499,0.00000000,0.00000000
