times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
0.0,36.0,42.0,18.0,4.0,0.0,0.0
30.0,36.0,42.1,19.5,4.0,0.2,0.0
60.0,38.2,43.8,18.7,3.5,0.3,0.0
90.0,37.8,45.5,18.1,4.7,0.4,0.0
120.0,37.6,45.3,19.7,5.1,0.7,0.0
150.0,38.5,46.8,19.2,5.7,0.8,0.0
180.0,41.6,47.4,18.4,5.8,1.0,0.0
210.0,44.2,48.2,18.5,5.3,1.2,0.0
240.0,45.1,48.6,18.9,5.6,1.4,0.0
270.0,45.5,50.0,19.6,5.8,1.4,0.0
300.0,47.0,51.0,20.5,5.1,1.8,0.0
330.0,46.8,52.9,20.3,5.7,2.2,0.0
360.0,47.2,53.9,21.9,5.0,2.3,0.0
390.0,47.4,54.5,23.9,4.7,2.5,0.0
420.0,48.5,56.0,25.4,3.6,2.6,0.0
450.0,47.0,56.4,26.4,5.1,2.8,0.0
480.0,47.3,57.4,26.4,6.1,3.0,0.0
510.0,48.7,57.4,26.7,6.6,3.2,0.0
540.0,52.2,57.5,27.5,5.9,3.2,0.0
570.0,52.3,58.3,28.6,6.4,3.5,0.0
600.0,55.5,58.8,28.6,6.2,4.0,0.0
630.0,57.8,59.9,27.4,7.2,4.1,0.0
660.0,57.9,63.1,27.4,7.0,4.1,0.0
690.0,59.9,64.0,28.0,6.6,4.1,0.0
720.0,60.1,65.9,28.9,6.7,4.1,0.0
750.0,59.5,68.9,29.4,7.0,3.9,0.0
780.0,60.1,69.9,29.3,8.6,4.1,0.0
810.0,64.3,71.9,30.6,6.2,3.9,0.0
840.0,63.7,74.1,31.6,6.4,4.0,0.0
870.0,61.9,76.1,34.1,6.5,3.9,0.0
900.0,61.0,78.2,33.5,8.4,4.0,0.0
930.0,62.0,78.3,34.5,9.5,4.1,0.0
960.0,64.2,82.1,34.0,8.8,4.0,0.0
990.0,66.0,82.9,34.8,9.8,4.0,0.0
1020.0,69.3,84.0,34.3,10.2,4.3,0.0
1050.0,71.8,85.2,37.0,8.3,4.5,0.0
1080.0,72.0,88.4,37.1,9.0,4.2,0.0
1110.0,74.4,90.2,37.8,9.3,3.6,0.0
1140.0,76.4,92.8,36.6,10.4,3.8,0.0
1170.0,78.5,94.0,38.7,9.5,4.0,0.0
1200.0,79.6,97.6,38.2,9.9,4.1,0.0
1230.0,78.2,101.5,39.4,9.7,4.4,0.0
1260.0,78.9,101.6,41.1,10.6,4.5,0.0
1290.0,82.6,103.0,42.2,9.8,4.7,0.0
1320.0,84.2,104.0,42.7,11.2,4.7,0.0
1350.0,89.6,104.6,43.4,10.4,5.3,0.0
1380.0,90.7,107.7,44.8,9.5,5.7,0.0
1410.0,89.4,109.6,47.2,10.2,5.6,0.0
1440.0,91.8,112.1,47.6,10.2,5.6,0.0
1470.0,94.2,112.9,48.9,11.0,5.9,0.0
1500.0,96.3,113.8,50.3,11.6,6.1,0.0
1530.0,98.3,115.5,52.5,11.1,6.1,0.0
1560.0,100.2,117.7,52.6,12.3,5.9,0.0
1590.0,101.7,121.2,52.6,12.5,6.4,0.0
1620.0,105.1,124.9,52.2,12.3,6.9,0.0
1650.0,106.1,125.8,53.2,14.3,7.3,0.0
1680.0,107.1,129.0,54.5,14.5,7.5,0.0
1710.0,109.8,131.1,55.8,14.7,7.5,0.0
1740.0,114.7,135.4,56.5,12.8,7.6,0.0
1770.0,113.3,137.2,60.1,13.7,7.7,0.0
1800.0,114.9,137.7,61.9,15.3,7.6,0.0
1830.0,119.1,142.0,61.1,15.5,7.7,0.0
1860.0,123.7,146.1,60.9,15.3,7.4,0.0
1890.0,124.9,148.0,64.1,15.9,7.2,0.0
1920.0,127.4,150.0,66.7,16.3,7.8,0.0
1950.0,131.8,154.6,67.4,15.2,7.7,0.0
1980.0,134.4,159.4,67.1,15.3,8.3,0.0
2010.0,136.4,162.4,68.5,15.6,8.7,0.0
2040.0,139.7,164.7,71.2,14.8,9.5,0.0
2070.0,138.4,166.5,72.9,18.2,9.6,0.0
2100.0,141.8,171.4,73.1,18.1,9.2,0.0
2130.0,143.3,175.1,75.1,18.9,9.2,0.0
2160.0,151.2,176.3,76.4,18.0,9.5,0.0
2190.0,155.0,179.5,79.6,16.9,9.4,0.0
2220.0,158.3,183.7,81.0,16.7,9.5,0.0
2250.0,164.8,185.6,82.2,16.7,10.2,0.0
2280.0,166.4,190.1,83.8,17.2,10.4,0.0
2310.0,168.2,194.1,82.8,20.4,10.7,0.0
2340.0,173.0,198.5,83.9,20.8,10.7,0.0
2370.0,177.0,202.6,85.1,21.7,10.6,0.0
2400.0,182.4,208.2,85.5,20.5,11.5,0.0
2430.0,183.8,211.9,87.4,22.9,11.1,0.0
2460.0,190.8,217.7,90.2,20.4,11.9,0.0
2490.0,191.0,221.9,94.1,21.1,12.0,0.0
2520.0,192.7,226.1,98.0,21.6,11.6,0.0
2550.0,195.0,232.0,99.7,22.4,11.5,0.0
2580.0,198.9,237.8,100.2,23.2,12.0,0.0
2610.0,203.8,240.5,104.8,22.4,13.0,0.0
2640.0,205.4,246.5,106.0,24.3,13.8,0.0
2670.0,208.4,252.8,105.6,26.9,13.4,0.0
2700.0,210.5,259.7,107.0,27.6,13.9,0.0
2730.0,217.6,263.3,107.9,29.0,14.3,0.0
2760.0,221.6,271.4,109.1,28.5,13.7,0.0
2790.0,225.9,276.2,112.7,28.6,14.0,0.0
2820.0,232.1,280.5,114.0,29.8,14.2,0.0
2850.0,237.9,284.6,117.2,29.8,15.0,0.0
2880.0,243.0,291.5,121.7,27.6,15.0,0.0
2910.0,252.0,297.4,121.8,28.0,15.1,0.0
2940.0,250.0,303.9,125.8,30.7,15.7,0.0
2970.0,251.8,313.2,128.2,30.9,16.3,0.0
3000.0,254.4,318.2,133.8,31.2,16.3,0.0
3030.0,264.5,321.9,137.9,29.6,16.9,0.0
3060.0,266.5,327.9,137.9,34.9,16.9,0.0
3090.0,276.1,332.7,140.2,34.0,17.7,0.0
3120.0,278.5,338.6,144.1,36.0,17.6,0.0
3150.0,281.0,348.7,148.1,35.4,17.2,0.0
3180.0,288.8,350.8,153.2,36.3,17.9,0.0
3210.0,297.1,355.7,157.0,36.5,18.3,0.0
3240.0,305.1,361.8,159.1,37.4,19.0,0.0
3270.0,315.3,365.3,162.2,38.3,19.9,0.0
3300.0,319.0,373.2,166.5,41.2,19.8,0.0
3330.0,328.4,379.9,171.5,40.3,20.0,0.0
3360.0,335.3,386.2,176.8,40.2,20.3,0.0
3390.0,343.9,395.3,177.8,41.4,20.7,0.0
3420.0,352.7,407.3,180.3,39.0,20.9,0.0
3450.0,353.2,419.0,182.5,41.1,21.9,0.0
3480.0,358.8,427.0,184.7,44.3,21.3,0.0
3510.0,367.3,433.6,187.8,45.7,21.8,0.0
3540.0,375.4,443.7,189.6,46.6,22.8,0.0
3570.0,385.0,452.2,193.2,47.1,24.4,0.0
3600.0,393.3,465.1,194.5,47.7,23.9,0.0
