times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,1.78885438,2.70000000,2.29128785,1.54919334,0.40000000,0.00000000
60.00000000,2.85657137,3.18747549,2.32594067,1.74642492,0.45825757,0.00000000
90.00000000,3.18747549,2.90688837,2.46779254,1.95192213,0.66332496,0.00000000
120.00000000,5.12249939,4.26731766,3.66196668,1.70000000,1.00498756,0.00000000
150.00000000,5.37121960,4.46766158,2.99332591,2.41039416,0.97979590,0.00000000
180.00000000,5.66038868,4.52106182,3.00665928,1.46969385,1.00000000,0.00000000
210.00000000,6.92531588,5.50999093,2.76586334,1.48660687,1.16619038,0.00000000
240.00000000,7.02068373,6.23217458,2.46779254,1.49666295,1.28062485,0.00000000
270.00000000,6.59166140,4.89897949,3.26190129,1.93907194,1.28062485,0.00000000
300.00000000,6.04979338,4.19523539,3.38378486,1.51327460,1.32664992,0.00000000
330.00000000,5.40000000,4.20594817,3.74299345,2.23830293,1.46969385,0.00000000
360.00000000,4.23792402,4.48218697,3.83275358,1.61245155,1.55241747,0.00000000
390.00000000,3.69323706,4.24852916,3.30000000,2.00249844,1.68819430,0.00000000
420.00000000,4.34165867,4.47213595,3.69323706,1.80000000,1.80000000,0.00000000
450.00000000,3.54964787,4.84148737,4.54312668,2.58650343,1.98997487,0.00000000
480.00000000,4.58366665,4.56508488,3.92937654,1.57797338,2.19089023,0.00000000
510.00000000,3.60693776,4.29418211,2.00249844,2.41660919,2.18174242,0.00000000
540.00000000,5.34415569,3.77491722,2.57875939,2.94788059,2.22710575,0.00000000
570.00000000,6.54293512,2.41039416,3.61109402,1.74355958,2.29128785,0.00000000
600.00000000,9.04709898,2.89136646,4.88262225,2.56124969,2.32379001,0.00000000
630.00000000,9.10823803,4.45982062,3.95474399,2.56124969,2.34307490,0.00000000
660.00000000,7.85429819,3.59026461,4.73708771,2.04939015,2.11896201,0.00000000
