times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std,apoptotic_std,necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,7.40540343,6.51843540,5.71051661,4.95983871,0.70000000,0.00000000
60.00000000,9.42814934,9.86103443,7.94732659,6.03324125,0.66332496,0.00000000
90.00000000,12.88254633,8.40476056,8.34026378,6.63023378,1.61554944,0.00000000
120.00000000,10.92703070,12.00166655,9.50999474,3.76297754,1.72046505,0.00000000
150.00000000,10.29563014,10.06777036,7.75177399,6.72606869,2.28254244,0.00000000
180.00000000,8.90000000,13.72042273,11.33137238,8.43148860,2.48193473,0.00000000
210.00000000,17.51113931,11.92853721,8.48763807,6.20403095,2.87054002,0.00000000
240.00000000,16.21388294,15.21479543,9.77957054,5.86941224,3.44093011,0.00000000
270.00000000,13.13963470,12.71219887,11.71708155,7.68374908,4.03608721,0.00000000
300.00000000,15.28692252,16.90709910,13.27403480,5.31507291,4.57820926,0.00000000
330.00000000,11.20758672,13.94453298,8.17373843,5.32916504,5.04083326,0.00000000
360.00000000,15.13803158,12.60357092,7.02068373,5.32541078,4.35889894,0.00000000
390.00000000,19.58468790,15.40000000,8.64927743,5.81033562,4.34165867,0.00000000
420.00000000,19.83154054,16.49727250,7.43303437,7.80768852,4.80104155,0.00000000
450.00000000,20.16531676,17.93460342,9.05759350,8.59302042,4.27083130,0.00000000
480.00000000,17.78876050,21.04756518,12.60158720,4.96487663,4.00124980,0.00000000
510.00000000,16.43897807,19.20650931,12.45833055,8.03741252,5.40000000,0.00000000
540.00000000,22.95996516,13.72188034,8.40773453,6.35924524,5.83866423,0.00000000
570.00000000,17.58976975,9.78774744,4.83321839,6.59166140,5.40000000,0.00000000
600.00000000,22.83177610,13.25933633,9.50841732,5.93632883,5.45527268,0.00000000
630.00000000,20.69685967,19.30181339,11.61722859,6.01996678,5.18555686,0.00000000
660.00000000,12.49639948,17.09415105,14.11417727,6.51229606,5.84893153,0.00000000
690.00000000,17.10233902,21.18112367,20.13355408,7.03491293,5.74891294,0.00000000
720.00000000,24.49673448,24.46548589,18.81727929,5.81377674,6.19354503,0.00000000
750.00000000,25.82034082,22.19481922,18.61074958,5.71051661,6.68131724,0.00000000
780.00000000,32.18136107,23.27316051,19.35484435,8.60464991,6.87095335,0.00000000
810.00000000,28.38045102,18.65717020,18.92722906,8.86622806,6.75351760,0.00000000
840.00000000,20.29778313,13.47775946,15.88206536,8.30903123,5.83438086,0.00000000
870.00000000,22.25511177,14.96796579,16.10093165,9.02441134,5.71051661,0.00000000
900.00000000,21.36843466,17.49171232,18.50432382,6.49923072,7.04627561,0.00000000
930.00000000,21.57405850,19.73930090,18.59811818,6.71118469,6.87313611,0.00000000
960.00000000,19.15750506,22.41963425,16.12947612,7.95047168,7.23118248,0.00000000
990.00000000,21.62521676,23.33323810,15.13142426,6.84105255,7.10000000,0.00000000
1020.00000000,19.95093983,19.08009434,13.93413076,8.03803459,8.12649986,0.00000000
1050.00000000,18.99710504,15.08807476,19.79898987,7.23602101,8.27042925,0.00000000
1080.00000000,20.44504830,17.15488269,22.24432512,6.60000000,7.53989390,0.00000000
1110.00000000,25.03118056,21.04495189,23.29291738,7.26980055,6.72606869,0.00000000
1140.00000000,35.19374945,20.77594763,22.24432512,4.88773976,6.25219961,0.00000000
1170.00000000,33.78298388,19.64306493,17.41263909,7.46726188,5.52810998,0.00000000
1200.00000000,35.46110545,15.61569723,16.45113978,9.06642157,6.28012739,0.00000000
1230.00000000,29.46183973,16.82408987,17.48256274,11.30486621,4.77074418,0.00000000
1260.00000000,20.47950195,15.36522047,20.59247435,7.94984277,4.01123422,0.00000000
1290.00000000,20.15043424,18.36872342,19.37937047,10.14692072,3.25729949,0.00000000
1320.00000000,29.00758521,20.47046653,20.72679425,7.43303437,4.34050688,0.00000000
1350.00000000,30.94511270,24.08235869,21.23228674,9.45780101,4.96890330,0.00000000
1380.00000000,29.65552225,27.10368979,19.85673689,9.69535971,4.34165867,0.00000000
1410.00000000,43.31697127,29.42787794,23.67298038,11.45469336,4.56179789,0.00000000
1440.00000000,48.08336511,25.53350740,20.58543174,10.48618138,5.57135531,0.00000000
1470.00000000,40.52764489,25.27864712,22.19369280,12.54950198,4.68614981,0.00000000
1500.00000000,42.32446101,30.25904823,25.02478771,11.73925040,3.95474399,0.00000000
1530.00000000,36.48561360,29.25081195,25.12946478,17.43674282,3.62767143,0.00000000
1560.00000000,34.11744422,24.47222916,18.33466662,13.96567220,3.18747549,0.00000000
1590.00000000,35.44587423,26.62630279,23.26821867,10.35808863,3.68917335,0.00000000
1620.00000000,29.14258053,27.72435752,26.21144788,10.86462148,3.78021163,0.00000000
1650.00000000,31.37769909,34.59205111,21.92281916,12.82224629,4.38748219,0.00000000
1680.00000000,31.39124082,34.04996329,19.49358869,10.29757253,5.09509568,0.00000000
1710.00000000,36.84684518,32.78734512,25.27469090,9.28654941,5.54616985,0.00000000
1740.00000000,45.59177557,28.60489469,23.55079616,10.31939921,5.31036722,0.00000000
1770.00000000,53.64410499,33.77291814,25.00719896,10.54561520,5.97996656,0.00000000
1800.00000000,51.95613535,42.20900378,19.52844080,12.29674754,7.07389567,0.00000000
1830.00000000,47.54324347,33.21746529,21.43735058,13.32516416,6.45058137,0.00000000
1860.00000000,56.06745937,35.34062818,19.51435369,14.70918081,7.51332150,0.00000000
1890.00000000,58.66378781,33.47312355,31.19871792,15.51805400,7.03135833,0.00000000
1920.00000000,61.21960470,31.51523441,27.29633675,7.75886590,5.62138773,0.00000000
1950.00000000,53.51906202,27.43428512,27.14940147,12.36931688,4.98898787,0.00000000
1980.00000000,57.31805998,31.13663437,31.52919282,9.02274903,4.72863617,0.00000000
2010.00000000,56.59514113,31.76869528,32.19083721,9.03548560,3.87427413,0.00000000
2040.00000000,50.37747513,40.29454057,39.03793027,10.07174265,5.90254183,0.00000000
2070.00000000,42.64035647,38.77486299,36.26072255,12.75774275,6.07371386,0.00000000
2100.00000000,39.71259246,39.80000000,37.54197651,13.51480669,7.42697785,0.00000000
2130.00000000,48.53339057,41.88078318,29.27114620,14.01463521,8.10000000,0.00000000
2160.00000000,52.12916650,45.48065523,26.04688081,15.23187447,8.35224521,0.00000000
2190.00000000,57.03165788,49.45462567,30.29455397,19.97523467,9.33220231,0.00000000
2220.00000000,64.29471207,55.15260647,27.83594798,12.69212354,9.45991543,0.00000000
