times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
0.0,360.0,420.0,180.0,40.0,0.0,0.0
30.0,362.6,430.9,180.3,44.0,0.9,0.0
60.0,372.9,440.4,182.2,44.0,2.6,0.0
90.0,379.8,449.6,185.8,44.8,4.7,0.0
120.0,382.0,459.6,190.4,48.2,5.8,0.0
150.0,391.0,470.2,195.9,47.4,7.3,0.0
180.0,402.7,474.5,205.0,45.9,8.8,0.0
210.0,408.4,484.9,207.6,49.1,10.6,0.0
240.0,416.1,497.1,209.6,50.5,11.6,0.0
270.0,428.5,506.0,213.1,51.6,13.1,0.0
300.0,439.1,516.5,216.0,52.5,14.8,0.0
330.0,440.7,529.5,219.7,56.0,16.3,0.0
360.0,448.2,541.5,224.1,56.2,19.0,0.0
390.0,457.8,554.2,228.3,55.2,21.5,0.0
420.0,465.9,563.8,232.5,58.2,23.5,0.0
450.0,474.6,575.5,238.6,58.4,25.4,0.0
480.0,483.6,587.0,247.0,56.5,27.3,0.0
510.0,483.4,603.1,251.7,61.0,29.2,0.0
540.0,502.2,609.9,260.1,58.6,31.1,0.0
570.0,516.0,616.0,266.2,60.5,31.8,0.0
600.0,518.9,633.3,270.3,63.4,32.2,0.0
630.0,529.8,647.8,274.2,64.4,33.1,0.0
660.0,539.8,659.7,280.3,66.3,35.3,0.0
690.0,551.1,672.4,287.2,66.9,35.5,0.0
720.0,566.1,682.2,295.9,66.0,35.8,0.0
750.0,573.9,693.3,304.2,70.3,36.4,0.0
780.0,588.6,705.4,310.7,70.6,37.7,0.0
810.0,599.5,722.1,312.4,74.7,38.3,0.0
840.0,613.0,738.5,315.4,76.6,39.6,0.0
870.0,624.9,752.6,323.6,77.6,39.3,0.0
900.0,637.3,765.2,328.7,82.4,39.5,0.0
930.0,655.4,776.4,340.1,80.4,40.4,0.0
960.0,669.3,786.4,350.8,81.7,40.9,0.0
990.0,691.5,800.6,353.2,84.0,42.7,0.0
1020.0,708.6,816.5,356.2,88.3,44.4,0.0
1050.0,721.1,834.5,361.0,90.8,46.0,0.0
1080.0,737.0,853.1,367.3,92.2,47.5,0.0
1110.0,753.2,868.9,373.8,95.5,47.6,0.0
1140.0,766.0,887.4,387.3,92.9,48.9,0.0
1170.0,769.1,908.5,394.0,101.8,49.2,0.0
1200.0,793.9,928.5,401.6,99.0,50.4,0.0
1230.0,810.0,946.5,410.4,101.0,51.8,0.0
1260.0,836.3,959.1,419.5,103.0,53.1,0.0
1290.0,852.4,981.7,427.8,103.2,54.7,0.0
1320.0,872.6,1001.4,433.0,107.5,56.4,0.0
1350.0,897.0,1023.8,441.3,105.5,56.9,0.0
1380.0,912.5,1046.3,452.1,106.0,58.5,0.0
1410.0,935.2,1070.0,455.3,108.3,59.7,0.0
1440.0,948.7,1097.8,464.8,109.2,61.4,0.0
1470.0,960.9,1122.3,472.8,113.9,62.8,0.0
1500.0,975.8,1145.3,489.6,112.3,63.6,0.0
1530.0,990.0,1172.7,496.1,117.6,63.8,0.0
1560.0,1022.0,1188.1,507.2,119.4,62.8,0.0
1590.0,1037.3,1215.8,518.3,121.9,63.3,0.0
1620.0,1059.1,1243.4,526.6,124.4,64.1,0.0
1650.0,1077.8,1265.3,539.7,127.7,66.5,0.0
1680.0,1098.3,1292.0,547.0,130.6,68.2,0.0
1710.0,1123.9,1314.7,560.3,128.6,70.8,0.0
1740.0,1137.3,1342.6,575.6,132.9,72.0,0.0
