times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
0.0,36.0,42.0,18.0,4.0,0.0,0.0
30.0,36.6,42.6,19.0,4.0,0.0,0.0
60.0,38.0,44.0,18.5,3.8,0.0,0.0
90.0,38.7,44.3,18.9,4.6,0.0,0.0
120.0,39.1,45.1,19.0,5.4,0.0,0.0
150.0,40.1,47.6,19.3,4.5,0.0,0.0
180.0,41.8,48.3,19.0,4.9,0.0,0.0
210.0,42.6,50.8,18.8,4.8,0.0,0.0
240.0,41.5,52.1,19.8,5.3,0.0,0.0
270.0,42.8,53.4,19.2,6.0,0.0,0.0
300.0,45.8,54.5,19.6,5.0,0.0,0.0
330.0,46.0,56.8,20.4,4.4,0.0,0.0
360.0,45.2,56.8,22.3,5.1,0.0,0.0
390.0,46.7,56.2,24.6,4.7,0.0,0.0
420.0,46.6,57.1,26.0,5.2,0.0,0.0
450.0,47.1,59.2,25.8,5.8,0.0,0.0
480.0,47.0,60.5,26.5,6.5,0.0,0.0
510.0,46.9,62.3,26.2,7.5,0.0,0.0
540.0,51.8,63.0,25.4,7.0,0.0,0.0
570.0,54.0,63.7,26.3,6.4,0.0,0.0
600.0,54.9,65.4,27.4,5.9,0.0,0.0
630.0,54.7,67.0,28.0,6.6,0.0,0.0
660.0,56.1,69.3,28.3,6.2,0.0,0.0
690.0,56.9,70.2,29.1,6.8,0.0,0.0
720.0,57.9,71.6,29.5,7.5,0.0,0.0
750.0,59.7,72.9,28.9,8.7,0.0,0.0
780.0,61.3,74.4,30.4,8.2,0.0,0.0
810.0,63.3,75.2,32.9,7.1,0.0,0.0
840.0,64.5,77.5,33.6,7.0,0.0,0.0
870.0,64.3,79.6,33.7,8.1,0.0,0.0
900.0,66.1,79.2,33.8,10.3,0.0,0.0
930.0,68.2,81.7,32.9,10.9,0.0,0.0
960.0,69.8,82.9,33.2,12.2,0.0,0.0
990.0,74.9,84.5,34.4,10.3,0.0,0.0
1020.0,76.6,85.2,35.1,11.4,0.0,0.0
1050.0,79.8,86.3,35.1,11.9,0.0,0.0
1080.0,85.7,86.8,37.1,9.8,0.0,0.0
1110.0,88.5,86.7,39.3,9.4,0.0,0.0
1140.0,89.0,90.2,40.1,9.6,0.0,0.0
1170.0,89.6,94.2,39.3,10.7,0.0,0.0
1200.0,92.1,94.8,39.9,12.3,0.0,0.0
1230.0,95.7,99.2,40.9,10.3,0.0,0.0
1260.0,96.0,101.6,42.5,10.5,0.0,0.0
1290.0,94.3,105.2,44.0,11.3,0.0,0.0
1320.0,96.7,108.4,43.5,11.7,0.0,0.0
1350.0,95.5,112.1,45.4,12.4,0.0,0.0
1380.0,97.6,115.8,46.1,11.9,0.0,0.0
1410.0,98.9,117.9,48.4,12.0,0.0,0.0
1440.0,100.4,120.8,48.6,12.8,0.0,0.0
1470.0,100.7,123.4,50.8,12.9,0.0,0.0
1500.0,108.3,124.2,53.3,10.5,0.0,0.0
1530.0,109.6,128.9,52.7,11.3,0.0,0.0
1560.0,114.1,130.8,55.0,10.1,0.0,0.0
1590.0,111.6,135.5,56.2,11.7,0.0,0.0
1620.0,114.0,137.8,56.8,13.4,0.0,0.0
1650.0,116.2,139.6,59.3,13.5,0.0,0.0
1680.0,120.1,142.7,59.7,13.5,0.0,0.0
1710.0,120.6,146.4,61.5,13.8,0.0,0.0
1740.0,122.6,148.4,63.2,15.1,0.0,0.0
1770.0,125.7,151.3,65.5,14.4,0.0,0.0
1800.0,125.8,154.9,67.7,15.3,0.0,0.0
1830.0,130.7,156.3,70.0,15.1,0.0,0.0
1860.0,135.4,159.7,71.6,14.5,0.0,0.0
1890.0,137.3,161.8,73.3,16.1,0.0,0.0
1920.0,138.4,164.9,74.4,18.1,0.0,0.0
1950.0,141.9,168.6,75.1,19.0,0.0,0.0
