times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.37486842,2.53771551,2.56904652,1.26491106,0.00000000,0.00000000
60.00000000,3.13049517,2.72029410,2.29128785,1.72046505,0.00000000,0.00000000
90.00000000,4.24381903,4.24381903,2.77308492,1.56204994,0.00000000,0.00000000
120.00000000,4.74236228,3.61801050,2.52982213,1.80000000,0.00000000,0.00000000
150.00000000,6.30000000,4.34050688,2.53179778,2.53968502,0.00000000,0.00000000
180.00000000,5.86174036,3.87427413,2.60768096,2.25610283,0.00000000,0.00000000
210.00000000,5.33291665,4.37721373,3.34065862,1.32664992,0.00000000,0.00000000
240.00000000,4.92442890,3.36005952,2.92574777,1.26885775,0.00000000,0.00000000
270.00000000,6.09590026,4.98397432,3.48711915,1.84390889,0.00000000,0.00000000
300.00000000,8.04735982,5.38980519,3.16859590,1.00000000,0.00000000,0.00000000
330.00000000,7.40270221,4.95580468,3.63868108,1.74355958,0.00000000,0.00000000
360.00000000,8.13387976,3.68239053,3.90000000,1.86815417,0.00000000,0.00000000
390.00000000,7.17007671,3.78945906,5.04380809,1.79164729,0.00000000,0.00000000
420.00000000,5.67802783,5.68242906,5.69209979,2.13541565,0.00000000,0.00000000
450.00000000,5.46717477,5.70613705,5.54616985,2.08806130,0.00000000,0.00000000
480.00000000,4.60434577,4.88364618,4.41021541,2.20227155,0.00000000,0.00000000
510.00000000,5.28109837,5.90000000,3.91918359,2.83725219,0.00000000,0.00000000
540.00000000,6.43117408,5.96657356,4.36348485,1.89736660,0.00000000,0.00000000
570.00000000,6.81175455,4.77598157,4.58366665,2.24499443,0.00000000,0.00000000
600.00000000,8.49058302,5.71314274,4.84148737,1.64012195,0.00000000,0.00000000
630.00000000,9.23092628,4.83735465,3.06594194,2.05912603,0.00000000,0.00000000
660.00000000,8.44334057,3.79605058,2.90000000,2.03960781,0.00000000,0.00000000
690.00000000,5.22398315,3.28024389,3.23882695,1.53622915,0.00000000,0.00000000
720.00000000,5.22398315,4.15210790,4.10487515,1.91049732,0.00000000,0.00000000
